QRR,TAPI,VMA,VMACD,VOSC,VSTD,CR,PSY,VR,AR,BR,WAD,MOBV,PVT,WVAD,BBI,MA,EXPMA,MACD,MTM,PRICEOSC,TRIX,BIAS,CCI,DBCD,DPO,K,D,J,RSI,SRDM,VROC,VRSI,WR,ADTM,CDP,DPTB,JDQS,JDRS,MI,MICD,RC,RCCD,SRMI,ATR,CVLT,MASS,STD,target,VHF
2.35308577,0.783783275,-0.347559021,0.808421301,-0.017704565,-0.27190563,-0.376889802,-0.555159899,-0.1747533,-0.143449901,-0.138990712,-0.688478205,-0.939430524,1.510039071,-0.787866953,0.468407559,0.456388231,0.449143005,-0.429195514,-0.841555525,-0.123526247,-0.369872539,-0.986591038,-2.208522294,-0.21961083,-0.974688255,-1.557581957,-1.445343503,-1.386088025,-1.656868399,-0.37479845,0.522842533,2.334314627,1.561983582,0.217624768,0.472030114,0.302188312,-0.327818723,0.685873718,-0.214122333,0.139156092,-0.785941502,1.148037853,-0.921321826,-0.237930847,-0.715824419,-1.048322753,-0.770615423,-1,-1.067949648
1.967253011,0.207958055,-0.805114237,0.038908233,-0.141999445,-0.549811768,-0.179088357,0.063978896,0.277114154,0.447268098,0.351458544,-0.615605121,-1.230125731,1.547458326,-0.454753516,0.47954532,0.470436183,0.471159851,-0.16021067,-0.093413913,-0.066816609,-0.3274846,-0.368291744,-0.504317633,0.06907246,-0.337286744,-1.443636037,-1.279999761,-1.352695321,-0.614778933,-0.284775158,-0.496036257,1.532967156,1.160462568,0.699575053,0.473685278,-0.456430182,-0.327818723,0.685873718,-0.152178162,0.229676513,-0.502593043,1.142448001,-0.721792888,-0.265897639,-1.221232045,-1.115936287,-0.818790205,-1,-1.360387493
0.506163485,-0.560426021,-1.044972559,-0.621870705,0.099360907,-0.096079119,-0.263450314,0.063978896,0.323509002,0.316693492,0.297063428,-0.573666652,-1.50219507,1.54827544,-0.29336196,0.479996851,0.475403138,0.474054162,-0.136819685,-0.009118445,-0.05381991,-0.312099348,-0.341649391,-0.490778895,0.06907246,-0.322035805,-1.30385203,-1.096853718,-1.28926298,-0.569639861,-0.159839877,-0.764372931,-0.073175851,1.109136445,0.792192835,0.47137808,-1.214517803,-0.168594523,0.440303994,-0.161853995,0.286743735,-0.4300811,1.136410961,-0.549123614,-0.262050245,-0.919787734,-1.078555866,-0.78378651,-1,-1.356539627
-0.151768595,-0.801896778,-1.094018039,-0.870187054,0.323549023,-0.085217186,-0.427053167,0.683117691,0.261425409,0.003990186,-0.112738906,-0.535802205,0.252192395,1.550341484,-0.10219974,0.481619017,0.475888127,0.477567489,-0.098389996,-0.396413586,0.039607178,-0.29891199,-0.330512251,-0.710509688,0.126809118,-0.224918873,-1.085275079,-0.901719378,-1.085973178,-0.406734778,-0.252214584,-0.626629735,-0.729757433,0.942439675,0.804016382,0.473016525,-1.214517803,-0.168594523,0.440303994,-0.092362174,0.360492833,-0.469339957,1.130150327,-0.119368978,-0.105336889,-1.052726574,-1.066977227,-0.768433374,1,-1.350767827
-0.523554594,-0.931215116,-0.991141462,-0.951507359,0.487647056,0.111390959,-0.432490732,0.063978896,0.247122881,-0.039142721,-0.178967874,-0.554714458,-0.575184361,1.549833804,-0.210107805,0.484227862,0.473546801,0.479508183,-0.074436064,-0.73158474,0.037902693,-0.289178463,-0.362997986,-0.578538834,0.06907246,-0.32230895,-0.900806483,-0.733463699,-0.918486008,-0.45916778,-0.264543187,-1.170470634,-1.098097616,1.000608148,0.800638226,0.476176384,-1.214517803,-0.782008618,0.440303994,-0.076272954,0.484153389,-0.247893737,1.124336881,-0.031115794,-0.105263705,-0.749927678,-1.114435352,-0.759668813,-1,-1.435420887
-0.93680119,-0.994861804,-0.900440425,-0.860902135,1.06524818,0.055725059,-0.446761284,0.683117691,0.516256441,0.007648781,-0.184214891,-0.532766659,-0.566018408,1.550670157,-0.399981679,0.487405302,0.481323346,0.483406303,-0.01569436,-0.488597254,0.058711615,-0.282270799,-0.350703741,-0.454285412,0.06907246,-0.290047761,-0.750138491,-0.586095,-0.793031809,-0.390163144,-0.238677615,-0.400043192,-1.255005775,0.801349827,0.763478507,0.483833608,-1.214517803,-0.884530675,0.095337,-0.037450429,0.556784399,-0.375394641,1.118970623,-0.581738921,-0.04906875,-0.266274127,-1.1721856,-0.752171052,-1,-1.423877288
-0.870192364,-0.731055956,-0.566174911,-0.57477572,0.988055926,-0.10890676,-0.533914749,0.683117691,0.385764391,-0.218347113,-0.272454106,-0.515152502,0.851832628,1.553777786,-0.278720015,0.488107683,0.495204062,0.487421533,0.053697365,0.124207598,0.02675252,-0.281328845,-0.167620732,-0.230913763,0.06907246,-0.132789522,-0.596397323,-0.450823178,-0.647780164,-0.129746268,-0.268266261,-0.639968925,-0.873349287,0.382568129,0.311650116,0.469070881,-1.973136297,-0.884530675,-0.101508573,-0.047531904,0.619486786,-0.484988902,1.114051553,-0.102102051,-0.059225661,0.076681549,-1.208922763,-0.747691791,1,-1.453698253
-0.990722621,-0.754178835,-0.120280604,-0.321523083,1.080464972,0.112293016,-0.567174305,0.683117691,0.237946594,-0.289323852,-0.270044347,-0.549562017,-0.1277538,1.548105809,-0.388133242,0.488475597,0.501609259,0.486066393,0.056896967,0.059709965,-0.025198765,-0.288236509,-0.372312685,-0.485612092,0.126809118,-0.359693215,-0.654137493,-0.335446304,-0.891920495,-0.502229916,-0.199764954,0.249509836,-0.923494321,0.96990434,0.223536541,0.468201502,-1.973136297,-0.884530675,-0.101508573,-0.070080651,0.633261632,-0.759645962,1.109132484,-0.391802721,-0.080396784,0.597944138,-1.202633132,-0.7240893,1,-1.354615693
-0.766427594,-0.396641361,0.031764654,0.139560993,0.92838623,0.148337874,-0.617957876,0.063978896,-0.087145135,-0.373684629,-0.417691645,-0.568434329,-1.223695018,1.546105894,-0.579421134,0.493977584,0.501860115,0.494364535,0.202274928,-0.732976776,-0.083719419,-0.296086127,-0.432019326,-0.439929696,0.300019092,-0.444763819,-0.336330325,-0.129503248,-0.507607387,-0.63474271,-0.209415555,0.028155263,-0.506024485,1.181193763,0.151750722,0.516034073,-1.214517803,-0.964142776,-0.101508573,-0.090555045,0.605398874,-0.79323844,1.104437008,-0.102102051,-0.110940703,0.561756362,-1.226791033,-0.702165773,-1,-1.214168571
-1.062542342,-0.578587612,0.328699687,0.527548033,0.865327948,0.11171101,-0.433149337,0.063978896,-0.093185648,-0.210578055,-0.185533213,-0.510499329,-1.389380704,1.562781795,-0.506666576,0.50260684,0.50085669,0.510542567,0.469892618,0.182827749,-0.133575607,-0.319948967,0.117056135,0.701122145,0.473229066,0.200675029,0.300471671,-0.001526076,0.587223397,0.05840535,-0.09514329,-0.214461904,-0.755744851,-0.196221101,0.319250967,0.535611823,-1.214517803,-0.964142776,-0.495199719,-0.089384255,0.51027193,-0.81208948,1.099294344,0.227888116,-0.171056236,1.140623909,-1.251020407,-0.65821871,-1,-1.166070241
