QRR,TAPI,VMA,VMACD,VOSC,VSTD,CR,PSY,VR,AR,BR,WAD,MOBV,PVT,WVAD,BBI,MA,EXPMA,MACD,MTM,PRICEOSC,TRIX,BIAS,CCI,DBCD,DPO,K,D,J,RSI,SRDM,VROC,VRSI,WR,ADTM,CDP,DPTB,JDQS,JDRS,MI,MICD,RC,RCCD,SRMI,ATR,CVLT,MASS,STD,target,VHF
0.565690379,-0.099419137,-0.376730015,0.235465981,0.525387191,0.022310134,0.275309428,0.088843852,-0.2002952,0.809981546,1.085259687,0.686798309,-1.348355004,1.488412295,-0.271566217,0.537485644,0.527156282,0.502365383,-0.613813282,-1.062848192,0.176439708,0.15829636,-1.014178621,-1.224986129,-0.169468936,-1.192217306,-0.835768085,-0.31165753,-1.242889058,-1.500415401,-0.304915216,0.109804461,0.465516964,1.374207191,0.402142634,0.529877617,0.357260884,0.016239302,-0.570314214,0.142067366,0.159762143,-0.097452025,2.035113324,-0.904412326,-0.131152176,0.882419211,-0.483636724,-0.660290377,-1,-1.071480431
1.16537069,0.067700241,-0.471322451,0.132391635,0.508065747,0.119702413,0.772451135,0.088843852,0.145136973,1.416801672,1.649483238,0.778775634,-1.63114895,1.496015386,-0.21982446,0.564816767,0.572863416,0.561458112,-0.199383748,-0.588766169,0.229915018,0.22454026,-0.378475537,-0.259875756,0.103905336,-0.466169356,-0.339697199,0.015879757,-0.661057776,-0.795806181,-0.07075739,0.14544024,1.097803049,0.796460206,0.769020881,0.594024776,0.357260884,0.016239302,-0.570314214,0.203662837,0.111137765,0.051407748,1.997711253,0.238885091,-0.272221294,0.045640902,-0.564614121,-0.653712626,-1,-1.140271395
-0.368433996,-0.491036119,-0.536039152,-0.217135196,0.411800178,0.132556674,0.5907657,0.088843852,0.192354924,1.536789905,1.740001583,0.857527461,9.72E-05,1.503212931,0.095248336,0.576411448,0.594936618,0.592059504,0.04876595,-0.403255812,0.297567503,0.242869883,0.167301932,0.341537654,0.103905336,0.184929842,0.141985055,0.220653199,0.027749991,0.364566886,-0.134193016,-0.391464677,-0.716928541,-0.181059426,0.793867102,0.571253923,0.357260884,0.259250728,-0.109005146,0.245807107,0.094423135,0.325630907,1.959556121,0.631333577,-0.348437075,-0.515231496,-0.644017444,-0.57954281,1,-0.996859723
-0.804878065,-0.550190733,-0.419437012,-0.146651033,0.418348135,0.121764504,0.220102901,0.088843852,-0.149065453,0.868071963,1.116324004,0.837689215,0.635774152,1.502458654,0.120665743,0.579340986,0.600287697,0.589380068,0.077684182,-0.171367867,0.375168883,0.231614852,0.053651487,0.102837487,0.103905336,0.10600215,0.148441019,0.249599644,0.008322774,0.122357466,-0.315175714,-0.527103624,-0.973124588,-0.001282835,0.825057039,0.582917043,0.357260884,0.259250728,-0.109005146,0.284295655,0.153684095,0.729898039,1.920647927,0.430629328,-0.262257304,-0.258582018,-0.692172469,-0.551417253,1,-1.044663614
-0.961048587,-0.509447375,-0.144943712,0.05532693,0.456930856,0.09120006,0.098696991,0.088843852,-0.435051788,0.662997948,0.992844016,0.815446332,-0.902764143,1.502415427,0.029798275,0.580721572,0.620577205,0.594292367,0.16443888,0.647969542,0.382062046,0.215857807,0.052029049,0.332191402,0.103905336,0.07576221,0.245557354,0.289293056,0.148947838,0.108486519,-0.320988696,-0.680219563,-0.874589861,0.009950976,0.883472092,0.61512947,0.357260884,-0.261155035,-0.109005146,0.308644144,0.253971875,1.125590586,1.881739732,0.147492978,-0.181146931,-0.243416933,-0.703365889,-0.560036375,-1,-1.127445961
-0.955432246,-0.525371219,0.150859446,0.340762053,0.576936802,0.071274236,0.234971756,0.764371645,-0.493060015,0.710801974,1.059757798,0.843099646,-0.692051425,1.50382621,-0.136414028,0.575109432,0.627489016,0.602230196,0.276985514,0.833479899,0.347063255,0.188202587,0.283957876,0.719002999,0.213255045,0.305310849,0.398516158,0.292736777,0.435024893,0.541062329,-0.222870247,-0.494634177,-0.927757737,-0.338361272,0.781443991,0.613185616,1.125015118,-0.469200788,-0.570314214,0.304574567,0.296518206,1.087297005,1.843333579,-0.042459258,-0.142339813,-0.222456223,-0.781486632,-0.565253212,-1,-1.077310173
-0.476775031,-0.229825392,0.104819412,0.797616554,0.611579689,0.038876108,0.156714839,0.088843852,-0.45600364,0.759082886,1.038293461,0.831677625,-0.488193115,1.503737336,-0.160488996,0.568980975,0.591815155,0.596826667,0.294375532,0.663428739,0.250274721,0.145111894,0.348110667,0.800197586,0.322604754,0.349368562,0.402314055,0.209559727,0.533184073,0.522125724,-0.25341766,-0.21186003,-0.316408722,-0.315886527,0.314652216,0.642343416,1.125015118,-0.469200788,-0.743114806,0.248014336,0.3086743,0.989121516,1.805178447,0.138532966,-0.133599471,-0.095556682,-0.865378982,-0.570923688,1,-1.269691684
0.005686802,0.019065769,0.040170006,1.143967346,0.542381467,0.041803095,0.269981964,0.088843852,-0.060517203,0.858336812,1.309907872,0.86414021,-1.441525563,1.504503936,-0.212837256,0.560169914,0.555472409,0.589837805,0.29085845,0.395469334,0.197296856,0.097519189,0.479395149,1.340830422,0.486629317,0.527625053,0.422567968,0.082589851,0.710404591,0.661073648,-0.066660994,0.550674653,0.222859967,-0.45071719,0.233769836,0.676222003,1.893306996,-0.469200788,-1.377224465,0.213871269,0.296518206,0.734648717,1.766772294,0.403749295,-0.133599471,-0.063622488,-0.920063502,-0.589409437,-1,-1.330321009
1.543296106,0.638847303,-0.056242767,1.349542653,0.339823337,0.044098656,0.063342747,0.088843852,-0.075405285,0.658503421,1.153717238,0.920649155,0.068356716,1.508524035,-0.042798444,0.538069306,0.523365934,0.572655921,0.199805096,0.271795763,0.152633424,0.047032333,0.863567165,2.024654251,0.595979026,0.968274521,0.365599512,-0.119555488,0.823519667,1.260275302,-0.081408021,1.316857938,1.981285999,-1.023748396,0.217646224,0.569865457,1.893306996,-0.631208405,-1.377224465,0.178624589,0.282842599,0.887137697,1.7278641,0.837413832,-0.167337191,0.034881468,-0.976438695,-0.617308175,1,-1.03999982
2.928901852,0.747982225,-0.273508234,0.897229345,0.028677866,-0.164582431,-0.216979137,-0.586683941,-0.568766014,0.475086719,0.865364261,0.871354118,1.685979936,1.501142306,-0.285604282,0.509604531,0.49415796,0.518419671,-0.177695073,0.18419365,0.054743405,0.004584785,0.546686426,0.573175859,0.322604754,0.622323814,-0.091061846,-0.38987157,0.253793595,0.916921378,-0.214560414,1.550824643,2.428688736,-1.114669604,-0.294608849,0.439071897,1.893306996,-1.278656112,-1.262277816,0.108062252,0.266127969,0.380902322,1.687700802,0.405541297,-0.179923283,-0.32112004,-0.995036096,-0.635680515,1,-0.92690281
-0.854519275,-0.724611464,-0.5374398,-0.019826214,-0.439968786,-0.663541271,-0.653181747,-1.262219841,-1.022621105,0.075550695,0.29227213,0.77516868,-1.182397747,1.47956363,-0.928727225,0.493037493,0.495272768,0.471105297,-0.534092749,-0.382643551,-0.021401172,0.004263212,-0.463693423,-1.200663952,0.103905336,-0.479987128,-1.116826312,-0.53158121,-1.534964794,-0.710864805,-0.455194447,-0.844484843,-1.727406049,0.861804371,-1.109247723,0.434073417,1.893306996,-1.278656112,-0.570314214,0.081368582,0.264608458,0.056018242,1.646282402,-0.354267644,-0.156149554,-0.930040043,-0.995152694,-0.566954355,1,-0.221503937
-0.547069883,-0.507366669,-0.438721273,0.194635863,-0.399727188,-0.755170807,-0.469468741,-1.262219841,-1.259560732,0.149206585,0.335427512,0.769758249,-1.0746497,1.479400589,-0.991812095,0.510031053,0.522251126,0.489459433,-0.433660509,-0.140449474,-0.015751621,0.045424471,-0.563167484,-1.089652914,0.103905336,-0.578592484,-0.781480769,-0.15166845,-1.314972338,-0.788879431,-0.489799244,-0.77357624,-0.943369384,0.836270068,-1.417446596,0.482947444,1.893306996,-1.278656112,0.121649388,0.171313144,0.229659686,-0.741566097,1.603106858,-0.377563673,-0.126082777,-0.847383965,-0.865262384,-0.491763854,-1,-0.353256124
