日期,开盘价(元),收盘价(元),量比,TAPI加权指数成交值,VMA量简单移动平均,VMACD量指数平滑异同平均,VOSC成交量震荡,VSTD成交量标准差,CR能量指标,PSY心理指标,VR成交量比率,AR,BR,WAD威廉聚散指标,MOBV能量潮,PVT量价趋势指标,WVAD威廉变异离散量,BBI多空指数,MA简单移动平均,EXPMA指数平均数,MACD指数平滑异同平均,MTM动力指标,PRICEOSC价格振荡指标,TRIX三重指数平滑平均,BIAS乖离率,CCI顺势指标,DBCD异同离差乖离率,DPO区间震荡线,K,D,J,RSI相对强弱指标,SRDM动向速度比率,VROC量变动速率,VRSI量相对强弱,WR威廉指标,ADTM动态买卖气指标,CDP逆势操作,DPTB-上证指数,JDQS阶段强势指标--上证180,JDRS阶段弱势指标--上证指数,MI动量指标,MICD异同离差动力指数,RC变化率指数,RCCD异同离差变化率指数,SRMI（MI修正指标）,ATR真实波幅,CVLT佳庆离散指标,MASS梅斯线,STD标准差,VHF纵横指标
2025/1/3,27.52,27.41,1.0137,"7,062,006.57","6,979,504.60","338,242.91",-12.6126,"1,560,475.39",80.7135,58.3333,94.9851,98.8055,96.6777,78.39,"-246,224.18","225,633,908.29","-15,764,310.82",28.3525,28.188,28.0069,-0.3263,-1.66,-0.5494,-0.0484,-4.1525,-252.6539,-0.001,-1.1691,17.2247,26.2958,-0.9174,15.3352,-0.7413,13.6596,50.9463,92.9293,0.1006,27.75,0.7143,0.3,0.1,-0.2326,-0.0075,95.2067,0.1258,-0.0568,0.4664,31.9655,23.6288,0.4319,0.3582
2025/1/2,28.39,27.53,1.5801,"9,998,168.11","6,915,645.80","381,005.85",-15.0442,"1,632,267.41",96.1089,58.3333,113.4927,106.6784,104.2735,78.9,"-307,472.72","225,664,465.16","-8,898,923.20",28.5804,28.454,28.3054,-0.2356,-1.37,-0.3518,-0.0181,-4.085,-347.013,-0.0006,-1.1755,22.0736,30.8313,4.5582,16.515,-0.6884,27.7267,69.137,91.7051,0.2759,28.5175,0.7143,0.3333,0.1818,-0.1392,-0.0051,95.095,0.1067,-0.0471,0.46,23.87,23.3221,0.3346,0.3406
2024/12/31,28.8,28.42,1.2896,"7,317,972.80","6,248,744.00","136,042.34",-15.4639,"1,110,055.51",122.6846,58.3333,135.875,131.3808,125.4509,79.96,"-376,345.11","225,973,663.84","-4,201,215.80",28.7794,28.762,28.6931,-0.0957,-0.35,-0.0843,0.0039,-1.3337,-160.1296,-0.0001,-0.3891,28.2456,35.2102,14.3164,31.4874,-0.2523,-26.9962,57.7704,97.6,0.5747,28.82,0.7143,0.3333,0.1818,-0.0409,-0.0046,98.7148,0.0881,-0.0132,0.4257,-21.0977,23.0874,0.249,0.2529
2024/12/30,28.74,28.8,0.9349,"5,403,035.59","5,647,915.40","9,150.03",-11.5037,"956,743.95",118.9621,58.3333,162.874,140.5702,135.443,80.38,"-96,660.60","226,069,764.25","7,786,868.16",28.8358,28.858,28.8297,-0.0466,-0.26,0.1264,0.0123,-0.1877,-49.5726,0,-0.0391,40.5165,38.6925,44.1647,46.4807,-0.2019,-60.0215,45.5667,72.4138,0.6373,28.735,0.7143,0.375,0.1667,0.0099,-0.0034,100.4534,0.0701,0.0045,0.4221,-24.8755,23.0702,0.2723,0.2649
2024/12/27,28.56,28.78,0.935,"5,328,768.17","5,766,939.60","10,666.95",-1.5927,"1,209,210.64",99.0252,58.3333,138.2437,117.0732,114.2077,80.24,"186,185.81","226,066,017.66","8,034,468.49",28.8788,28.852,28.8445,-0.0431,-0.11,0.4464,0.0159,-0.4784,-111.5563,0.0001,-0.0791,38.5526,37.7804,40.0969,45.3391,-0.5149,-18.924,45.2016,74.1379,0.6696,28.8275,0.7143,0.375,0.25,0.0808,-0.0005,101.5168,0.0529,0.001,0.4421,-22.8691,23.1543,0.3103,0.2525
2024/12/26,29.11,28.74,1.2651,"6,709,244.12","5,709,871.20","29,645.93",0.6908,"1,821,452.69",105.7807,58.3333,124.1253,109.6539,111.5732,79.94,"-353,174.15","226,058,586.89","6,331,708.08",28.8917,28.908,28.8768,-0.0313,-0.06,0.4953,0.0192,-0.6854,-47.8632,0,-0.1909,36.9955,37.3944,36.1979,43.3243,-0.2973,-30.7239,52.8278,80.3571,0.6585,29.025,0.7143,0.2857,0.25,0.1099,0.0036,103.792,0.0366,-0.0096,0.45,-24.0412,23.3292,0.3115,0.2479
2024/12/25,28.93,29.07,1.3744,"6,527,240.90","5,288,838.20","-68,047.07",3.974,"2,973,685.25",114.6568,66.6667,145.8185,125.9766,121.0526,80.33,"260,741.26","226,134,542.08","5,158,109.42",28.8906,28.938,28.9452,-0.0034,0.4,0.4698,0.0213,0.4405,38.8242,0,0.1136,40.4248,37.5938,46.0869,58.03,0.3265,10.1384,52.0703,50.8929,0.6,28.86,0.8571,0.25,0.1818,0.1245,0.0057,103.7844,0.0214,-0.0169,0.4429,-16.7394,23.4525,0.3149,0.2492
2024/12/24,28.74,28.9,0.8333,"4,268,785.05","4,757,797.20","-190,480.73",3.4762,"2,973,324.53",103.1537,58.3333,145.3208,122.4105,120.1835,80.09,"267,024.53","226,096,077.35","1,540,424.64",28.8656,28.884,28.8828,-0.0274,0.15,0.4305,0.0206,-0.0634,-30.9845,0,-0.0309,33.1372,36.1783,27.0551,50.8711,-0.0894,-35.9226,40.1643,62.7119,0.3732,28.855,1,0.25,0.1667,0.1094,0.008,102.6643,0.0073,-0.0041,0.4393,-15.1396,23.6185,0.3105,0.2443
2024/12/23,28.96,28.77,1.0916,"6,020,797.53","5,135,498.00","-127,783.18",2.8444,"2,958,497.61",101.7886,58.3333,121.4039,122.0036,119.5122,79.88,"-387,856.73","226,076,741.11","4,997,362.29",28.8592,28.838,28.8743,-0.0307,-0.25,0.4602,0.0222,-0.5015,-8.5366,0.0001,-0.15,32.7415,37.6988,22.827,44.8796,0.2762,36.6109,47.61,73.7288,0.435,29.0275,1,0.25,0.1667,0.1157,0.0101,100.1044,-0.0058,-0.0007,0.445,-0.1159,23.7828,0.3122,0.2264
2024/12/20,28.88,29.06,0.7812,"5,054,900.21","5,484,241.60","-179,562.43",0.6001,"2,960,995.51",95.5706,58.3333,120.3505,121.0247,122.028,80.24,"137,636.89","226,136,482.22","8,677,868.79",28.8686,28.834,28.9264,-0.0087,-0.51,0.4012,0.0241,0.5449,52.1753,0.0003,0.1318,37.9516,40.1774,33.4999,58.0372,0.5816,0.841,42.7801,49.1525,0.4033,28.7975,1,0.3333,0.1667,0.1126,0.0111,101.2191,-0.0179,0.0096,0.4443,8.309,23.933,0.3129,0.2665
