日期,开盘价(元),收盘价(元),量比,TAPI加权指数成交值,VMA量简单移动平均,VMACD量指数平滑异同平均,VOSC成交量震荡,VSTD成交量标准差,CR能量指标,PSY心理指标,VR成交量比率,人气意愿指标（AR）,人气意愿指标（BR）,WAD威廉聚散指标,MOBV能量潮,PVT量价趋势指标,WVAD威廉变异离散量,BBI多空指数,MA简单移动平均,EXPMA指数平均数,MACD指数平滑异同平均,MTM动力指标,PRICEOSC价格振荡指标,TRIX三重指数平滑平均,BIAS乖离率,CCI顺势指标,DBCD异同离差乖离率,DPO区间震荡线,K,D,J,RSI相对强弱指标,SRDM动向速度比率,VROC量变动速率,VRSI量相对强弱,WR威廉指标,ADTM动态买卖气指标,CDP逆势操作,DPTB大盘同步指标-上证指数,JDQS阶段强势指标,JDRS阶段弱势指标,MI动量指标,MICD异同离差动力指数,RC变化率指数,RCCD异同离差变化率指数,SRMI（MI修正指标）,ATR真实波幅,CVLT佳庆离散指标,MASS梅斯线,STD标准差,VHF纵横指标
2025/1/3,19.16,18.63,1.2304,"4,257,577.29","3,654,123.60","-714,064.45",-45.6558,"720,578.34",68.5111,25,62.6824,78.834,86.2155,53.09,"-99,489.47","97,834,437.06","-26,379,752.75",19.6776,19.432,19.2691,-0.2851,-1.13,-3.3038,-0.2926,-5.5793,-215.5125,-0.0023,-1.04,10.8997,14.439,3.8209,15.6837,-0.6218,-18.1039,52.0853,95.6175,-0.5088,19.2975,0.7143,0.2,0.4,-0.8216,-0.0256,92.5944,0.9277,-0.0685,0.4843,-10.3203,23.1121,0.7494,0.3739
2025/1/2,19.42,19.16,1.3022,"4,093,149.63","3,407,943.60","-785,700.39",-42.0553,"1,064,890.16",78.4937,25,70.6725,87.5989,93.1613,53.76,"-101,928.89","97,950,428.50","-18,339,710.96",19.8916,19.716,19.5886,-0.2044,-0.68,-2.9027,-0.2628,-3.6863,-132.1787,-0.0015,-0.6709,12.9958,16.2087,6.5701,22.2335,-0.6524,-19.45,50.6682,96.063,-0.2704,19.74,0.7143,0.2222,0.3636,-0.7191,-0.0247,94.6173,0.9209,-0.0396,0.4893,-20.7749,23.0099,0.665,0.3181
2024/12/31,19.77,19.6,1.572,"4,372,046.28","3,091,303.60","-848,620.44",-38.2342,"1,064,615.24",94.0443,25,78.8576,91.1323,101.9152,54.41,"-139,396.49","98,040,794.62","-18,232,453.36",20.0383,19.836,19.8029,-0.1593,-0.01,-2.5244,-0.2443,-2.0979,-65.4116,-0.0012,-0.36,15.0295,17.8151,9.4581,31.267,-0.5899,-63.4233,52.8528,98.6486,0.101,19.8225,0.7143,0.2222,0.3636,-0.6462,-0.0243,96.1256,0.9123,-0.0392,0.5029,-34.5574,23.079,0.609,0.2479
2024/12/30,19.9,19.77,0.8248,"2,475,596.91","2,739,766.80","-945,238.29",-18.0738,"1,161,937.03",82.2442,25,89.046,97.3464,101.8996,54.97,"-83,896.30","98,077,828.39","-15,181,312.36",20.1165,19.884,19.9044,-0.1574,-0.23,-2.142,-0.2323,-1.768,-65.4026,-0.0012,-0.2882,20.2004,19.208,22.1854,35.9729,-0.5899,-82.3019,38.3956,90.991,0.2278,19.985,0.7143,0.25,0.4167,-0.5895,-0.023,96.6748,0.9022,-0.0394,0.5236,-40.6129,23.1743,0.5796,0.2491
2024/12/27,20.05,20,1.1076,"3,273,550.30","2,993,366.80","-867,666.15",0.1295,"1,174,305.61",84.0936,33.3333,84.0536,86.3855,102.75,55.25,"30,015.87","98,106,219.59","-13,346,718.40",20.1732,19.852,19.9716,-0.1701,0.05,-1.4129,-0.2209,-1.4009,-56.0101,-0.0014,-0.1582,22.2361,18.7117,29.285,43.3245,-0.6867,-54.7888,43.2519,80.6306,0.3556,20.0375,0.7143,0.25,0.4167,-0.4704,-0.0199,103.6269,0.8908,-0.0329,0.5671,-43.3831,23.2712,0.5642,0.2556
2024/12/26,20,20.05,0.8366,"2,952,186.58","2,958,145.40","-838,264.57",6.2162,"2,756,276.49",84.9348,41.6667,84.4437,87.6053,102.4783,55.36,"28,080.34","98,114,390.18","-9,842,031.95",20.1845,19.852,19.9574,-0.2178,-0.35,-1.1635,-0.208,-1.587,-57.0908,-0.0018,-0.26,18.6282,16.9495,21.9855,44.9902,-0.702,-62.3514,40.8262,78.3784,0.4114,19.74,0.7143,0.2857,0.3333,-0.4159,-0.0138,107.1047,0.8785,-0.0393,0.5786,-38.2253,23.3162,0.5586,0.2447
2024/12/25,19.86,19.76,0.6333,"2,434,033.40","3,540,830.40","-756,562.51",12.2416,"3,940,672.91",81.1321,41.6667,85.087,85.5621,96.0289,55.07,"37,361.46","98,070,915.13","-15,608,240.06",20.1759,19.832,19.9111,-0.2812,-0.82,-1.1132,-0.1886,-3.2519,-111.9914,-0.0023,-0.6427,11.5039,16.1102,2.2914,32.435,-0.6612,-43.7828,37.1171,91.4414,0.3947,19.7975,0.7143,0.25,0.3636,-0.3982,-0.0099,103.5639,0.8656,-0.0881,0.5836,-26.7816,23.2084,0.5551,0.2412
2024/12/24,19.6,19.84,0.5832,"2,544,786.04","3,856,510.40","-588,320.79",14.0884,"3,781,340.30",82.5191,41.6667,92.2208,95.104,102.3227,55.18,"64,484.99","98,080,762.71","-15,013,908.39",20.2575,19.96,19.9866,-0.2962,-0.84,-1.0851,-0.1603,-3.1289,-133.4116,-0.0022,-0.6445,12.5761,18.4133,0.9016,34.2311,-0.664,-48.6468,37.52,87.8378,0.4082,19.7425,0.7143,0.25,0.3333,-0.3726,-0.0069,104.4211,0.8524,-0.0584,0.5857,-14.7613,23.1251,0.5307,0.2338
2024/12/23,19.98,19.61,0.8083,"3,776,093.93","4,370,714.80","-375,912.70",15.9999,"3,573,308.74",76.6618,41.6667,84.1974,88.0046,94.5915,54.91,"-130,263.55","98,050,864.76","-16,464,891.05",20.3317,20.108,20.0599,-0.3088,-1.26,-0.9163,-0.1295,-4.5626,-164.7031,-0.0019,-0.9291,12.7831,21.332,-4.3148,24.1712,-0.3467,2.2896,41.711,99.0909,0.3711,20.0325,0.7143,0.25,0.3333,-0.3338,-0.004,100.6157,0.8388,-0.0508,0.6086,-2.1727,23.1231,0.5007,0.2259
2024/12/20,19.99,20,0.4876,"3,107,663.75","4,622,832.80","-220,261.82",15.9449,"3,520,813.86",74.2999,41.6667,84.2644,87.9587,94.9541,55.46,"-79,395.21","98,123,732.36","-11,074,633.52",20.4868,20.322,20.2849,-0.2547,-1.67,-0.7783,-0.0966,-3.0656,-142.3763,-0.0011,-0.6327,18.72,25.6064,4.9473,30.836,-0.2344,-38.9643,38.6506,84.0376,0.4941,19.9425,0.7143,0.3333,0.3333,-0.2714,-0.0013,104.4386,0.8251,-0.0215,0.5986,-7.5646,23.0694,0.4494,0.2313
