日期,开盘价(元),收盘价(元),量比,TAPI加权指数成交值,VMA量简单移动平均,VMACD量指数平滑异同平均,VOSC成交量震荡,VSTD成交量标准差,CR能量指标,PSY心理指标,VR成交量比率,AR,BR,WAD威廉聚散指标,MOBV能量潮,PVT量价趋势指标,WVAD威廉变异离散量,BBI多空指数,MA简单移动平均,EXPMA指数平均数,MACD指数平滑异同平均,MTM动力指标,PRICEOSC价格振荡指标,TRIX三重指数平滑平均,BIAS乖离率,CCI顺势指标,DBCD异同离差乖离率,DPO区间震荡线,K,D,J,RSI相对强弱指标,SRDM动向速度比率,VROC量变动速率,VRSI量相对强弱,WR威廉指标,ADTM动态买卖气指标,CDP逆势操作,DPTB-上证指数,JDQS-上证180,JDRS-上证指数,MI动量指标,MICD异同离差动力指数,RC变化率指数,RCCD异同离差变化率指数,SRMI（MI修正指标）,ATR真实波幅,CVLT佳庆离散指标,MASS梅斯线,STD标准差,VHF纵横指标
2025/1/3,178,178,1.0369,"5,701,740.53","6,001,260.80","194,083.74",-14.5403,"1,610,993.33",58.0396,25,61.0388,85.9949,89.2084,606.6,"-153,612.78","178,085,228.14","-34,058,637.23",186.4029,182.782,181.9418,-2.8447,-10.88,-3.8719,-0.4301,-5.0911,-176.5584,-0.003,-8.8518,5.4676,6.3193,3.7642,8.9686,-1,21.8091,49.2842,95.6522,-0.3876,179.24,0.5714,0.2,0.5,-10.7286,-0.2602,92.3476,0.8099,-0.0753,3.9329,-19.5712,22.2106,8.2355,0.5251
2025/1/2,183.25,177.98,1.9156,"8,994,051.90","5,470,363.00","241,394.64",-15.7295,"1,611,359.90",64.2505,25,60.0355,88.4071,89.5557,605.6,"-250,194.31","178,084,590.73","-32,813,663.39",188.1457,184.968,183.9126,-2.6639,-11.54,-3.5747,-0.3996,-5.827,-172.9396,-0.0025,-10.4364,5.1526,6.7451,1.9676,8.8195,-1,17.2605,68.1157,96.8057,-0.3874,185.13,0.7143,0.2222,0.5455,-10.1285,-0.2317,89.4282,0.7957,-0.0789,4.4371,-22.2037,22.1408,7.6098,0.5113
2024/12/31,185.5,184.21,1.3837,"6,216,669.65","4,659,437.20","-28,362.79",-15.5326,"1,017,962.96",77.0976,25,72.4816,104.5809,105.4812,611.83,"-328,732.20","178,386,458.80","-27,953,449.63",190.0333,187.148,186.879,-2.0305,-4.19,-3.2732,-0.3719,-3.2519,-105.4629,-0.0017,-5.7836,4.9746,7.5414,-0.1591,15.345,-0.9173,-44.1626,56.2544,99.5753,-0.283,186.535,0.7143,0.2222,0.5455,-9.512,-0.2069,93.9847,0.7803,-0.0563,4.4464,-38.8951,22.137,6.7504,0.3939
2024/12/30,188,185.93,1.007,"4,797,135.00","4,448,460.80","-167,229.02",-6.3936,"884,201.45",71.8449,25,72.9441,96.724,105.0384,615.62,"-249,875.89","178,443,400.84","-24,260,858.64",191.108,188.21,188.2134,-2.0106,-6.57,-2.8608,-0.3535,-2.9952,-97.2716,-0.0015,-5.0345,6.9677,8.8248,3.2535,18.493,-0.9236,-48.9549,48.3108,98.0448,-0.1642,188.115,0.5714,0.25,0.5833,-8.9922,-0.1716,96.267,0.7638,-0.0481,4.5443,-43.2795,22.2347,6.2579,0.3687
2024/12/27,188.66,187.79,0.9651,"4,475,031.38","4,748,810.80","-227,994.30",-0.7047,"1,310,630.81",65.2403,33.3333,71.2156,87.8303,94.8973,618.52,"-167,030.12","178,490,765.48","-18,022,863.32",192.2856,188.704,189.3551,-2.0601,-5.44,-2.0639,-0.3357,-3.0386,-88.8257,-0.0014,-4.4027,8.4532,9.7534,5.853,22.6873,-0.9455,-21.6073,46.4754,97.3887,0.0782,188.865,0.5714,0.25,0.5,-7.6233,-0.1099,98.3039,0.7467,-0.0364,5.2879,-42.9164,22.3673,5.8348,0.3454
2024/12/26,188.88,188.93,0.6033,"3,020,572.31","4,632,581.60","-267,820.98",1.0138,"2,336,560.21",66.2892,33.3333,71.1526,87.2042,94.8106,620.53,"32,493.08","178,517,742.40","-19,061,353.02",193.1161,189.646,190.1377,-2.252,-6.28,-1.7268,-0.3175,-3.1621,-92.1047,-0.0015,-5.28,9.2729,10.4034,7.012,25.6597,-0.9521,-78.6606,37.8956,94.3059,0.1084,188.9275,0.5714,0.2857,0.4167,-6.7627,-0.0214,102.5734,0.7292,-0.0527,5.445,-35.6601,22.5027,5.844,0.3223
2024/12/25,189.99,188.88,1.0202,"4,868,117.21","5,002,572.00","-155,487.98",13.8783,"2,445,789.55",67.5638,33.3333,72.5315,89.7946,95.9811,619,"-21,088.41","178,516,943.51","-25,190,053.85",193.7779,190.506,190.7416,-2.5159,-6.45,-1.445,-0.2968,-3.8485,-104.0487,-0.0015,-6.78,7.838,10.9687,1.5767,25.302,-0.8995,-8.4992,45.6781,94.492,-0.0471,189.26,0.4286,0.25,0.4545,-5.9148,0.043,99.1496,0.7117,-0.1005,5.6164,-28.5486,22.5735,5.9287,0.346
2024/12/24,188.41,189.52,1.0885,"5,086,295.34","4,774,515.60","-147,388.47",11.9151,"2,411,724.10",60.4987,41.6667,69.1331,79.9531,89.0549,620.67,"122,186.33","178,533,392.89","-24,726,076.83",194.7942,191.772,191.6724,-2.6384,-5.37,-1.3416,-0.2725,-3.9951,-121.61,-0.0015,-7.6073,8.1081,12.534,-0.7438,26.6709,-0.9181,0.0846,46.6667,92.4888,-0.31,189.555,0.4286,0.25,0.4167,-5.3979,0.0968,98.2937,0.6939,-0.075,5.5736,-26.3323,22.6117,5.8337,0.3809
2024/12/23,192.88,188.4,1.2691,"6,350,451.04","4,685,769.80","-141,500.12",11.5734,"3,425,641.53",57.6146,41.6667,59.8991,79.8632,84.8071,618.66,"-300,214.79","178,503,071.53","-25,602,087.94",195.759,192.934,192.7486,-2.6749,-11.04,-1.3487,-0.2464,-4.9833,-137.1809,-0.0014,-9.7236,7.6934,14.747,-6.4136,20.3898,-0.4782,114.2477,51.4537,98.5524,-0.2377,192.9375,0.4286,0.25,0.4167,-4.935,0.1267,93.1981,0.6759,-0.0811,5.665,-6.1686,22.7314,5.9473,0.4357
2024/12/20,193.23,192.5,0.6098,"3,904,302.61","4,951,381.80","-237,291.98",7.5626,"3,465,160.31",57.0287,41.6667,59.6624,83.366,85.0151,623.66,"-216,572.80","178,636,908.22","-24,448,842.10",197.2178,194.232,194.9228,-2.2221,-17.48,-1.4578,-0.2199,-3.3368,-118.6171,-0.001,-6.6791,10.6758,18.2737,-4.5202,27.6023,-0.3686,-13.6137,41.302,96.03,-0.1806,193.3225,0.4286,0.2222,0.4167,-4.4409,0.1284,96.559,0.6574,-0.0398,5.5579,-9.3808,22.7799,6.1556,0.4226
