日期,开盘价(元),收盘价(元),量比,TAPI加权指数成交值,VMA量简单移动平均,VMACD量指数平滑异同平均,VOSC成交量震荡,VSTD成交量标准差,CR能量指标,PSY心理指标,VR成交量比率,AR,BR,WAD威廉聚散指标,MOBV能量潮,PVT量价趋势指标,WVAD威廉变异离散量,BBI多空指数,MA简单移动平均,EXPMA指数平均数,MACD指数平滑异同平均,MTM动力指标,PRICEOSC价格振荡指标,TRIX三重指数平滑平均,BIAS乖离率,CCI顺势指标,DBCD异同离差乖离率,DPO区间震荡线,K,D,J,RSI相对强弱指标,SRDM动向速度比率,VROC量变动速率,VRSI量相对强弱,WR威廉指标,ADTM动态买卖气指标,CDP逆势操作,DPTB大盘同步指标-上证指数,JDQS阶段强势指标-上证180,JDRS阶段弱势指标--上证指数,MI动量指标,MICD异同离差动力指数,RC变化率指数,RCCD异同离差变化率指数,SRMI（MI修正指标）,ATR真实波幅,CVLT佳庆离散指标,MASS梅斯线,STD标准差,VHF纵横指标
2025/1/3,3.25,3.07,1.2209,"72,560,457.98","60,585,050.40","-8,534,120.16",-35.2505,"16,407,797.23",125.5605,41.6667,138.8685,164.7368,132.1267,33.13,"-1,154,005.70","698,871,088.37","185,752,427.12",3.2815,3.242,3.2139,-0.111,-0.27,-1.5664,0.1456,-7.0401,-123.1348,-0.0027,-0.2209,14.9671,19.3215,6.2585,27.4326,-0.4737,-58.75,46.9184,99.115,0.5798,3.28,0.5714,0.5,0.2,-0.0227,-0.0151,113.2841,1.1547,-0.1023,0.1886,-28.4555,27.9866,0.2326,0.3646
2025/1/2,3.22,3.27,1.4183,"82,228,975.23","58,238,890.80","-10,278,531.47",-19.7489,"16,798,074.57",131.9685,41.6667,142.9293,171.2707,137.2642,33.34,"-283,670.32","703,219,809.96","291,549,760.31",3.32,3.296,3.2859,-0.0918,-0.03,-0.3109,0.2313,-2.0958,-60.2295,-0.0014,-0.0536,21.1349,21.4986,20.4076,42.0508,-0.4444,-64.3056,51.2055,91.3462,0.603,3.2475,0.5714,0.5556,0.2727,0.0162,-0.0127,120.6642,1.1298,-0.0354,0.2029,-39.6989,28.1818,0.2383,0.4122
2024/12/31,3.29,3.22,0.7629,"48,311,775.47","57,243,138.80","-13,313,315.50",-3.0794,"19,435,907.50",138.2496,33.3333,140.5117,172.2222,137.9147,33.27,"-1,073,259.39","701,959,099.56","304,090,362.75",3.3393,3.31,3.2938,-0.0964,0.02,1.462,0.3033,-4.9914,-74.1646,-0.001,-0.1264,19.2024,21.6804,14.2463,34.8141,-0.6829,-85.9195,34.5231,96.1538,0.6333,3.295,0.7143,0.4444,0.2727,0.0713,-0.0092,119.2593,1.105,-0.0612,0.2186,-46.5438,28.4439,0.2482,0.4248
2024/12/30,3.34,3.28,0.6088,"43,253,601.52","62,179,419.00","-13,726,343.62",18.7494,"35,426,113.33",141.0982,41.6667,149.9525,177.5862,142.6471,33.39,"-763,884.55","702,826,805.69","329,632,071.52",3.3617,3.326,3.3307,-0.0883,-0.14,3.6261,0.383,-4.9964,-66.6303,-0.0004,-0.1245,23.248,22.9195,23.9052,39.7821,-0.7719,-78.1762,32.0322,90.3846,0.6714,3.355,0.7143,0.5,0.25,0.1468,-0.0044,123.7736,1.0806,-0.0682,0.2271,-41.9723,28.7586,0.2619,0.4313
2024/12/27,3.32,3.37,0.7757,"59,928,983.09","70,780,644.60","-12,965,150.58",27.1459,"54,365,218.15",141.3907,50,151.9135,176.1364,144.8276,33.48,"638,725.09","703,977,649.34","385,154,641.48",3.3811,3.31,3.3561,-0.0832,-0.02,5.3841,0.4593,-3.6914,-52.2466,0.0002,-0.0982,20.9832,22.7552,17.4391,48.4189,-0.7699,-43.3454,36.5758,81.7308,0.6791,3.3375,0.8571,0.5,0.1667,0.2111,0.0004,128.1369,1.0567,-0.1269,0.2357,-30.245,28.9956,0.2781,0.4414
2024/12/26,3.29,3.34,0.7267,"59,332,003.29","77,490,057.80","-12,618,527.28",30.3196,"89,323,659.25",141.206,50,142.5844,171.1864,143.0693,33.39,"115,585.41","703,437,769.69","373,655,975.39",3.3737,3.32,3.3491,-0.0897,-0.09,6.125,0.5351,-4.8207,-55.437,-0.0002,-0.1709,16.631,23.6412,2.6106,45.1086,-0.4425,-37.5558,36.2499,84.6154,0.6906,3.3175,0.7143,0.4286,0.1667,0.2412,0.0043,129.4574,1.0337,-0.1608,0.2371,-12.168,29.1684,0.287,0.4431
2024/12/25,3.3,3.34,0.8773,"75,475,997.60","81,700,079.20","-11,202,225.18",32.6724,"87,737,225.34",142.0339,58.3333,146.9052,167.4157,144.7236,33.39,"673,115.04","703,437,769.69","325,709,771.20",3.3607,3.33,3.3537,-0.0902,-0.18,6.5415,0.6213,-4.8207,-63.3273,-0.0001,-0.1845,17.0257,27.1463,-3.2155,45.1086,-0.2478,18.5213,40.1883,80.7339,0.6861,3.2725,0.7143,0.5,0.1818,0.2631,0.007,126.9962,1.0117,-0.1302,0.25,19.1939,29.1861,0.2942,0.4431
2024/12/24,3.18,3.3,0.6745,"71,020,065.76","86,869,423.40","-10,033,194.53",33.6594,"85,637,765.82",135.3535,50,141.5253,166.2857,144.6154,33.26,"1,069,384.82","702,514,000.11","300,453,173.55",3.3695,3.348,3.3605,-0.0873,-0.56,6.8581,0.7133,-5.8264,-73.8793,0.0003,-0.2245,17.8462,32.2066,-10.8745,41.6408,-0.2743,-27.0312,38.8418,84.4037,0.6209,3.255,0.8571,0.5,0.1667,0.2816,0.0091,125.9542,0.991,-0.0544,0.2429,37.7292,29.1448,0.3017,0.4414
2024/12/23,3.42,3.2,0.6369,"87,824,964.38","106,919,727.80","-7,265,601.42",35.8829,"83,678,507.23",138.7543,50,133.5824,159.887,142.7835,33.14,"-1,063,282.70","700,260,375.02","250,670,042.82",3.3974,3.392,3.3907,-0.0716,-0.78,7.3523,0.8085,-8.7452,-68.8484,0.0013,-0.3227,21.0001,39.3868,-15.7731,32.7955,-0.06,67.0414,41.5002,93.578,0.6279,3.4425,0.7143,0.5,0.1667,0.3099,0.011,119.403,0.9715,-0.0419,0.2464,55.4888,29.0794,0.3095,0.4449
2024/12/20,3.39,3.42,0.5094,"94,640,308.48","135,191,575.80","-4,056,180.40",36.1404,"85,778,519.61",155.5769,50,141.7755,182.1656,159.4286,33.38,"-759,130.03","705,798,896.18","326,936,640.99",3.4454,3.524,3.4861,-0.0247,-0.42,7.5825,0.8952,-2.3787,-7.2081,0.0025,-0.1145,30.5387,48.5801,-5.5442,45.4151,0.3418,53.7479,42.8197,73.3945,0.6226,3.38,0.7143,0.5556,0.1667,0.3345,0.0124,128.5714,0.9532,0.0409,0.2371,49.1869,28.9453,0.3164,0.4809
