,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.15,0.794535096,0.792970108,0.796748318,0.795688828,0.805792761,0.808641884,0.816884848,0.814730899,0.815596528,0.81571307,0.816420178,0.814489448,0.815414344,0.818315926,0.816683659,0.810332845,0.808809586,0.813205,0.816048606,0.816496648,0.818637233,0.818615592,0.815752416,0.813800128,0.81686268,0.817790618,0.818462219,0.816298155,0.812489133,0.812034714,0.812455881,0.813907758,0.813916497,0.813260175,0.811550956,0.809551823,0.808682069,0.808354278,0.807213939,0.804867682,0.80707821,0.806228533,0.805854944,0.805265502,0.805777226,0.804833598,0.806079038,0.805462001,0.804763824
0.25,0.794535096,0.792970108,0.796748318,0.795688828,0.805792761,0.808641884,0.816884848,0.814730899,0.815596528,0.81571307,0.816420178,0.814489448,0.81429689,0.818315926,0.812793376,0.810332845,0.808809586,0.813205,0.816048606,0.816496648,0.818637233,0.817543241,0.818546582,0.813800128,0.81686268,0.817790618,0.818462219,0.816298155,0.812489133,0.812034714,0.809828654,0.810101814,0.812485385,0.811714363,0.811550956,0.809551823,0.808682069,0.808354278,0.807213939,0.80475725,0.808324966,0.805968043,0.805617635,0.806160645,0.805929065,0.804833598,0.806079038,0.805462001,0.804763824
0.35,0.794535096,0.792970108,0.796748318,0.795688828,0.805792761,0.808641884,0.816884848,0.814730899,0.815596528,0.81571307,0.817528756,0.814736876,0.814827091,0.815017463,0.816424465,0.80818463,0.809198233,0.806003753,0.81067308,0.812769685,0.817661813,0.817543241,0.818546582,0.813800128,0.815294979,0.814748927,0.813825437,0.815949939,0.812849902,0.813101696,0.80847243,0.807239427,0.807272612,0.806240875,0.805518302,0.806032863,0.809577695,0.808757594,0.810037125,0.807949682,0.808324966,0.805968043,0.805617635,0.806160645,0.805929065,0.806021727,0.803011558,0.805462001,0.804763824
0.45,0.794535096,0.792970108,0.796748318,0.795688828,0.805792761,0.808641884,0.816884848,0.814730899,0.815596528,0.81571307,0.815544291,0.814736876,0.814827091,0.815017463,0.811552376,0.809492148,0.812533762,0.806003753,0.81067308,0.812769685,0.817661813,0.816181159,0.818546582,0.816145192,0.819010919,0.815585598,0.810728323,0.81232435,0.814003427,0.815487152,0.815238249,0.816961734,0.807272612,0.806240875,0.805518302,0.806032863,0.809577695,0.808757594,0.810037125,0.807949682,0.808324966,0.805968043,0.805617635,0.806160645,0.805929065,0.806021727,0.803011558,0.805462001,0.804763824
0.55,0.794535096,0.792970108,0.796748318,0.795688828,0.805792761,0.808641884,0.816884848,0.816501105,0.813840539,0.814576337,0.815786479,0.815173783,0.8138564,0.815017463,0.811552376,0.809492148,0.812533762,0.806003753,0.81067308,0.812769685,0.817661813,0.816181159,0.816268385,0.812314006,0.815015357,0.816044065,0.81599106,0.81232435,0.814003427,0.815487152,0.815238249,0.816961734,0.807272612,0.806240875,0.805518302,0.806032863,0.80381814,0.807096265,0.807203729,0.807949682,0.808351345,0.805968043,0.805617635,0.806160645,0.805929065,0.806021727,0.803011558,0.805462001,0.804763824
0.65,0.794535096,0.792970108,0.796748318,0.795688828,0.805792761,0.808641884,0.816884848,0.816501105,0.816193098,0.812270117,0.815786479,0.814268226,0.814644662,0.815017463,0.816525992,0.81322379,0.812361576,0.806003753,0.805904032,0.805785469,0.810502663,0.816181159,0.817543967,0.818388726,0.817318014,0.815363997,0.814668037,0.815896276,0.81557632,0.814658701,0.810287974,0.813194702,0.811692335,0.81092186,0.810444192,0.811998192,0.810397105,0.809782914,0.808079014,0.807482799,0.806502537,0.80730641,0.805572255,0.80796123,0.805929065,0.806021727,0.803011558,0.800381427,0.804763824
0.75,0.794535096,0.793179278,0.794498158,0.809211417,0.811251028,0.808641884,0.816884848,0.816501105,0.816193098,0.812270117,0.813587351,0.814268226,0.814644662,0.811789209,0.813193538,0.814171117,0.811576775,0.811508104,0.812046268,0.811327649,0.813264824,0.81202741,0.81480531,0.814219035,0.815964417,0.815580648,0.813946455,0.811659215,0.812369517,0.812307077,0.809027398,0.808282897,0.807452348,0.804881808,0.806843296,0.802974105,0.802949157,0.802320512,0.808079014,0.807482799,0.806502537,0.80730641,0.805572255,0.80796123,0.805929065,0.806021727,0.803011558,0.800381427,0.804763824
0.85,0.794535096,0.793179278,0.794498158,0.809211417,0.811251028,0.811614467,0.811360235,0.816501105,0.816193098,0.81468888,0.813587351,0.814268226,0.814644662,0.811789209,0.813193538,0.814171117,0.811576775,0.811508104,0.810829076,0.81387752,0.813045555,0.813881171,0.81553964,0.817154372,0.814277734,0.813607957,0.812022942,0.810581569,0.811994694,0.811227708,0.811101971,0.812310082,0.812488892,0.81185001,0.811028731,0.807021457,0.806854495,0.808422872,0.803766877,0.803460859,0.808646282,0.806799864,0.806472295,0.80796123,0.805929065,0.806021727,0.803011558,0.800381427,0.804763824
0.95,0.794535096,0.793373405,0.794597776,0.798303278,0.801710262,0.811875667,0.808101988,0.815650513,0.813982795,0.814056804,0.81205994,0.812371674,0.811933337,0.813645772,0.814713851,0.813621132,0.81250319,0.817584097,0.816735265,0.817140119,0.815620562,0.817252019,0.814558135,0.813354003,0.812879775,0.813055892,0.812319425,0.810952672,0.813893506,0.810180948,0.810528485,0.810118196,0.811735582,0.809386924,0.806895635,0.808648298,0.806194919,0.806171003,0.806478521,0.798041066,0.801823235,0.799771986,0.801067442,0.802856389,0.802131248,0.801393892,0.803011558,0.800381427,0.804763824
RFE-SVM,0.794535096,0.792970108,0.796748318,0.795688828,0.805792761,0.808641884,0.816884848,0.817428743,0.811848375,0.812415258,0.812589145,0.812841504,0.813798803,0.819612741,0.815488573,0.8157279,0.815891781,0.817865913,0.813568735,0.814619921,0.816157452,0.816581766,0.813151399,0.812899102,0.816324264,0.818822051,0.817004757,0.816226817,0.816063078,0.815900685,0.815952487,0.81627278,0.815694354,0.808551009,0.807770618,0.806692839,0.804531602,0.805960501,0.806309226,0.803754775,0.804962682,0.8054841,0.80871053,0.807068148,0.810438834,0.810419767,0.805126798,0.803198686,0.804763824
