,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.15,0.779911835,0.790259907,0.789358661,0.789652509,0.795648474,0.795412169,0.789277615,0.792626193,0.79209213,0.794524815,0.795854342,0.799544575,0.796415655,0.79363352,0.795914221,0.796133632,0.794534571,0.79677513,0.796464883,0.794461564,0.798382636,0.803189898,0.803245483,0.801153296,0.804209946,0.802004324,0.804029911,0.803046999,0.805024893,0.804116029,0.801241794,0.800824194,0.802085821,0.801035098,0.80268955,0.794327415,0.795326189,0.79566487,0.796171138,0.797467799,0.799776649,0.798257955,0.797385871,0.799161481,0.799334367,0.797317257,0.800124225,0.797273284,0.795345149
0.25,0.779911835,0.790259907,0.789358661,0.789652509,0.795648474,0.795412169,0.789277615,0.792626193,0.79209213,0.794524815,0.79741221,0.795653202,0.798279364,0.797603657,0.79674548,0.793641842,0.796153759,0.795260438,0.795633728,0.794461564,0.797147452,0.797832648,0.797696708,0.797607792,0.804209946,0.802004324,0.801009335,0.801486879,0.80203619,0.800796676,0.804213823,0.803224274,0.803347093,0.796857493,0.80268955,0.794327415,0.795326189,0.79566487,0.795964155,0.795614008,0.79507306,0.796901724,0.796142409,0.797840717,0.795711954,0.795711954,0.794448688,0.797273284,0.795345149
0.35,0.779911835,0.790259907,0.789358661,0.789652509,0.795648474,0.795412169,0.789277615,0.792626193,0.79209213,0.794524815,0.79741221,0.795989121,0.793717191,0.795712237,0.796954927,0.794939327,0.79753678,0.796295949,0.79536698,0.795902393,0.794006485,0.794520377,0.795435102,0.797607792,0.797141661,0.802727791,0.804733972,0.801486879,0.80203619,0.800796676,0.804213823,0.805163923,0.802432002,0.800914507,0.79728878,0.796576059,0.794212795,0.795948219,0.797549101,0.796514595,0.797048815,0.794883892,0.795936677,0.795400969,0.79748709,0.797630326,0.794448688,0.797273284,0.795345149
0.45,0.779911835,0.790259907,0.789358661,0.789652509,0.788814748,0.793463369,0.79644872,0.792923264,0.796055055,0.79696419,0.79741221,0.795989121,0.794128378,0.794425391,0.794421582,0.7941384,0.79753678,0.796295949,0.79536698,0.795902393,0.794006485,0.794520377,0.795435102,0.795644016,0.79246088,0.797142356,0.796984724,0.797814289,0.797009936,0.797049639,0.797047701,0.795822988,0.79408875,0.795805443,0.79730877,0.798460956,0.796215268,0.798665357,0.79570552,0.796514595,0.797048815,0.794883892,0.795936677,0.795400969,0.79748709,0.797630326,0.794448688,0.797853949,0.795345149
0.55,0.779911835,0.790259907,0.789358661,0.788922947,0.788814748,0.793463369,0.79644872,0.792923264,0.796055055,0.79696419,0.79741221,0.795989121,0.794128378,0.794425391,0.794421582,0.7941384,0.79753678,0.796295949,0.79536698,0.794864565,0.796361869,0.793950325,0.793032453,0.795644016,0.79246088,0.792989782,0.793997424,0.79447152,0.796488517,0.794887368,0.795126571,0.796415624,0.796086027,0.794089812,0.794952128,0.796416212,0.796026991,0.797859454,0.796181835,0.799695695,0.79733503,0.799484647,0.795936677,0.795400969,0.79748709,0.797630326,0.794448688,0.797853949,0.795345149
0.65,0.779911835,0.790259907,0.789358661,0.791241837,0.789104383,0.793547341,0.795598197,0.795620215,0.790346888,0.794403665,0.792573657,0.795989121,0.794128378,0.793965475,0.795511342,0.795719336,0.795817598,0.795498144,0.794809245,0.796420321,0.794772353,0.792893459,0.794629011,0.79210985,0.791360484,0.798292429,0.796763827,0.79627293,0.793973781,0.792726926,0.791887908,0.79198465,0.792274679,0.792175065,0.792175065,0.793181159,0.791541806,0.79111741,0.792857659,0.796341417,0.791999163,0.792701745,0.793776732,0.793132526,0.794113154,0.793573638,0.794448688,0.797853949,0.795345149
0.75,0.779911835,0.779985005,0.788877133,0.792333959,0.793692239,0.792466757,0.797202069,0.794754228,0.797135173,0.795362344,0.795902956,0.793743917,0.79643157,0.796078527,0.798640213,0.794312335,0.796308809,0.795316754,0.79348119,0.79173346,0.79301618,0.795739945,0.795660782,0.794022761,0.793923933,0.796067108,0.795186538,0.795829586,0.795043732,0.796890364,0.79338348,0.794822638,0.79469089,0.794448602,0.792762844,0.789683254,0.79071604,0.79111741,0.792857659,0.796341417,0.793233172,0.793419607,0.793776732,0.793132526,0.794113154,0.793573638,0.794448688,0.797853949,0.795345149
0.85,0.779911835,0.7804274,0.788689599,0.791241837,0.790866808,0.794415633,0.796938227,0.797018364,0.793403307,0.791780969,0.794522782,0.794113144,0.79130188,0.791989128,0.791428281,0.792795303,0.794264925,0.79351147,0.794489622,0.79173346,0.795117869,0.796789862,0.79662869,0.794549213,0.791540439,0.791362206,0.791223881,0.791249596,0.790956704,0.789522283,0.791950163,0.789427723,0.789238816,0.788585614,0.789604537,0.789683254,0.788649639,0.792619983,0.792857659,0.796341417,0.793233172,0.793419607,0.793776732,0.793132526,0.794113154,0.793573638,0.794448688,0.797853949,0.795345149
0.95,0.779911835,0.7804274,0.788689599,0.791002309,0.791058038,0.794311113,0.793114907,0.795075348,0.795412524,0.795814528,0.795140916,0.79880678,0.79913802,0.79615012,0.790441544,0.794502858,0.796822236,0.796735381,0.79450918,0.798010115,0.795499352,0.794465233,0.792318772,0.794539647,0.791568387,0.794387128,0.795512624,0.793535033,0.794611954,0.79626622,0.79626622,0.79626622,0.795334995,0.796800646,0.789604537,0.789273493,0.790263489,0.793559943,0.793171922,0.796162635,0.797938851,0.794564261,0.793426042,0.793132526,0.794113154,0.793573638,0.794448688,0.797853949,0.795345149
RFE-SVM,0.779911835,0.790259907,0.789358661,0.789652509,0.795648474,0.795412169,0.789277615,0.792626193,0.79209213,0.794524815,0.795854342,0.799544575,0.796415655,0.79363352,0.792910463,0.794247446,0.798757968,0.797262666,0.800947096,0.802055479,0.799316651,0.799020149,0.799732547,0.800410182,0.799136671,0.800538627,0.800538627,0.799052642,0.800532756,0.799450404,0.798552548,0.7964229,0.798209343,0.79794812,0.797414773,0.796141776,0.797515268,0.799307024,0.797980113,0.797770971,0.80081166,0.804373308,0.804911387,0.804834607,0.800831677,0.799117725,0.799117725,0.797273284,0.795345149
