,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.15,0.782051516,0.791750613,0.789199593,0.790226525,0.794309463,0.793283835,0.785617725,0.788686779,0.790216086,0.791748004,0.792769717,0.79633984,0.794807923,0.792258208,0.794813143,0.794807923,0.792258208,0.79378882,0.794806618,0.793276006,0.796855264,0.801445796,0.80195861,0.799912574,0.80195339,0.799401065,0.800930372,0.799908659,0.801440576,0.800417558,0.797355029,0.796850044,0.797867843,0.797358944,0.798888251,0.791228665,0.791738869,0.792757973,0.792757973,0.791732345,0.796334621,0.794291195,0.793779686,0.795820502,0.795820502,0.79428989,0.79684091,0.793779686,0.791227361
0.25,0.782051516,0.791750613,0.789199593,0.790226525,0.794309463,0.793283835,0.785617725,0.788686779,0.790216086,0.791748004,0.794813143,0.793281226,0.795319432,0.795830941,0.795836161,0.792771021,0.794809228,0.793279921,0.793274701,0.793276006,0.795828331,0.79633984,0.795827026,0.795315518,0.80195339,0.799401065,0.798374132,0.798884336,0.79939715,0.797865233,0.800417558,0.799907354,0.799398455,0.793276006,0.798888251,0.791228665,0.791738869,0.792757973,0.793784905,0.792760582,0.792250378,0.791223446,0.790714547,0.791219531,0.790203038,0.790203038,0.78867373,0.793779686,0.791227361
0.35,0.782051516,0.791750613,0.789199593,0.790226525,0.794309463,0.793283835,0.785617725,0.788686779,0.790216086,0.791748004,0.794813143,0.792769717,0.791749308,0.794301634,0.795832246,0.793790125,0.79634245,0.794811838,0.793790125,0.794300329,0.791748004,0.791748004,0.793279921,0.795315518,0.794806618,0.800422778,0.802467509,0.798884336,0.79939715,0.797865233,0.800417558,0.801439271,0.798889556,0.797358944,0.793274701,0.793276006,0.790210867,0.792254293,0.794295109,0.792761887,0.793274701,0.788668511,0.789688919,0.789178715,0.78917741,0.790200428,0.78867373,0.793779686,0.791227361
0.45,0.782051516,0.791750613,0.789199593,0.790226525,0.789715016,0.792778851,0.794815752,0.790217391,0.795320737,0.793277311,0.794813143,0.792769717,0.792259513,0.793277311,0.793277311,0.792764497,0.79634245,0.794811838,0.793790125,0.794300329,0.791748004,0.791748004,0.793279921,0.793278616,0.789701968,0.795827026,0.794293804,0.794291195,0.793269482,0.793268177,0.792249074,0.790718461,0.789696748,0.791227361,0.792757973,0.79428989,0.792246464,0.794296414,0.791741479,0.792761887,0.793274701,0.788668511,0.789688919,0.789178715,0.78917741,0.790200428,0.78867373,0.791734955,0.791227361
0.55,0.782051516,0.791750613,0.789199593,0.788688084,0.789715016,0.792778851,0.794815752,0.790217391,0.795320737,0.793277311,0.794813143,0.792769717,0.792259513,0.793277311,0.793277311,0.792764497,0.79634245,0.794811838,0.793790125,0.792769717,0.79328253,0.791237799,0.790216086,0.793278616,0.789701968,0.790723681,0.791231275,0.792250378,0.7942925,0.792250378,0.792760582,0.793269482,0.792249074,0.790718461,0.790715852,0.793273396,0.792761887,0.793268177,0.789183934,0.793775771,0.791222141,0.793264262,0.789688919,0.789178715,0.78917741,0.790200428,0.78867373,0.791734955,0.791227361
0.65,0.782051516,0.791750613,0.789199593,0.79073151,0.789715016,0.792268647,0.79328253,0.794305548,0.786636829,0.790218696,0.791237799,0.792769717,0.792259513,0.792256903,0.792769717,0.792768412,0.792768412,0.792255598,0.791745394,0.793277311,0.792258208,0.789704577,0.791233885,0.789193069,0.788170051,0.795319432,0.793277311,0.792260817,0.789193069,0.788170051,0.787147033,0.787658542,0.787658542,0.787148338,0.787148338,0.789186544,0.787140508,0.784586878,0.786628999,0.788667206,0.785097082,0.786112271,0.787137899,0.786627695,0.787649408,0.787650712,0.78867373,0.791734955,0.791227361
0.75,0.782051516,0.782051516,0.790220001,0.792776241,0.79379143,0.791750613,0.795322042,0.79328253,0.795325956,0.792769717,0.793281226,0.790724986,0.793279921,0.791745394,0.794297719,0.791745394,0.793274701,0.791744089,0.789701968,0.788682864,0.790214782,0.792764497,0.792254293,0.790723681,0.790212172,0.792767107,0.792768412,0.793278616,0.792256903,0.794300329,0.789194373,0.790726291,0.790727595,0.790216086,0.786634219,0.783058876,0.785097082,0.784586878,0.786628999,0.788667206,0.785604677,0.785094473,0.787137899,0.786627695,0.787649408,0.787650712,0.78867373,0.791734955,0.791227361
0.85,0.782051516,0.78256172,0.790730205,0.79073151,0.790221306,0.792776241,0.79584138,0.79584138,0.791749308,0.790216086,0.792765802,0.792255598,0.789194373,0.788170051,0.787658542,0.788680255,0.790210867,0.789699358,0.790718461,0.788682864,0.792258208,0.79378621,0.792765802,0.790213477,0.788682864,0.788170051,0.788168746,0.787144423,0.787145728,0.784592098,0.787657237,0.784589488,0.784083198,0.783064095,0.784087113,0.783058876,0.782038468,0.787652017,0.786628999,0.788667206,0.785604677,0.785094473,0.787137899,0.786627695,0.787649408,0.787650712,0.78867373,0.791734955,0.791227361
0.95,0.782051516,0.78256172,0.790730205,0.791243019,0.791244324,0.793794039,0.792263427,0.794304243,0.794817057,0.794814448,0.79328253,0.79634506,0.796856569,0.794305548,0.787148338,0.790212172,0.7937836,0.793782296,0.79123258,0.79428989,0.790208257,0.790208257,0.787145728,0.791742784,0.787148338,0.790723681,0.791745394,0.789704577,0.790212172,0.791233885,0.791233885,0.791233885,0.789190459,0.790206952,0.784087113,0.783567775,0.785612506,0.790213477,0.789183934,0.790714547,0.79173626,0.788672425,0.787141813,0.786627695,0.787649408,0.787650712,0.78867373,0.791734955,0.791227361
RFE-SVM,0.782051516,0.791750613,0.789199593,0.790226525,0.794309463,0.793283835,0.785617725,0.788686779,0.790216086,0.791748004,0.792769717,0.79633984,0.794807923,0.792258208,0.791746699,0.791750613,0.796338535,0.795314213,0.797869148,0.798381961,0.794802704,0.795315518,0.796337231,0.798379352,0.797867843,0.798379352,0.798379352,0.796850044,0.797870453,0.796848739,0.797362858,0.794806618,0.79684613,0.796335926,0.795827026,0.794805313,0.796337231,0.797867843,0.794800094,0.79428989,0.797863928,0.800925153,0.801435357,0.801436662,0.797349809,0.794796179,0.794796179,0.793779686,0.791227361
