,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.15,0.803708516,0.768256048,0.791328703,0.78719763,0.772400941,0.769510901,0.776750279,0.780136776,0.784984486,0.785222608,0.785616139,0.785281192,0.783805565,0.784705827,0.787759489,0.785687701,0.782092217,0.782702587,0.781102636,0.780650367,0.784565595,0.782898023,0.784386207,0.782765167,0.78346001,0.78026514,0.783575154,0.782610091,0.784544028,0.787214912,0.787079308,0.789898717,0.788114753,0.788588159,0.78606734,0.786337578,0.784286851,0.782616142,0.783232986,0.782801134,0.782801134,0.78419083,0.785000347,0.783424556,0.782458096,0.784796194,0.782785527,0.783041198,0.782479784
0.25,0.803708516,0.768256048,0.791328703,0.769181017,0.772400941,0.769510901,0.776750279,0.780136776,0.784984486,0.779546134,0.785616139,0.785281192,0.784236376,0.783773172,0.783330287,0.787761688,0.782092217,0.780727724,0.781789335,0.780650367,0.784565595,0.781797924,0.784102129,0.784890641,0.785747353,0.784381759,0.782763233,0.782610091,0.788360917,0.787120045,0.787415162,0.785619366,0.786061101,0.783707429,0.785987935,0.78567486,0.785951319,0.784855429,0.784824319,0.786729435,0.782715032,0.78419083,0.785000347,0.783424556,0.782458096,0.784796194,0.782785527,0.783041198,0.782479784
0.35,0.803708516,0.768256048,0.791328703,0.769181017,0.772400941,0.769510901,0.776750279,0.780136776,0.775719485,0.779546134,0.776160898,0.775532299,0.788386664,0.782704208,0.780314851,0.778741591,0.781746178,0.782067856,0.781789335,0.780481564,0.782734079,0.78049244,0.78151617,0.781909667,0.781494724,0.78205742,0.786770428,0.785727301,0.781473709,0.778567019,0.777898386,0.779252649,0.779131563,0.780447051,0.784480466,0.78561375,0.785951319,0.786264879,0.784525566,0.78158552,0.782715032,0.78419083,0.783483124,0.783424556,0.782458096,0.784796194,0.782785527,0.783041198,0.782479784
0.45,0.803708516,0.768256048,0.791328703,0.769181017,0.772400941,0.769510901,0.776750279,0.780136776,0.775719485,0.779546134,0.776160898,0.775532299,0.776251731,0.785104717,0.779390381,0.781044324,0.781746178,0.782067856,0.781497844,0.783050469,0.781771829,0.780598363,0.780340629,0.780980319,0.78370632,0.783339183,0.78219096,0.785727301,0.778324973,0.778094224,0.777898386,0.779252649,0.779131563,0.780447051,0.784480466,0.78561375,0.785820258,0.786264879,0.784525566,0.78158552,0.781342145,0.78419083,0.783483124,0.783678996,0.782458096,0.784796194,0.782785527,0.783041198,0.782479784
0.55,0.803708516,0.768256048,0.791328703,0.769181017,0.772400941,0.769510901,0.776750279,0.772155298,0.775719485,0.779546134,0.783069335,0.781737138,0.780060867,0.78213606,0.779578718,0.781044324,0.780066925,0.782067856,0.783736961,0.783050469,0.781771829,0.780598363,0.780340629,0.78189169,0.778800037,0.778819845,0.780925845,0.782581183,0.786320615,0.78049861,0.779864846,0.778580557,0.781359558,0.781119908,0.778787819,0.778574955,0.777446362,0.781739794,0.784654588,0.78158552,0.781342145,0.78419083,0.783483124,0.783678996,0.782458096,0.784796194,0.782785527,0.783041198,0.782479784
0.65,0.803708516,0.768256048,0.791328703,0.769181017,0.772400941,0.769510901,0.776750279,0.772155298,0.775719485,0.779546134,0.783069335,0.781737138,0.780060867,0.78213606,0.779578718,0.781044324,0.780066925,0.782067856,0.783736961,0.783050469,0.781771829,0.780598363,0.780456919,0.77994017,0.778073207,0.779629729,0.782112074,0.783374623,0.78123876,0.781493261,0.781552576,0.781595146,0.779354998,0.777987696,0.779511804,0.778518255,0.777446362,0.784582932,0.781594639,0.78158552,0.781342145,0.78419083,0.783483124,0.783678996,0.782458096,0.784796194,0.782785527,0.783041198,0.782479784
0.75,0.803708516,0.768256048,0.751377083,0.769181017,0.775390482,0.769510901,0.769451057,0.770340805,0.768478191,0.76787957,0.768389037,0.772240685,0.772357897,0.766832095,0.770216335,0.781218693,0.777011264,0.780643378,0.783838544,0.77892777,0.778433826,0.780829245,0.780054601,0.777901877,0.776898775,0.778105197,0.780045524,0.778572056,0.776689178,0.778023051,0.781326836,0.781207244,0.784435201,0.782857393,0.781594561,0.780908997,0.780133549,0.784688008,0.78211114,0.785000985,0.78083512,0.78419083,0.783483124,0.783678996,0.782458096,0.784796194,0.782785527,0.783041198,0.782479784
0.85,0.803708516,0.774912852,0.751377083,0.769181017,0.772400941,0.770563855,0.769208384,0.767655284,0.768478191,0.76787957,0.768389037,0.767173081,0.772357897,0.766832095,0.770216335,0.781218693,0.777011264,0.777378608,0.783838544,0.77892777,0.778433826,0.780829245,0.780054601,0.780115073,0.78081069,0.776105286,0.777420299,0.778262858,0.778089905,0.777210187,0.776814383,0.781207244,0.784435201,0.782857393,0.781594561,0.780908997,0.780133549,0.784688008,0.78211114,0.785000985,0.78083512,0.78193424,0.783434327,0.780263012,0.779873456,0.784796194,0.782785527,0.783041198,0.782479784
0.95,0.803708516,0.774912852,0.751377083,0.769181017,0.772400941,0.765440359,0.764787001,0.763791928,0.764839221,0.766879703,0.76968537,0.767283965,0.768813584,0.763270983,0.768140797,0.766469796,0.769295275,0.767899279,0.772182481,0.771168931,0.771964436,0.773247564,0.773416955,0.774229979,0.76850205,0.768498007,0.769050214,0.768959447,0.76771868,0.770689587,0.771038123,0.773899435,0.771674244,0.776669603,0.771296167,0.769434576,0.773133762,0.775334199,0.775201659,0.785000985,0.78083512,0.78193424,0.778829344,0.780461406,0.781500684,0.781111127,0.779811944,0.783041198,0.782479784
RFE-SVM,0.794661275,0.763385068,0.742037256,0.718678357,0.738964984,0.741489562,0.733764841,0.741261031,0.737224244,0.738191971,0.744785822,0.753070798,0.755048303,0.748566462,0.752045151,0.751890421,0.751595351,0.753135617,0.752274178,0.748589576,0.751359565,0.7513043,0.75014214,0.751412192,0.748823358,0.75023903,0.747020813,0.745682983,0.748341597,0.747799332,0.745037076,0.747768057,0.748893188,0.748576324,0.749723856,0.750960154,0.748025361,0.748701385,0.750313177,0.751348566,0.752376844,0.749124092,0.750028821,0.752086566,0.752049141,0.750263567,0.752771765,0.752803626,0.752737915
