,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.15,0.778443551,0.761075735,0.790187379,0.785589018,0.780990657,0.778443551,0.784061016,0.785592933,0.789170886,0.789161752,0.790694974,0.789160447,0.787117021,0.789156532,0.790691059,0.790689754,0.787627225,0.788138734,0.788134819,0.786601597,0.790687144,0.789156532,0.791199958,0.789668041,0.79017955,0.788137429,0.790180855,0.789669346,0.791201263,0.792737095,0.792734485,0.794777911,0.793757503,0.794266402,0.792222976,0.792224281,0.790693669,0.789163057,0.789673261,0.788652852,0.788652852,0.790183465,0.791207787,0.789165666,0.788140039,0.79018216,0.789161752,0.789161752,0.787627225
0.25,0.778443551,0.761075735,0.790187379,0.778956365,0.780990657,0.778443551,0.784061016,0.785592933,0.789170886,0.786615951,0.790694974,0.789160447,0.788651548,0.788137429,0.788137429,0.791203873,0.787627225,0.786095308,0.787115716,0.786601597,0.790687144,0.788645023,0.790689754,0.791197349,0.792220366,0.790688449,0.790178245,0.789669346,0.793760113,0.791711467,0.791711467,0.790691059,0.791201263,0.789159142,0.791714077,0.791717992,0.792226891,0.791206483,0.791206483,0.792737095,0.789163057,0.790183465,0.791207787,0.789165666,0.788140039,0.79018216,0.789161752,0.789161752,0.787627225
0.35,0.778443551,0.761075735,0.790187379,0.778956365,0.780990657,0.778443551,0.784061016,0.785592933,0.783550812,0.786615951,0.783040608,0.783550812,0.792742314,0.78711963,0.784567305,0.783544287,0.786094003,0.79017955,0.787115716,0.786605512,0.788137429,0.786095308,0.787624615,0.788643718,0.78762592,0.788136124,0.792731875,0.791201263,0.788134819,0.785579884,0.785070985,0.785070985,0.784562086,0.787111801,0.790689754,0.791712772,0.792226891,0.792226891,0.790696279,0.788140039,0.789163057,0.790183465,0.789163057,0.789165666,0.788140039,0.79018216,0.789161752,0.789161752,0.787627225
0.45,0.778443551,0.761075735,0.790187379,0.778956365,0.780990657,0.778443551,0.784061016,0.785592933,0.783550812,0.786615951,0.783040608,0.783550812,0.784059711,0.790698888,0.784564695,0.786092698,0.786094003,0.79017955,0.789157837,0.79017955,0.787627225,0.787118326,0.787118326,0.787629835,0.789157837,0.788646328,0.788137429,0.791201263,0.784559476,0.785581189,0.785070985,0.785070985,0.784562086,0.787111801,0.790689754,0.791712772,0.791712772,0.792226891,0.790696279,0.788140039,0.787629835,0.790183465,0.789163057,0.789164361,0.788140039,0.79018216,0.789161752,0.789161752,0.787627225
0.55,0.778443551,0.761075735,0.790187379,0.778956365,0.780990657,0.778443551,0.784061016,0.783044522,0.783550812,0.786615951,0.791210397,0.790188684,0.788147868,0.788146563,0.784567305,0.786092698,0.787115716,0.79017955,0.791198653,0.79017955,0.787627225,0.787118326,0.787118326,0.788138734,0.785076204,0.785077509,0.786604207,0.788646328,0.791711467,0.787110496,0.786604207,0.784046662,0.786090088,0.786091393,0.785579884,0.785578579,0.784049272,0.787627225,0.790693669,0.788140039,0.787629835,0.790183465,0.789163057,0.789164361,0.788140039,0.79018216,0.789161752,0.789161752,0.787627225
0.65,0.778443551,0.761075735,0.790187379,0.778956365,0.780990657,0.778443551,0.784061016,0.783044522,0.783550812,0.786615951,0.791210397,0.790188684,0.788147868,0.788146563,0.784567305,0.786092698,0.787115716,0.79017955,0.791198653,0.79017955,0.787627225,0.787118326,0.786099222,0.785589018,0.784564695,0.786100527,0.787633749,0.789166971,0.78712224,0.78712224,0.787633749,0.787633749,0.785591628,0.785082729,0.784559476,0.784047967,0.784049272,0.790692364,0.788645023,0.788140039,0.787629835,0.790183465,0.789163057,0.789164361,0.788140039,0.79018216,0.789161752,0.789161752,0.787627225
0.75,0.778443551,0.761075735,0.760060546,0.778956365,0.782531708,0.778443551,0.777420533,0.778952451,0.777420533,0.776397516,0.776396211,0.779463959,0.779462655,0.77640143,0.778949841,0.787629835,0.783542982,0.788142648,0.789163057,0.784057101,0.783546897,0.785587713,0.785077509,0.783545592,0.782016285,0.783035388,0.785076204,0.783545592,0.781504776,0.782517355,0.785579884,0.785581189,0.789156532,0.78762331,0.786092698,0.785073595,0.784054491,0.789163057,0.787118326,0.79018477,0.786605512,0.790183465,0.789163057,0.789164361,0.788140039,0.79018216,0.789161752,0.789161752,0.787627225
0.85,0.778443551,0.77589775,0.760060546,0.778956365,0.780990657,0.777925518,0.777930738,0.778947231,0.777420533,0.776397516,0.776396211,0.775373193,0.779462655,0.77640143,0.778949841,0.787629835,0.783542982,0.78200976,0.789163057,0.784057101,0.783546897,0.785587713,0.785077509,0.785587713,0.786096613,0.782011065,0.782013675,0.784054491,0.784054491,0.783541678,0.783030169,0.785581189,0.789156532,0.78762331,0.786092698,0.785073595,0.784054491,0.789163057,0.787118326,0.79018477,0.786605512,0.787115716,0.788645023,0.786096613,0.785585104,0.79018216,0.789161752,0.789161752,0.787627225
0.95,0.778443551,0.77589775,0.760060546,0.778956365,0.780990657,0.77639882,0.775887311,0.775883397,0.775374498,0.775878177,0.777920299,0.775879482,0.777411399,0.775370583,0.776912939,0.776397516,0.778945926,0.777924213,0.781503471,0.781502166,0.78201237,0.782522574,0.782529099,0.782529099,0.779460045,0.77945874,0.77946135,0.77946135,0.778948536,0.780989352,0.780995877,0.784055796,0.78201237,0.785070985,0.780989352,0.779968944,0.781500861,0.783542982,0.783031473,0.79018477,0.786605512,0.787115716,0.784566,0.786096613,0.787117021,0.786605512,0.785585104,0.789161752,0.787627225
RFE-SVM,0.779963725,0.753420064,0.750862519,0.726358369,0.749846025,0.749341041,0.747810429,0.754448301,0.751895976,0.753430503,0.757001931,0.765170416,0.76823425,0.760064461,0.764152618,0.764661517,0.765174331,0.764661517,0.764658907,0.762103972,0.763634584,0.760063156,0.761079649,0.763119161,0.760566835,0.76107704,0.7580119,0.756992797,0.759033613,0.759036223,0.756481288,0.759037528,0.760057936,0.759547732,0.76056814,0.761585939,0.759036223,0.759546427,0.760056631,0.76107704,0.762100057,0.759033613,0.759545122,0.761588548,0.761587244,0.760055326,0.762608957,0.762608957,0.762098753
ReliefF-SVM,0.779963725,0.765171721,0.749338431,0.739121301,0.716149068,0.715641474,0.711043113,0.707981888,0.706965395,0.70951511,0.711555927,0.711557232,0.716669711,0.710029229,0.710539433,0.742705778,0.741686675,0.751377942,0.751377942,0.749333212,0.748311499,0.747801294,0.748823007,0.753934182,0.754445691,0.755974999,0.752908555,0.756487813,0.757509526,0.753425283,0.755467404,0.754954591,0.753931573,0.759550342,0.754953286,0.755464795,0.755466099,0.7549572,0.76057336,0.760572055,0.76312699,0.760057936,0.760059241,0.759547732,0.761585939,0.759034918,0.75801451,0.762606347,0.762098753
