,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.15,0.517361525,0.687009154,0.801339504,0.800745481,0.805965736,0.813356478,0.815591263,0.814982705,0.814641793,0.818915251,0.820953597,0.820187746,0.818191353,0.818594874,0.81962516,0.817700747,0.818173854,0.818437234,0.819165169,0.819561863,0.82418083,0.820687564,0.81751956,0.821769534,0.816693789,0.818428413,0.813211965,0.810808338,0.812149375,0.815101978,0.814160917,0.808998262,0.808843852,0.808301087,0.808060149,0.809697522,0.808799728,0.809036498,0.812352441,0.809338983,0.808455869,0.804252981,0.806278407,0.808757,0.807585704,0.808549934,0.808856336,0.799527167,0.800244368
0.25,0.517361525,0.687009154,0.801339504,0.800745481,0.805965736,0.813356478,0.815591263,0.814982705,0.814641793,0.818915251,0.820953597,0.820187746,0.818191353,0.818594874,0.81962516,0.817700747,0.818173854,0.818437234,0.819165169,0.819561863,0.82418083,0.820687564,0.820226698,0.822376022,0.818202421,0.819162658,0.818801822,0.813481299,0.813677536,0.813719689,0.813725992,0.815653062,0.820944143,0.807945458,0.810085895,0.809697522,0.812839049,0.809036498,0.812352441,0.809338983,0.810313812,0.813962802,0.806278407,0.808757,0.807585704,0.808549934,0.808856336,0.799527167,0.800244368
0.35,0.517361525,0.687009154,0.801339504,0.800745481,0.805965736,0.813356478,0.815591263,0.814982705,0.814641793,0.818915251,0.81759491,0.818009496,0.818842166,0.81997597,0.815230939,0.816057381,0.815787573,0.813515116,0.815644564,0.81639481,0.816431245,0.817252522,0.81892178,0.819647782,0.818989348,0.818333508,0.8198425,0.817882312,0.819373324,0.813671283,0.813725992,0.81796056,0.820944143,0.807945458,0.810085895,0.808939006,0.812839049,0.809036498,0.809263339,0.806329554,0.807748717,0.808886035,0.808417792,0.808757,0.807585704,0.808549934,0.808856336,0.799527167,0.800244368
0.45,0.517361525,0.687009154,0.801339504,0.800745481,0.805965736,0.813356478,0.813156501,0.81898607,0.814641793,0.818915251,0.820773828,0.816994929,0.816036577,0.814658258,0.817109717,0.819299831,0.817149552,0.814902517,0.812544238,0.81415027,0.815085272,0.81769628,0.818039396,0.822376022,0.822297137,0.818607468,0.818562613,0.819280436,0.818067794,0.815427157,0.814512018,0.81796056,0.820944143,0.807945458,0.810085895,0.808939006,0.812839049,0.813402735,0.811306795,0.812043026,0.808691936,0.806000491,0.808417792,0.808757,0.807585704,0.808549934,0.808856336,0.799527167,0.800244368
0.55,0.517361525,0.687009154,0.801339504,0.800745481,0.805965736,0.813356478,0.813156501,0.81898607,0.814641793,0.818915251,0.819646326,0.813316984,0.815273078,0.815853722,0.815023909,0.818278604,0.815787573,0.813515116,0.815644564,0.815832939,0.820398719,0.816323421,0.816113729,0.816505612,0.822297137,0.818607468,0.818562613,0.819280436,0.818067794,0.820777864,0.821452006,0.822205873,0.824050785,0.814359622,0.817919865,0.808939006,0.812839049,0.813402735,0.811306795,0.812043026,0.808691936,0.806000491,0.807313537,0.808757,0.807585704,0.808549934,0.808856336,0.799527167,0.800244368
0.65,0.517361525,0.687009154,0.801339504,0.800745481,0.805965736,0.813356478,0.813156501,0.81898607,0.82059528,0.818915251,0.820773828,0.816394317,0.815273078,0.815853722,0.815023909,0.818278604,0.815787573,0.813876718,0.814840675,0.811547646,0.81393635,0.816986942,0.818367128,0.819928181,0.817628331,0.818607468,0.814975054,0.818491909,0.814612792,0.819438125,0.817886815,0.817098327,0.817421506,0.818998611,0.821386558,0.817165652,0.812839049,0.813402735,0.811306795,0.812043026,0.808691936,0.805681289,0.808153442,0.809958114,0.81099198,0.811255274,0.808856336,0.799527167,0.800244368
0.75,0.517361525,0.687009154,0.801339504,0.800745481,0.805965736,0.813356478,0.813156501,0.81898607,0.82059528,0.820856276,0.820773828,0.816394317,0.815273078,0.815853722,0.815023909,0.818278604,0.815787573,0.813876718,0.814840675,0.811547646,0.81393635,0.816986942,0.818367128,0.819928181,0.817628331,0.816639113,0.816021285,0.817411514,0.814352579,0.815276895,0.810066164,0.813623205,0.812052426,0.816762509,0.816497757,0.818696031,0.81899861,0.8161687,0.816902579,0.813171145,0.810669744,0.81067092,0.811177802,0.809958114,0.81099198,0.811255274,0.808856336,0.799527167,0.800244368
0.85,0.517361525,0.687009154,0.801339504,0.800745481,0.805965736,0.813356478,0.815729845,0.815934229,0.819412327,0.820856276,0.819955048,0.816394317,0.815089371,0.812779448,0.81592124,0.81592124,0.815170565,0.814790623,0.814840675,0.811547646,0.81393635,0.815370063,0.819737707,0.821379557,0.822204223,0.817194624,0.816685596,0.818712915,0.817248209,0.821953787,0.818350204,0.817779797,0.816779387,0.813622627,0.81456655,0.816086697,0.816318021,0.815377704,0.815028191,0.813171145,0.810669744,0.811503654,0.811177802,0.807898022,0.80471499,0.80329411,0.806531756,0.799527167,0.800244368
0.95,0.517361525,0.687009154,0.801339504,0.801932875,0.801513116,0.805949641,0.815227075,0.81624181,0.815899973,0.816207259,0.819955048,0.818978591,0.816794027,0.813644172,0.813970502,0.810891084,0.814089531,0.814726351,0.81339753,0.812622873,0.81393635,0.815370063,0.818116485,0.816070979,0.816481197,0.814471611,0.814726548,0.818301058,0.819778053,0.817037277,0.817064036,0.814105699,0.808058008,0.807216185,0.806874346,0.808681201,0.81077574,0.812310679,0.811227739,0.808923159,0.810367291,0.810589053,0.811177802,0.807898022,0.80471499,0.80329411,0.806531756,0.799527167,0.800244368
RFE-SVM,0.517361525,0.687009154,0.801339504,0.800745481,0.805965736,0.813356478,0.815591263,0.814982705,0.814641793,0.818915251,0.820953597,0.820187746,0.818191353,0.818594874,0.81962516,0.817700747,0.818173854,0.818437234,0.819165169,0.819561863,0.82418083,0.820687564,0.81751956,0.818306638,0.814105291,0.81622166,0.812976022,0.818774721,0.817002289,0.81528011,0.819665327,0.817507236,0.817163629,0.81581313,0.818798711,0.814739327,0.810649448,0.815468089,0.815318948,0.810575769,0.806127544,0.806612584,0.809932417,0.806799505,0.805657504,0.802819326,0.804649796,0.802220138,0.800244368
ReliefF-SVM,0.797323152,0.804828159,0.80600836,0.805302861,0.804117155,0.800119082,0.802281092,0.800356738,0.813367763,0.813327492,0.812591562,0.811302793,0.811244865,0.815593174,0.82172253,0.821019499,0.821258375,0.819340561,0.8160197,0.822629851,0.821612232,0.821734111,0.820281397,0.81718201,0.816871776,0.815877604,0.81812265,0.818288884,0.812974007,0.823114197,0.821772499,0.822886059,0.822424247,0.819249577,0.81622663,0.818721174,0.817733917,0.817101447,0.81222292,0.812971335,0.809267408,0.808824182,0.81102122,0.811785589,0.806461044,0.811255274,0.806531756,0.799527167,0.800244368
