,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.15,0.49974555,0.580871914,0.792761887,0.792763192,0.798859544,0.808049742,0.810600762,0.810090558,0.809075369,0.815711937,0.816734955,0.816223446,0.813159612,0.813671121,0.815206952,0.814185239,0.813669816,0.812649408,0.814176105,0.814692834,0.819797484,0.815191294,0.810592933,0.816220836,0.813668511,0.814694139,0.810602067,0.808556031,0.809577744,0.813153087,0.812132679,0.80957383,0.80957383,0.808550812,0.809054491,0.810590323,0.810586408,0.811097917,0.813146563,0.810594238,0.811104442,0.8065113,0.807534318,0.807535623,0.808045827,0.808049742,0.808048437,0.800893836,0.801910329
0.25,0.49974555,0.580871914,0.792761887,0.792763192,0.798859544,0.808049742,0.810600762,0.810090558,0.809075369,0.815711937,0.816734955,0.816223446,0.813159612,0.813671121,0.815206952,0.814185239,0.813669816,0.812649408,0.814176105,0.814692834,0.819797484,0.815191294,0.814165666,0.81723472,0.811614646,0.812635054,0.812123545,0.811109661,0.812644188,0.812638969,0.813149173,0.814679785,0.819275536,0.809566,0.810591628,0.810590323,0.812637664,0.811097917,0.813146563,0.810594238,0.810598152,0.813663291,0.807534318,0.807535623,0.808045827,0.808049742,0.808048437,0.800893836,0.801910329
0.35,0.49974555,0.580871914,0.792761887,0.792763192,0.798859544,0.808049742,0.810600762,0.810090558,0.809075369,0.815711937,0.813668511,0.813669816,0.814183934,0.815208257,0.811118795,0.812655932,0.812143118,0.810102302,0.812653322,0.812140508,0.812642883,0.8141748,0.814172191,0.815702803,0.815705413,0.814679785,0.81723733,0.815195209,0.816218226,0.81162117,0.813149173,0.816721906,0.819275536,0.809566,0.810591628,0.808552116,0.812637664,0.811097917,0.810590323,0.808545592,0.810080119,0.809575134,0.808550812,0.807535623,0.808045827,0.808049742,0.808048437,0.800893836,0.801910329
0.45,0.49974555,0.580871914,0.792761887,0.792763192,0.798859544,0.808049742,0.808051047,0.812640274,0.809075369,0.815711937,0.817754058,0.813158307,0.812137899,0.810098387,0.813163526,0.815209562,0.814186544,0.812144423,0.809076674,0.81111749,0.81162117,0.813155697,0.814685004,0.81723472,0.817744924,0.814166971,0.815189989,0.816728431,0.815704108,0.813151782,0.812640274,0.816721906,0.819275536,0.809566,0.810591628,0.808552116,0.812637664,0.812130069,0.810595543,0.81161856,0.809066235,0.80396289,0.808550812,0.807535623,0.808045827,0.808049742,0.808048437,0.800893836,0.801910329
0.55,0.49974555,0.580871914,0.792761887,0.792763192,0.798859544,0.808049742,0.808051047,0.812640274,0.809075369,0.815711937,0.81673104,0.809585573,0.811627695,0.812137899,0.8111201,0.814698053,0.812143118,0.810102302,0.812653322,0.812654627,0.816224751,0.813157002,0.812133984,0.813664596,0.817744924,0.814166971,0.815189989,0.816728431,0.815704108,0.817747534,0.817748839,0.818767942,0.820301164,0.811617256,0.8146837,0.808552116,0.812637664,0.812130069,0.810595543,0.81161856,0.809066235,0.80396289,0.806003706,0.807535623,0.808045827,0.808049742,0.808048437,0.800893836,0.801910329
0.65,0.49974555,0.580871914,0.792761887,0.792763192,0.798859544,0.808049742,0.808051047,0.812640274,0.816738869,0.815711937,0.817754058,0.813667206,0.811627695,0.812137899,0.8111201,0.814698053,0.812143118,0.810608591,0.812144423,0.808054961,0.810094473,0.812646798,0.814686309,0.815197818,0.814173495,0.814166971,0.809569915,0.814685004,0.810595543,0.815191294,0.813660682,0.812638969,0.815706717,0.816219531,0.818769247,0.815704108,0.812637664,0.812130069,0.810595543,0.81161856,0.809066235,0.806005011,0.807028029,0.808557336,0.808558641,0.808047132,0.808048437,0.800893836,0.801910329
0.75,0.49974555,0.580871914,0.792761887,0.792763192,0.798859544,0.808049742,0.808051047,0.812640274,0.816738869,0.81673365,0.817754058,0.813667206,0.811627695,0.812137899,0.8111201,0.814698053,0.812143118,0.810608591,0.812144423,0.808054961,0.810094473,0.812646798,0.814686309,0.815197818,0.814173495,0.813154392,0.811617256,0.813661987,0.809576439,0.810596847,0.805490892,0.809576439,0.808044522,0.813661987,0.812638969,0.814682395,0.814170886,0.811619865,0.812132679,0.809581659,0.808052351,0.808048437,0.807538233,0.808557336,0.808558641,0.808047132,0.808048437,0.800893836,0.801910329
0.85,0.49974555,0.580871914,0.792761887,0.792763192,0.798859544,0.808049742,0.811113576,0.811625085,0.813663291,0.81673365,0.816227361,0.813667206,0.812649408,0.809586878,0.812655932,0.812655932,0.8111201,0.810607286,0.812144423,0.808054961,0.810094473,0.812137899,0.816219531,0.817748839,0.818770552,0.814687614,0.81418002,0.815710632,0.814687614,0.818770552,0.815197818,0.815196513,0.813151782,0.810089253,0.811114881,0.812128765,0.81162117,0.811112271,0.810600762,0.809581659,0.808052351,0.808051047,0.807538233,0.804987212,0.801924683,0.80090036,0.804474398,0.800893836,0.801910329
0.95,0.49974555,0.580871914,0.792761887,0.795815283,0.795816588,0.800391461,0.81162378,0.812645493,0.810090558,0.811112271,0.816227361,0.814695443,0.812141813,0.811126625,0.811124015,0.80601284,0.809081894,0.809077979,0.809077979,0.80856386,0.810094473,0.812137899,0.815205647,0.81418002,0.814690224,0.813672425,0.813163526,0.815717156,0.816220836,0.812645493,0.813672425,0.810608591,0.807540842,0.806003706,0.805493502,0.80600762,0.809580354,0.808556031,0.808045827,0.804984603,0.807030638,0.807030638,0.807538233,0.804987212,0.801924683,0.80090036,0.804474398,0.800893836,0.801910329
RFE-SVM,0.49974555,0.580871914,0.792761887,0.792763192,0.798859544,0.808049742,0.810600762,0.810090558,0.809075369,0.815711937,0.816734955,0.816223446,0.813159612,0.813671121,0.815206952,0.814185239,0.813669816,0.812649408,0.814176105,0.814692834,0.819797484,0.815191294,0.810592933,0.811612036,0.81162117,0.813151782,0.810598152,0.815708022,0.813661987,0.812130069,0.816723211,0.814682395,0.815189989,0.813147868,0.816719296,0.813658072,0.810087948,0.813664596,0.813664596,0.810598152,0.807025419,0.806512605,0.808558641,0.806512605,0.80650869,0.80395506,0.804980688,0.803958975,0.801910329
