,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.15,0.799942586,0.791775406,0.810147972,0.807594342,0.811169685,0.810147972,0.818826661,0.818830576,0.821376377,0.822396785,0.822908294,0.822399395,0.82750535,0.826995146,0.826483637,0.822402004,0.821381596,0.819852289,0.823422412,0.81933817,0.828012944,0.830049846,0.829030743,0.827498826,0.83005637,0.826477113,0.827498826,0.825968213,0.826988622,0.823926092,0.821376377,0.82188919,0.821887886,0.824440211,0.820871392,0.820867477,0.825465839,0.823933921,0.820357273,0.820358578,0.819848374,0.820868782,0.822909599,0.824440211,0.821378986,0.822396785,0.818315152,0.820357273,0.820870087
0.25,0.799942586,0.791775406,0.810147972,0.807594342,0.811169685,0.810147972,0.818826661,0.818830576,0.821376377,0.822396785,0.822908294,0.823419803,0.82750535,0.826995146,0.826483637,0.822402004,0.821381596,0.819852289,0.823422412,0.81933817,0.822910903,0.826482332,0.826991231,0.82750274,0.8249465,0.823926092,0.823928702,0.825968213,0.825458009,0.826478417,0.825970823,0.826482332,0.82750013,0.826482332,0.824950415,0.825970823,0.825465839,0.821887886,0.821377682,0.821887886,0.819336865,0.820868782,0.822910903,0.820866173,0.821378986,0.822396785,0.818315152,0.822400699,0.820870087
0.35,0.799942586,0.791775406,0.810147972,0.807594342,0.811169685,0.810147972,0.818826661,0.818830576,0.821376377,0.822396785,0.822908294,0.822399395,0.821380291,0.825973433,0.824953025,0.822402004,0.828528368,0.826486247,0.820872697,0.822400699,0.824953025,0.822906989,0.82188919,0.826479722,0.823418498,0.823926092,0.822905684,0.81984185,0.821375072,0.821887886,0.823930007,0.821886581,0.820355968,0.819845764,0.821886581,0.817294744,0.81933556,0.81933817,0.823928702,0.822399395,0.81933556,0.821376377,0.820357273,0.82188919,0.821890495,0.820867477,0.819847069,0.822400699,0.820870087
0.45,0.799942586,0.791775406,0.810147972,0.807594342,0.811169685,0.810147972,0.818826661,0.818830576,0.821376377,0.822396785,0.822908294,0.822399395,0.821380291,0.825973433,0.824953025,0.822402004,0.828528368,0.825977347,0.823425022,0.821887886,0.82188919,0.822909599,0.822399395,0.824434991,0.826992536,0.826481027,0.822905684,0.823926092,0.824438906,0.821886581,0.824440211,0.822399395,0.820355968,0.819845764,0.821886581,0.817294744,0.81933556,0.81933817,0.82188919,0.822908294,0.819336865,0.820357273,0.821380291,0.821890495,0.821890495,0.820867477,0.819847069,0.822400699,0.820870087
0.55,0.799942586,0.791775406,0.810147972,0.807594342,0.811169685,0.813720706,0.818826661,0.818830576,0.821376377,0.822396785,0.818316457,0.823419803,0.824441516,0.825973433,0.824953025,0.826993841,0.828528368,0.826997756,0.825976043,0.822914818,0.820867477,0.821378986,0.820867477,0.819848374,0.822910903,0.825970823,0.828012944,0.823926092,0.823417193,0.824950415,0.824438906,0.821377682,0.820355968,0.819845764,0.821886581,0.817294744,0.816274336,0.819845764,0.820357273,0.820355968,0.823927397,0.82494911,0.824950415,0.822909599,0.820358578,0.820867477,0.819847069,0.820357273,0.820870087
0.65,0.799942586,0.791775406,0.810147972,0.807594342,0.811169685,0.813720706,0.818826661,0.817806253,0.818829271,0.820864868,0.818316457,0.823419803,0.824441516,0.826486247,0.828014249,0.826995146,0.82495433,0.82444543,0.824953025,0.823931312,0.820868782,0.820871392,0.822913513,0.822910903,0.82495433,0.824953025,0.822909599,0.82494911,0.825460619,0.826479722,0.825459314,0.822908294,0.820357273,0.82239809,0.821887886,0.824950415,0.816274336,0.819845764,0.825973433,0.823931312,0.823931312,0.82188919,0.820868782,0.820868782,0.821377682,0.819843155,0.819847069,0.820357273,0.820870087
0.75,0.799942586,0.791775406,0.810147972,0.807594342,0.811169685,0.813720706,0.818826661,0.817806253,0.818829271,0.820864868,0.818316457,0.817806253,0.820866173,0.824442821,0.827504045,0.826992536,0.825973433,0.822909599,0.821378986,0.821378986,0.822407224,0.821895715,0.822917428,0.821895715,0.820870087,0.819847069,0.81933817,0.81933817,0.818822746,0.822906989,0.825459314,0.825968213,0.825969518,0.820357273,0.822910903,0.824440211,0.824950415,0.825460619,0.823931312,0.823931312,0.823931312,0.82188919,0.820868782,0.820868782,0.821377682,0.820353359,0.821886581,0.82495172,0.820870087
0.85,0.799942586,0.791775406,0.805556135,0.80300381,0.804024218,0.803515319,0.804540947,0.817294744,0.815768046,0.821883971,0.822910903,0.819849679,0.822404614,0.822400699,0.820355968,0.818822746,0.818825356,0.815253928,0.820362493,0.820362493,0.82189441,0.821384206,0.819854898,0.820875307,0.817298659,0.818322981,0.823425022,0.826487552,0.823931312,0.822912208,0.823931312,0.821381596,0.82495433,0.826482332,0.824947805,0.824440211,0.824950415,0.825460619,0.826483637,0.826995146,0.826486247,0.826486247,0.820868782,0.820868782,0.821377682,0.820353359,0.821886581,0.82495172,0.820870087
0.95,0.799942586,0.800965604,0.800964299,0.796371157,0.794330341,0.796376377,0.818316457,0.816791064,0.819853594,0.818831881,0.820874002,0.81678715,0.814742419,0.813211806,0.81678454,0.818825356,0.813722011,0.812701602,0.812701602,0.813211806,0.816276946,0.815765437,0.811682499,0.814234824,0.813209197,0.815768046,0.813728535,0.817299963,0.815769351,0.823422412,0.818313847,0.820867477,0.820354664,0.814741114,0.822396785,0.821885276,0.81933556,0.817804948,0.821885276,0.818309933,0.820350749,0.819847069,0.821887886,0.824444125,0.821377682,0.820353359,0.822400699,0.82495172,0.820870087
RFE-SVM,0.799942586,0.791775406,0.810147972,0.807594342,0.811169685,0.810147972,0.818826661,0.818830576,0.821376377,0.822396785,0.822908294,0.822399395,0.82750535,0.826995146,0.826483637,0.824950415,0.823930007,0.825968213,0.819339475,0.820868782,0.825974738,0.830566574,0.829033352,0.831075474,0.83005637,0.826477113,0.827498826,0.825968213,0.826988622,0.823926092,0.821376377,0.826482332,0.826481027,0.824950415,0.826995146,0.827506655,0.827504045,0.825972128,0.822908294,0.822909599,0.822908294,0.82188919,0.821890495,0.824442821,0.823421108,0.819847069,0.821377682,0.821890495,0.820870087
ReliefF-SVM,0.799942586,0.799433687,0.80556527,0.799441516,0.802501435,0.794336865,0.792804948,0.793317762,0.791783235,0.791273031,0.798930007,0.796881361,0.800454095,0.804535727,0.803514014,0.801983402,0.814237434,0.814747638,0.814748943,0.813218331,0.814241349,0.817299963,0.814747638,0.813722011,0.818826661,0.818829271,0.819852289,0.817811472,0.817293439,0.816783235,0.817801033,0.815761522,0.815762827,0.816273031,0.816275641,0.811679889,0.814742419,0.813723315,0.810151887,0.812192703,0.813725925,0.82188919,0.824955634,0.824444125,0.82495433,0.820353359,0.822400699,0.82495172,0.820870087
