QRR,TAPI,VMA,VMACD,VOSC,VSTD,CR,PSY,VR,AR,BR,WAD,MOBV,PVT,WVAD,BBI,MA,EXPMA,MACD,MTM,PRICEOSC,TRIX,BIAS,CCI,DBCD,DPO,K,D,J,RSI,SRDM,VROC,VRSI,WR,ADTM,CDP,DPTB,JDQS,JDRS,MI,MICD,RC,RCCD,SRMI,ATR,CVLT,MASS,STD,VHF,target
0.389272857,-0.338727802,-0.456370508,-0.586702433,-1.329580317,-0.607000134,-0.152073287,-1.781224438,-0.739166423,-0.908931123,-0.16908968,0.572016089,-1.732265354,1.425179264,-0.981816327,-0.505433268,-0.537355987,-0.554064965,-0.346370144,-0.331979995,-0.599412765,-0.483677681,-0.655174687,-1.100144361,-0.38241758,-0.446709757,-1.514789858,-1.573982624,-1.156425564,-1.41274672,-0.426112246,-0.360953813,0.114328605,1.451165739,-1.576718712,-0.533289277,0.255645515,-0.855558137,0.418452257,-0.393196628,-0.308787372,-0.200760404,1.14355147,-0.47800807,-0.687881409,-0.650460295,-0.839422935,-0.545223948,-0.268648462,-1
0.844118466,-0.301108491,-0.502959052,-0.632888513,-1.18629214,-0.607124199,-0.039502211,-1.781224438,-0.629388985,-0.831881649,0.062320671,0.602690619,-2.386556571,1.42774559,-0.978866592,-0.487911356,-0.522980661,-0.528348944,-0.267440776,-0.011719873,-0.512733135,-0.450048687,-0.378872123,-0.512673742,-0.284502123,-0.242384771,-1.420656928,-1.488177491,-1.071324009,-0.914698083,-0.405928988,-0.642000707,0.300287861,1.543280572,-0.634341219,-0.523454368,0.255645515,-0.855558137,0.418452257,-0.352202778,-0.303312687,-0.149143741,1.134342518,-0.473042085,-0.669669895,-0.994266715,-0.810470025,-0.592188888,-0.948136275,-1
-0.415557736,-0.556913352,-0.554682105,-0.703810258,-0.430293351,-0.563205015,-0.124923349,-1.781224438,-0.492743562,-0.696376713,0.061908283,0.629117906,-1.417364873,1.42879732,-0.894955905,-0.478571114,-0.51723053,-0.516168934,-0.264115592,-0.116879913,-0.425114075,-0.428235286,-0.321485939,-0.512594553,-0.284502123,-0.195197463,-1.181313875,-1.413776364,-0.696284873,-0.655245259,-0.405928988,-0.762659649,-0.930349399,1.270470182,-0.312603293,-0.504082578,0.255645515,-0.675731067,0.784726648,-0.320318672,-0.285519963,-0.130349157,1.123527353,-0.475525077,-0.6419509,-1.145322023,-0.770539312,-0.616845482,-0.936521098,-1
0.061204081,-0.449280446,-0.517368895,-0.6468689,0.252315761,-0.557623347,-0.111535509,-1.151079591,-0.559700946,-0.935390577,0.084388705,0.64233155,0.571866686,1.429603608,-0.84450198,-0.471798841,-0.52106395,-0.508104928,-0.286341822,0.016960138,-0.258055872,-0.407512554,-0.257628805,-0.429951788,-0.349779094,-0.109760834,-1.087088372,-1.440286006,-0.487078848,-0.249925687,-0.437188818,-0.58681496,-0.516967574,0.90136958,0.011672,-0.497824,0.255645515,-0.675731067,0.784726648,-0.25334518,-0.243091159,0.107563859,1.111320137,-0.394827831,-0.583700837,-1.214425055,-0.729938198,-0.629760841,-0.87360556,-1
-0.395664563,-0.492627979,-0.522551165,-0.62528685,0.480562117,0.156285322,-0.105446047,-0.520927182,-0.554468978,-0.908791565,0.077206284,0.647522624,0.538066808,1.429835646,-0.748118153,-0.470449164,-0.52106395,-0.509808929,-0.369821442,-0.174239935,-0.200911014,-0.384063148,-0.290000945,-0.439460655,-0.480333038,-0.176664287,-1.254085568,-1.534413126,-0.702175386,-0.158089785,-0.442129679,-0.635149864,-0.723449935,0.821132488,0.153256987,-0.533289277,0.255645515,-0.444802059,0.209448226,-0.2226982,-0.159602222,0.226580255,1.098149193,-0.474283581,-0.568301395,-1.085763002,-0.711083192,-0.634457335,-0.979110078,1
-0.738400339,-0.562519696,-0.436818327,-0.565313949,0.706509772,0.69077738,-0.132973862,-0.520927182,-0.545841127,-0.953345673,-0.093284345,0.633837065,0.700141649,1.428600989,-0.90669702,-0.471476352,-0.523459838,-0.515364934,-0.480777583,-0.398900021,-0.189385808,-0.348798149,-0.579610702,-0.922520267,-0.643525467,-0.428176581,-1.583844742,-1.579243958,-1.28250729,-0.850302133,-0.428954048,-0.516472227,-1.039178891,1.286516176,0.110882985,-0.526434644,0.255645515,-0.675731067,0.418452257,-0.212744961,-0.106224049,0.105407889,1.084335764,-1.080133676,-0.561605985,-0.80029828,-0.756251407,-0.637392644,-1.012987676,1
-0.822862033,-0.547580693,-0.390371032,-0.441817139,0.775763287,0.618874077,-0.122933343,-0.520927182,-0.45016358,-0.745274585,0.07309298,0.639028139,1.173795885,1.428880653,-0.89035206,-0.461730012,-0.508126157,-0.506304926,-0.507029036,-0.408460024,-0.182947273,-0.297354878,-0.558214823,-1.110992406,-0.610886981,-0.429359549,-1.534216317,-1.456224907,-1.32346094,-0.751276821,-0.429858258,-0.547559548,-1.004882917,1.158133977,0.145137417,-0.53299125,0.255645515,-0.675731067,0.209448226,-0.198349315,-0.065163916,0.134742772,1.070201093,-0.711409336,-0.558793913,-0.500450189,-0.791154119,-0.657855939,-1.084614596,1
-0.443374462,-0.381494243,-0.314714027,-0.285900272,0.847443,0.524994009,-0.165334445,-0.520927182,-0.55777232,-0.900084411,-0.131282179,0.626286411,-2.227069376,1.428031574,-0.930256132,-0.452867532,-0.490396587,-0.497508919,-0.529080256,-0.609220101,-0.144270241,-0.241367147,-0.807607284,-1.386320178,-0.512971523,-0.616400048,-1.524635004,-1.30032386,-1.47717415,-1.305914501,-0.327391895,-0.222009339,-0.648133287,1.559037995,0.051001163,-0.498420055,0.255645515,-0.675731067,0.209448226,-0.176530915,-0.025472454,0.004515331,1.055638099,-0.617055632,-0.528128937,-0.186425774,-0.791992119,-0.683015729,-1.161081173,-1
-0.984030455,-0.471656254,-0.27761887,-0.171645691,0.845380544,0.501304224,-0.182432282,-0.520927182,-0.556873725,-0.901085309,-0.121696806,0.652241783,-1.338762997,1.430100957,-0.782016437,-0.43434232,-0.464760588,-0.470508898,-0.434400016,-0.805200176,-0.112650391,-0.181562072,-0.547203772,-1.189871043,-0.251863637,-0.421604532,-1.249836464,-1.072008707,-1.204245094,-0.938460629,-0.291126617,-0.48567571,-0.908643086,1.022747688,0.363097101,-0.509149047,0.255645515,-0.136896715,0.209448226,-0.141441529,0.011481665,0.135341652,1.040968023,-0.253297276,-0.541519756,-0.320927486,-0.814492427,-0.726038969,-1.10881288,-1
-0.563576433,-0.100294689,-0.022357525,0.02410768,0.900358115,0.422631065,-0.224595943,-1.151079591,-0.667860914,-1.03989386,-0.322643331,0.649882203,0.181207456,1.42988029,-0.842362499,-0.41753705,-0.443916364,-0.453420884,-0.383822217,-0.542300075,-0.104653777,-0.134845037,-0.640145386,-1.528199131,-0.15394818,-0.492122612,-1.186016587,-0.888091728,-1.285280162,-1.054202424,-0.318026863,0.023220666,-0.132953112,1.108642205,0.376037665,-0.44328496,0.255645515,-0.855558137,0.418452257,-0.116980178,0.030643061,0.018101365,1.025976705,-0.401035312,-0.517684098,-0.140816077,-0.829869732,-0.736606081,-1.106877017,-1
-1.019602146,-0.345851364,0.215228746,0.06603218,0.874337423,0.492308728,-0.18498114,-1.151079591,-0.643421817,-0.868962826,-0.182027025,0.671118416,-2.074964428,1.433561157,-0.819589424,-0.39993153,-0.402707095,-0.424776861,-0.253264991,-0.131219919,-0.067168217,-0.094853802,-0.353927659,-0.711465119,0.041882735,-0.244159224,-1.035955635,-0.649040251,-1.262443007,-0.587232551,-0.307208637,-0.509889819,-0.80517633,1.428564544,0.38441097,-0.423615142,1.022624445,-0.855558137,0.418452257,-0.060128624,0.051173127,0.008793049,1.010985388,-0.124181682,-0.464120822,-0.393847125,-0.840554235,-0.72394232,-0.739063101,-1
-0.864502828,-0.196406884,0.310168353,0.257087911,0.895835712,0.457082589,-0.168051248,-1.151079591,-0.699178954,-0.744269327,-0.293218404,0.690466966,-1.31221195,1.434559832,-0.859664528,-0.389910477,-0.386654647,-0.408816848,-0.185186224,0.059980154,-0.036923144,-0.073585735,-0.27890292,-0.488456795,0.107159707,-0.179030224,-0.621723532,-0.37704802,-0.771408802,-0.363743322,-0.3349808,-0.534721328,-0.531336301,1.062125212,0.290274716,-0.420038812,1.790140474,-0.855558137,-0.208559836,-0.010362427,0.084021234,-0.308579445,0.995779908,-0.088178295,-0.472690946,-0.256571514,-0.82601493,-0.6904798,-0.989757323,-1
