,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.15,0.783389784,0.791330451,0.808960778,0.814654157,0.817150776,0.815138609,0.814810267,0.812342058,0.814649982,0.812379394,0.812376307,0.813513976,0.814460859,0.81394643,0.811972485,0.812817004,0.813790423,0.81588741,0.812239766,0.814456051,0.81512504,0.815972002,0.812965059,0.812910321,0.815237092,0.812990579,0.812905652,0.813220402,0.814280597,0.813742875,0.812383783,0.81120769,0.811845398,0.811054272,0.809209812,0.808986778,0.809028323,0.813002608,0.813370838,0.813467486,0.812038394,0.811056245,0.810029876,0.809124609,0.810225417,0.810225417,0.810278519,0.81076247,0.810866906
0.25,0.783389784,0.791330451,0.808960778,0.814654157,0.817150776,0.815138609,0.814810267,0.812342058,0.814649982,0.812379394,0.812376307,0.813513976,0.810674602,0.811226548,0.811265338,0.811430328,0.81117489,0.813571286,0.818184649,0.81577166,0.816119017,0.815219051,0.814094273,0.812279069,0.812915212,0.813745915,0.815324164,0.812494903,0.814739229,0.814024733,0.813305974,0.814357696,0.812879948,0.811313479,0.812119733,0.808797121,0.808044129,0.807455962,0.809672731,0.810636587,0.810222639,0.81197598,0.809884037,0.810036786,0.809291628,0.810529996,0.809590495,0.808022581,0.810866906
0.35,0.783389784,0.791330451,0.808960778,0.814654157,0.817150776,0.815138609,0.814810267,0.812342058,0.811579603,0.812183893,0.812652236,0.813126058,0.810674602,0.810120059,0.811265338,0.811430328,0.80938873,0.813148677,0.818184649,0.815053863,0.812489361,0.814890574,0.814094273,0.812972294,0.811672516,0.814334793,0.808596637,0.813329798,0.8116174,0.814024733,0.813305974,0.814357696,0.812879948,0.811313479,0.812119733,0.813124542,0.808044129,0.807455962,0.809672731,0.810636587,0.810222639,0.81197598,0.809884037,0.810036786,0.809291628,0.810529996,0.809590495,0.808022581,0.810866906
0.45,0.783389784,0.791330451,0.808960778,0.814654157,0.817150776,0.815261978,0.815213241,0.812117625,0.811579603,0.812183893,0.811953711,0.812745942,0.815649837,0.813696099,0.811265338,0.811430328,0.80938873,0.811916865,0.808649693,0.808840575,0.811154115,0.815446299,0.814242422,0.813217119,0.812815463,0.809070107,0.812762406,0.813920512,0.811175881,0.81105888,0.812153516,0.811082573,0.812533424,0.813912913,0.814346367,0.81444105,0.812295598,0.814193718,0.813417984,0.813418538,0.81380358,0.813577643,0.811603303,0.807873771,0.808665519,0.807424234,0.807934014,0.808389052,0.810866906
0.55,0.783389784,0.791330451,0.808960778,0.814654157,0.814080819,0.815261978,0.815213241,0.814186131,0.814387615,0.814514282,0.816676534,0.811797498,0.812438128,0.811500799,0.814701441,0.811430328,0.80938873,0.811916865,0.808649693,0.808840575,0.810310904,0.809222305,0.810780775,0.810443436,0.807365263,0.81034929,0.811262701,0.80971006,0.811116482,0.810314569,0.810110227,0.812366468,0.809851395,0.808932829,0.809444295,0.811783409,0.814184057,0.813794154,0.812967184,0.810636587,0.810636587,0.812049207,0.810540586,0.810864747,0.807695156,0.807110117,0.810038609,0.808389052,0.810866906
0.65,0.783389784,0.791330451,0.808960778,0.814654157,0.813922469,0.815601717,0.815536145,0.814608111,0.812350153,0.815510374,0.814964855,0.814091383,0.812438128,0.815308882,0.81338648,0.810607502,0.80938873,0.805343297,0.808649693,0.808840575,0.810310904,0.809531057,0.809148133,0.808521475,0.808017984,0.808960973,0.808582326,0.80694067,0.811973724,0.809913564,0.809913564,0.812214876,0.810192519,0.81075202,0.806672577,0.810853319,0.814177062,0.81469116,0.813594314,0.813594314,0.810803932,0.810940172,0.808538752,0.805957041,0.807204136,0.808760184,0.807435425,0.808389052,0.810866906
0.75,0.783389784,0.791330451,0.808960778,0.814654157,0.813922469,0.815601717,0.815461567,0.817800777,0.817618616,0.815449728,0.814631149,0.818962529,0.816272454,0.815308882,0.81338648,0.817319073,0.815586685,0.811822505,0.808649693,0.808840575,0.808018314,0.809531057,0.81032911,0.808874693,0.805786169,0.806328827,0.80529791,0.806209146,0.812648236,0.811949313,0.813292008,0.809976599,0.810818356,0.81065848,0.811094441,0.810531059,0.810750745,0.81147157,0.812647095,0.813594314,0.810803932,0.810940172,0.808538752,0.805957041,0.807204136,0.808760184,0.807435425,0.808389052,0.810866906
0.85,0.783389784,0.791330451,0.808982654,0.810679653,0.809458546,0.813364066,0.813229378,0.816535217,0.817618616,0.815176766,0.814532723,0.818962529,0.816272454,0.809918907,0.80996286,0.809990961,0.810276069,0.80923641,0.80590093,0.80848182,0.80972002,0.809525211,0.80998505,0.811887103,0.807179161,0.806210673,0.807872382,0.807464738,0.810197928,0.810509781,0.811671406,0.811118509,0.812332789,0.813328874,0.808567045,0.808554775,0.811654539,0.811002175,0.810247297,0.811510466,0.807908498,0.806998099,0.808420796,0.809695824,0.808568118,0.808182294,0.807435425,0.808389052,0.810866906
0.95,0.783389784,0.784629686,0.792170664,0.809660419,0.807591031,0.809488891,0.813585647,0.813293686,0.812741976,0.813455252,0.815692441,0.815571263,0.816781561,0.815467616,0.815975678,0.817780512,0.812016331,0.807664691,0.80810599,0.807356565,0.810580805,0.810580411,0.810267383,0.810318798,0.811607561,0.809708145,0.805788547,0.807464738,0.810197928,0.810509781,0.81186524,0.812332789,0.812332789,0.813328874,0.811558069,0.809465966,0.809935252,0.809382751,0.810085754,0.811025362,0.81084889,0.808727724,0.8080077,0.809509984,0.808338563,0.810025544,0.807435425,0.808389052,0.810866906
RFE-SVM,0.783389784,0.791330451,0.808960778,0.814654157,0.817150776,0.815138609,0.814810267,0.812342058,0.814649982,0.812379394,0.812376307,0.813513976,0.814460859,0.81394643,0.811972485,0.812817004,0.816193228,0.814216019,0.814153737,0.814300341,0.813814625,0.815216653,0.814623087,0.812259594,0.811749732,0.812024768,0.817008048,0.814994765,0.815893547,0.813841383,0.813347227,0.816261593,0.814387314,0.813553279,0.814813774,0.813066464,0.811515534,0.811125803,0.812644437,0.81223517,0.810747803,0.812272777,0.81341083,0.811345111,0.811570344,0.812047612,0.806823155,0.810866906,0.810866906
ReliefF-SVM,0.783389784,0.784629686,0.792170664,0.790916679,0.800404087,0.800325107,0.80163785,0.798635335,0.795997509,0.794373765,0.792618388,0.793713268,0.792768868,0.803636813,0.803643619,0.803454392,0.80411073,0.801965999,0.802967929,0.803817846,0.799768066,0.807771407,0.808101752,0.808144078,0.808792761,0.808253058,0.809519188,0.80515974,0.808978504,0.808413415,0.80621785,0.804118728,0.812007887,0.812018395,0.812584611,0.808461657,0.811727429,0.811763262,0.807095879,0.804948713,0.805023725,0.810361506,0.813458784,0.81511231,0.806814702,0.810119354,0.809217995,0.808389052,0.810866906
