,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.15,0.773351949,0.783053656,0.801432747,0.807048907,0.810112741,0.807563025,0.80806801,0.806023279,0.808578214,0.806024584,0.805510465,0.806534788,0.807556501,0.807042382,0.805513075,0.806525654,0.807035858,0.809589488,0.806014145,0.808565165,0.807543452,0.808565165,0.806519129,0.806521739,0.808052351,0.805494807,0.806519129,0.806008925,0.807031943,0.80600762,0.806011535,0.804479618,0.80601284,0.804991127,0.803460515,0.803463124,0.803463124,0.80601284,0.806523044,0.807034553,0.805503941,0.804482228,0.803972024,0.802951615,0.805503941,0.805503941,0.805503941,0.806014145,0.806011535
0.25,0.773351949,0.783053656,0.801432747,0.807048907,0.810112741,0.807563025,0.80806801,0.806023279,0.808578214,0.806024584,0.805510465,0.806534788,0.804492667,0.805004176,0.80500548,0.803982463,0.804491362,0.807041077,0.812136594,0.809075369,0.809584268,0.809075369,0.808053656,0.804985907,0.80601023,0.806521739,0.808052351,0.80396289,0.807031943,0.80601284,0.804989822,0.80601023,0.804989822,0.804478313,0.804479618,0.801927293,0.801924683,0.800901665,0.804482228,0.805502636,0.804992432,0.806014145,0.803972024,0.803972024,0.803460515,0.804482228,0.803972024,0.802946396,0.806011535
0.35,0.773351949,0.783053656,0.801432747,0.807048907,0.810112741,0.807563025,0.80806801,0.806023279,0.805513075,0.806027193,0.806537398,0.806530873,0.804492667,0.803981158,0.80500548,0.803982463,0.802442716,0.806524349,0.812136594,0.808562555,0.806520434,0.80856386,0.808053656,0.807033248,0.805502636,0.808060181,0.802436192,0.806521739,0.803455295,0.80601284,0.804989822,0.80601023,0.804989822,0.804478313,0.804479618,0.806523044,0.801924683,0.800901665,0.804482228,0.805502636,0.804992432,0.806014145,0.803972024,0.803972024,0.803460515,0.804482228,0.803972024,0.802946396,0.806011535
0.45,0.773351949,0.783053656,0.801432747,0.807048907,0.810112741,0.808069315,0.807563025,0.806536093,0.805513075,0.806027193,0.805515685,0.806536093,0.809091028,0.807044992,0.80500548,0.803982463,0.802442716,0.805503941,0.802440106,0.802440106,0.804996346,0.80907276,0.808053656,0.807033248,0.807034553,0.80346182,0.805502636,0.80600762,0.803966804,0.802945091,0.803966804,0.802434887,0.803966804,0.80601284,0.807544757,0.807543452,0.806523044,0.807034553,0.806011535,0.80601023,0.806521739,0.807033248,0.804989822,0.801927293,0.802950311,0.801931207,0.802437497,0.802946396,0.806011535
0.55,0.773351949,0.783053656,0.801432747,0.807048907,0.807048907,0.808069315,0.807563025,0.807050211,0.807047602,0.807553891,0.809599927,0.804491362,0.805001566,0.803982463,0.807555196,0.803982463,0.802442716,0.805503941,0.802440106,0.802440106,0.803463124,0.802441411,0.803974633,0.803463124,0.800397985,0.803463124,0.804488752,0.80295292,0.804997651,0.804487447,0.803975938,0.807038468,0.804483533,0.803972024,0.802951615,0.804992432,0.808053656,0.807543452,0.806523044,0.805502636,0.805502636,0.806014145,0.804993737,0.805503941,0.802440106,0.801417089,0.804478313,0.802946396,0.806011535
0.65,0.773351949,0.783053656,0.801432747,0.807048907,0.807048907,0.809089723,0.807556501,0.806023279,0.806020669,0.80806801,0.807559111,0.806534788,0.805001566,0.808061485,0.806019364,0.803464429,0.802442716,0.798868678,0.802440106,0.802440106,0.803463124,0.80295292,0.802442716,0.801932512,0.801421003,0.802445326,0.801933817,0.800913409,0.805503941,0.80346182,0.80346182,0.805502636,0.803972024,0.803460515,0.80039668,0.803457905,0.808054961,0.808565165,0.807034553,0.807034553,0.805502636,0.805501331,0.80345921,0.800906884,0.801928598,0.803460515,0.802437497,0.802946396,0.806011535
0.75,0.773351949,0.783053656,0.801432747,0.807048907,0.807048907,0.809089723,0.808582129,0.811131844,0.81062425,0.808580824,0.806536093,0.810617725,0.809087113,0.808061485,0.806019364,0.810103607,0.808570385,0.804993737,0.802440106,0.802440106,0.801419698,0.80295292,0.803464429,0.802445326,0.799890391,0.800912104,0.799891696,0.80039929,0.807546062,0.807034553,0.808054961,0.803974633,0.803973328,0.803972024,0.804482228,0.804996346,0.804992432,0.80601284,0.805498721,0.807034553,0.805502636,0.805501331,0.80345921,0.800906884,0.801928598,0.803460515,0.802437497,0.802946396,0.806011535
0.85,0.773351949,0.783053656,0.800916019,0.803468344,0.802447936,0.806538702,0.806027193,0.809602537,0.81062425,0.809088418,0.807559111,0.810617725,0.809087113,0.801932512,0.801932512,0.801932512,0.802446631,0.801421003,0.798357169,0.800908189,0.801929902,0.801927293,0.802437497,0.803968109,0.800400595,0.799890391,0.801931207,0.801421003,0.804480923,0.804993737,0.80601545,0.80601545,0.807037163,0.808058876,0.802440106,0.801925988,0.804480923,0.804993737,0.803969414,0.805500026,0.802440106,0.800395376,0.802951615,0.804484837,0.803464429,0.802437497,0.802437497,0.802946396,0.806011535
0.95,0.773351949,0.776919463,0.785099692,0.80296075,0.799894306,0.801936427,0.805516989,0.806024584,0.805515685,0.806025889,0.809601232,0.807552586,0.808575604,0.807555196,0.808576909,0.809597317,0.802950311,0.799381492,0.799891696,0.799893001,0.802954225,0.802954225,0.80295292,0.803460515,0.804996346,0.803977243,0.800403205,0.801421003,0.804480923,0.804993737,0.806524349,0.807037163,0.807037163,0.808058876,0.806525654,0.803973328,0.804993737,0.803457905,0.803973328,0.804478313,0.803970719,0.802950311,0.801418393,0.803974633,0.80295292,0.80550655,0.802437497,0.802946396,0.806011535
RFE-SVM,0.773351949,0.783053656,0.801432747,0.807048907,0.810112741,0.807563025,0.80806801,0.806023279,0.808578214,0.806024584,0.805510465,0.806534788,0.807556501,0.807042382,0.805513075,0.806525654,0.810098387,0.808056266,0.80856647,0.807543452,0.807033248,0.808562555,0.808565165,0.806523044,0.804475703,0.803969414,0.809074064,0.808058876,0.809079284,0.807030638,0.807543452,0.810605982,0.808052351,0.807031943,0.808053656,0.806524349,0.805502636,0.804991127,0.806523044,0.80601284,0.806521739,0.807543452,0.80856386,0.806014145,0.806524349,0.807034553,0.801927293,0.806011535,0.806011535
