,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.15,0.781929949,0.782231266,0.801725414,0.802005202,0.803340293,0.801575598,0.799459801,0.797975755,0.798121486,0.798364788,0.799578937,0.798700627,0.805783154,0.808077612,0.808613119,0.811322025,0.812755689,0.813331866,0.808094996,0.813137197,0.813032759,0.813660436,0.811986961,0.812346886,0.812327164,0.811888954,0.814180645,0.811168678,0.81036122,0.809532533,0.80890207,0.813698854,0.814099459,0.814099459,0.809590901,0.811042,0.808538899,0.806875483,0.808153907,0.806282333,0.804271428,0.805173965,0.804559892,0.805956225,0.807459045,0.808528409,0.807027043,0.808887952,0.808965226
0.25,0.781929949,0.782231266,0.801725414,0.802005202,0.803340293,0.801575598,0.799459801,0.797975755,0.798121486,0.798364788,0.799578937,0.798700627,0.805783154,0.808077612,0.808613119,0.811322025,0.812755689,0.813331866,0.808094996,0.813137197,0.813264768,0.81241863,0.81397747,0.812362004,0.812327164,0.811888954,0.813901298,0.810230396,0.809870947,0.813164802,0.812127502,0.813698854,0.814099459,0.814099459,0.81213012,0.811042,0.808538899,0.806875483,0.808153907,0.808712806,0.808000532,0.808925372,0.808653891,0.805956225,0.807726837,0.808238558,0.808598584,0.808887952,0.808965226
0.35,0.781929949,0.782231266,0.801725414,0.802005202,0.803340293,0.801575598,0.799014904,0.804639164,0.800356442,0.80296049,0.798486998,0.792926415,0.800031336,0.80049226,0.803552661,0.804531304,0.810915231,0.812742714,0.811763838,0.805879289,0.803913092,0.807423515,0.81397747,0.812327164,0.812327164,0.811888954,0.813901298,0.816149931,0.813555741,0.808753409,0.810226188,0.807598455,0.807894375,0.804032205,0.808400924,0.806569541,0.807387182,0.806875483,0.808153907,0.807804792,0.808000532,0.808925372,0.808653891,0.805956225,0.807726837,0.806745222,0.804319785,0.806217292,0.808965226
0.45,0.781929949,0.782231266,0.801725414,0.802005202,0.803340293,0.801575598,0.796647429,0.798597144,0.798969118,0.801426653,0.79853115,0.795749514,0.795299567,0.802131647,0.80420301,0.806061594,0.804534224,0.812169254,0.812969422,0.81819652,0.815488166,0.813574337,0.810724412,0.812327164,0.816315386,0.813734752,0.813901298,0.816149931,0.813555741,0.808753409,0.810226188,0.811083232,0.806922702,0.798756745,0.802109962,0.799987844,0.807387182,0.807544681,0.808153907,0.807804792,0.808000532,0.808925372,0.808653891,0.805956225,0.806802057,0.805210731,0.804319785,0.806217292,0.808965226
0.55,0.781929949,0.782231266,0.801725414,0.802005202,0.803340293,0.801575598,0.796647429,0.798597144,0.798969118,0.801426653,0.79853115,0.795749514,0.795299567,0.802131647,0.811407763,0.808111304,0.804534224,0.812169254,0.812969422,0.81819652,0.815488166,0.813574337,0.810724412,0.813253757,0.810742644,0.813700091,0.812410115,0.809262904,0.808563842,0.808753409,0.810226188,0.811083232,0.806922702,0.798756745,0.79876799,0.802986381,0.802986381,0.802887796,0.804535967,0.801258716,0.802050657,0.808925372,0.808653891,0.805956225,0.806802057,0.805210731,0.804319785,0.806217292,0.808965226
0.65,0.781929949,0.782231266,0.801725414,0.802005202,0.803340293,0.801575598,0.802538155,0.801449456,0.799615207,0.801840842,0.804433156,0.808871213,0.808934588,0.8119274,0.812311409,0.81111646,0.809816117,0.804511888,0.804439669,0.810217818,0.811455955,0.808604571,0.810472532,0.813763359,0.811089865,0.811109378,0.809761075,0.810282118,0.807878701,0.81066075,0.810226188,0.811083232,0.806922702,0.808625828,0.79876799,0.802986381,0.802986381,0.802887796,0.804535967,0.801258716,0.802050657,0.808925372,0.808653891,0.805956225,0.806802057,0.805210731,0.804319785,0.806217292,0.808965226
0.75,0.781929949,0.782231266,0.801725414,0.798596742,0.799462342,0.800330803,0.802538155,0.803021118,0.803363494,0.804621167,0.805252979,0.807347643,0.808934588,0.8119274,0.812311409,0.81111646,0.809816117,0.809716585,0.806334021,0.805336475,0.805799652,0.80624861,0.808082637,0.803657836,0.811262623,0.812057657,0.809907305,0.808872719,0.807878701,0.808934055,0.807330262,0.807330262,0.812637035,0.80936435,0.808306076,0.806912065,0.806607279,0.804907523,0.804881928,0.800820731,0.802050657,0.801598901,0.801055187,0.805956225,0.806802057,0.805210731,0.804319785,0.806217292,0.808965226
0.85,0.781929949,0.782231266,0.801725414,0.798596742,0.799462342,0.800330803,0.802538155,0.803021118,0.803363494,0.801206044,0.801819836,0.801335732,0.802245221,0.803278272,0.79890328,0.808603349,0.80635325,0.80373238,0.80665234,0.80682546,0.803742488,0.807570382,0.808962154,0.80618004,0.805256632,0.80579761,0.806000687,0.80640858,0.804431935,0.803436523,0.802465588,0.808681946,0.808681946,0.809129778,0.805995973,0.800390784,0.800390784,0.795782643,0.79951917,0.801708068,0.797680623,0.799173821,0.798546101,0.798508171,0.802508035,0.80296696,0.805143789,0.806217292,0.808965226
0.95,0.781929949,0.779672314,0.780199953,0.785984733,0.799216712,0.798482474,0.796567856,0.796125874,0.800676622,0.801047454,0.801202587,0.796934676,0.79715865,0.797773972,0.795596811,0.797649036,0.802819708,0.798309961,0.798021887,0.798328331,0.799429457,0.799343552,0.799254751,0.800308066,0.79968593,0.79237762,0.790257807,0.782871002,0.782559937,0.782409209,0.781903445,0.794356376,0.790082964,0.789342883,0.789513796,0.793097091,0.791257906,0.792197332,0.792197332,0.792546019,0.793823185,0.792859633,0.799426337,0.798508171,0.799400094,0.80296696,0.805143789,0.806217292,0.808965226
RFE-SVM,0.781929949,0.782231266,0.801725414,0.800894064,0.803189923,0.803662053,0.797892431,0.797920176,0.800352226,0.802232135,0.798988093,0.799172223,0.797334286,0.800273862,0.7973689,0.803122072,0.805908705,0.806531077,0.805685907,0.801501182,0.800820037,0.806236251,0.809895628,0.813569386,0.81109976,0.809222932,0.811486661,0.811431361,0.811607393,0.810084368,0.812517527,0.812413869,0.812457803,0.812471006,0.810682643,0.808718741,0.808782921,0.807045394,0.807838516,0.810065581,0.810915249,0.812487048,0.8117252,0.809521816,0.809671342,0.808186842,0.807027043,0.808887952,0.808965226
ReliefF-SVM,0.781929949,0.782231266,0.784838314,0.783377515,0.786457042,0.787223588,0.786329793,0.785177595,0.793149994,0.791253698,0.794276661,0.793943103,0.797665315,0.799492295,0.797947096,0.795341739,0.796379841,0.794003583,0.793575776,0.795675798,0.794823885,0.794969621,0.797533439,0.799193903,0.795906892,0.79725335,0.796485434,0.798838204,0.788930167,0.789264377,0.787810042,0.785458858,0.786872688,0.798048841,0.791633854,0.792356284,0.791069267,0.789800298,0.789531681,0.794192938,0.793759886,0.794044446,0.79456595,0.798648605,0.799030364,0.804869885,0.80469046,0.806217292,0.808965226
