,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.15,0.785095777,0.784590793,0.803476173,0.80500809,0.806537398,0.805519599,0.802968579,0.802458375,0.801946866,0.802967274,0.803476173,0.802969884,0.808583433,0.811137064,0.811643353,0.813168746,0.814703273,0.814700663,0.812154862,0.816236495,0.815727595,0.816237799,0.815218696,0.814705882,0.814705882,0.814707187,0.816240409,0.814193069,0.814708492,0.813688084,0.813686779,0.817264732,0.816751918,0.816751918,0.813677645,0.814190459,0.812148338,0.810617725,0.811638134,0.810107521,0.808575604,0.809085808,0.808575604,0.81061642,0.812147033,0.812658542,0.811129234,0.812659847,0.812661151
0.25,0.785095777,0.784590793,0.803476173,0.80500809,0.806537398,0.805519599,0.802968579,0.802458375,0.801946866,0.802967274,0.803476173,0.802969884,0.808583433,0.811137064,0.811643353,0.813168746,0.814703273,0.814700663,0.812154862,0.816236495,0.816236495,0.815727595,0.817258208,0.815727595,0.814705882,0.814707187,0.816237799,0.813688084,0.814705882,0.816240409,0.81573151,0.817264732,0.816751918,0.816751918,0.814711102,0.814190459,0.812148338,0.810617725,0.811638134,0.812149642,0.811638134,0.812659847,0.812658542,0.81061642,0.812148338,0.812149642,0.812149642,0.812659847,0.812661151
0.35,0.785095777,0.784590793,0.803476173,0.80500809,0.806537398,0.805519599,0.802455765,0.80807062,0.803988987,0.807563025,0.801946866,0.797861318,0.803480088,0.804500496,0.807050211,0.80807062,0.812658542,0.814700663,0.81368156,0.810112741,0.80807062,0.811133149,0.817258208,0.814705882,0.814705882,0.814707187,0.816237799,0.819297719,0.817260817,0.811645963,0.812665066,0.809602537,0.809601232,0.806025889,0.812157472,0.81011535,0.811127929,0.810617725,0.811638134,0.811129234,0.811638134,0.812659847,0.812658542,0.81061642,0.812148338,0.811127929,0.809084503,0.810617725,0.812661151
0.45,0.785095777,0.784590793,0.803476173,0.80500809,0.806537398,0.805519599,0.800411034,0.802964664,0.803474868,0.80500548,0.801945561,0.799393236,0.798883031,0.805012005,0.80756694,0.809602537,0.807560415,0.814193069,0.814703273,0.820828331,0.818273396,0.816233885,0.81367895,0.814705882,0.818787515,0.816239104,0.816237799,0.819297719,0.817260817,0.811645963,0.812665066,0.813685474,0.810108826,0.803464429,0.805510465,0.803979853,0.811127929,0.811127929,0.811638134,0.811129234,0.811638134,0.812659847,0.812658542,0.81061642,0.811126625,0.809594707,0.809084503,0.810617725,0.812661151
0.55,0.785095777,0.784590793,0.803476173,0.80500809,0.806537398,0.805519599,0.800411034,0.802964664,0.803474868,0.80500548,0.801945561,0.799393236,0.798883031,0.805012005,0.813684169,0.810110131,0.807560415,0.814193069,0.814703273,0.820828331,0.818273396,0.816233885,0.81367895,0.815209562,0.813170051,0.815719766,0.813680255,0.813176575,0.811645963,0.811645963,0.812665066,0.813685474,0.810108826,0.803464429,0.803465734,0.807039772,0.807039772,0.807041077,0.808057571,0.804997651,0.806018059,0.812659847,0.812658542,0.81061642,0.811126625,0.809594707,0.809084503,0.810617725,0.812661151
0.65,0.785095777,0.784590793,0.803476173,0.80500809,0.806537398,0.805519599,0.806031108,0.803990292,0.803991597,0.806032413,0.807050211,0.810625555,0.810626859,0.814196983,0.814707187,0.813685474,0.812153557,0.807051516,0.807559111,0.812661151,0.814704577,0.811130539,0.813170051,0.815723681,0.813171355,0.81367895,0.812148338,0.812148338,0.809597317,0.813176575,0.812665066,0.813685474,0.810108826,0.811639438,0.803465734,0.807039772,0.807039772,0.807041077,0.808057571,0.804997651,0.806018059,0.812659847,0.812658542,0.81061642,0.811126625,0.809594707,0.809084503,0.810617725,0.812661151
0.75,0.785095777,0.784590793,0.803476173,0.79990344,0.801945561,0.802964664,0.806031108,0.806541312,0.806541312,0.808580824,0.808579519,0.810620335,0.810626859,0.814196983,0.814707187,0.813685474,0.812153557,0.812154862,0.808580824,0.807050211,0.80807062,0.808582129,0.810112741,0.806033718,0.813684169,0.814191764,0.811130539,0.810111436,0.809597317,0.81061642,0.809085808,0.809085808,0.815216086,0.811133149,0.81062164,0.808579519,0.808576909,0.807043687,0.807559111,0.804997651,0.806018059,0.806020669,0.804488752,0.81061642,0.811126625,0.809594707,0.809084503,0.810617725,0.812661151
0.85,0.785095777,0.784590793,0.803476173,0.79990344,0.801945561,0.802964664,0.806031108,0.806541312,0.806541312,0.803478783,0.804499191,0.803986377,0.804496581,0.805519599,0.802458375,0.810625555,0.808074534,0.805522209,0.808582129,0.808583433,0.805522209,0.810114046,0.811644658,0.808582129,0.807050211,0.807560415,0.808582129,0.808583433,0.806538702,0.806031108,0.805522209,0.811135759,0.811135759,0.812154862,0.809598622,0.807043687,0.807043687,0.803464429,0.807035858,0.806526959,0.80346182,0.804992432,0.803463124,0.803973328,0.807548672,0.808061485,0.809594707,0.810617725,0.812661151
0.95,0.785095777,0.781520434,0.783051047,0.788164831,0.800925153,0.800414949,0.798372827,0.797862623,0.802458375,0.80245707,0.802965969,0.79990344,0.799904745,0.800414949,0.79939454,0.800925153,0.80500809,0.801431442,0.800918628,0.800923848,0.803477478,0.803473563,0.802963359,0.803473563,0.802963359,0.798364998,0.796831776,0.793760113,0.793761418,0.792739705,0.792739705,0.800912104,0.79784827,0.797336761,0.797338066,0.799382797,0.798354559,0.798864763,0.798864763,0.800395376,0.802942481,0.801413174,0.807038468,0.803973328,0.804483533,0.808061485,0.809594707,0.810617725,0.812661151
RFE-SVM,0.785095777,0.784590793,0.803476173,0.803987682,0.806537398,0.807560415,0.801432747,0.802455765,0.805006785,0.805515685,0.802455765,0.802455765,0.801436662,0.805520904,0.80245707,0.806538702,0.809601232,0.809598622,0.808578214,0.808071924,0.80756172,0.812153557,0.814705882,0.816748004,0.814191764,0.812149642,0.814703273,0.814193069,0.814193069,0.814189154,0.816231275,0.815721071,0.815721071,0.816228665,0.814187849,0.812657237,0.813167441,0.811636829,0.812655932,0.814699358,0.814701968,0.816233885,0.815723681,0.813682864,0.81368156,0.812150947,0.811129234,0.812659847,0.812661151
ReliefF-SVM,0.785095777,0.784590793,0.787654627,0.786124015,0.789189154,0.790209562,0.789183934,0.787652017,0.793270787,0.791740174,0.796836996,0.795816588,0.798884336,0.800925153,0.800414949,0.797352419,0.798884336,0.797863928,0.797353724,0.798883031,0.798372827,0.798881727,0.800926458,0.802967274,0.79990344,0.800414949,0.800923848,0.803477478,0.797338066,0.797339371,0.796827862,0.795802234,0.795811368,0.803472258,0.800397985,0.80039929,0.799378882,0.797340675,0.797852184,0.802946396,0.802946396,0.800913409,0.801422308,0.805503941,0.806014145,0.807555196,0.807555196,0.810617725,0.812661151
