,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.15,0.701674576,0.677793368,0.802989948,0.800641488,0.816051454,0.819449842,0.820840497,0.822910302,0.827339225,0.823760823,0.825262502,0.829281409,0.827894314,0.822831113,0.82021941,0.825340282,0.827346678,0.828040668,0.825982773,0.824544021,0.826220883,0.824485571,0.825334537,0.827829269,0.826037946,0.827744778,0.822983359,0.82883587,0.827136552,0.825754813,0.825310021,0.8276941,0.82498405,0.824201061,0.82594525,0.828320613,0.828688741,0.829132648,0.82860392,0.826115191,0.828866188,0.828074539,0.830251758,0.828355045,0.829501274,0.827786251,0.824964865,0.826560276,0.82498603
0.25,0.701674576,0.677793368,0.802989948,0.800641488,0.816051454,0.819449842,0.820840497,0.822910302,0.827339225,0.823760823,0.825262502,0.829281409,0.827894314,0.822831113,0.82021941,0.819854774,0.822450359,0.8255282,0.824118305,0.823967816,0.825506787,0.826690267,0.824825242,0.827527428,0.826037946,0.826752039,0.830190563,0.829990184,0.830087932,0.830219122,0.824641687,0.830630833,0.82498405,0.824116888,0.824872773,0.823581836,0.823459592,0.825825527,0.829069021,0.828512108,0.828901011,0.828526423,0.830251758,0.828355045,0.829501274,0.827786251,0.824964865,0.826560276,0.82498603
0.35,0.701674576,0.677793368,0.802989948,0.800641488,0.816051454,0.819449842,0.820840497,0.822910302,0.827339225,0.823760823,0.825262502,0.829281409,0.827894314,0.827226625,0.825151757,0.823433282,0.822450359,0.821902698,0.82545464,0.824672978,0.825603225,0.828178382,0.828363926,0.827538777,0.827834765,0.826752039,0.830190563,0.829990184,0.830087932,0.830219122,0.824641687,0.830630833,0.82498405,0.824116888,0.824872773,0.823581836,0.823459592,0.825825527,0.82631558,0.828512108,0.828901011,0.828526423,0.826212907,0.828355045,0.829501274,0.827786251,0.824964865,0.826560276,0.82498603
0.45,0.701674576,0.677793368,0.802989948,0.800641488,0.816051454,0.819449842,0.820840497,0.822910302,0.827339225,0.823760823,0.825262502,0.829281409,0.827894314,0.827226625,0.827595227,0.822843516,0.823159508,0.821902698,0.82545464,0.824672978,0.825603225,0.828178382,0.828363926,0.830771343,0.830402983,0.827262593,0.830190563,0.829990184,0.830087932,0.830219122,0.830419526,0.827257956,0.825721798,0.821626855,0.824872773,0.825432052,0.823459592,0.825825527,0.82631558,0.825879275,0.822045238,0.824422036,0.826212907,0.828355045,0.829501274,0.827786251,0.824964865,0.826560276,0.82498603
0.55,0.701674576,0.677793368,0.802989948,0.800641488,0.816051454,0.819449842,0.820840497,0.822910302,0.827339225,0.823760823,0.820338602,0.82575757,0.827477486,0.827226625,0.827595227,0.822843516,0.823159508,0.821902698,0.82545464,0.824672978,0.825603225,0.829693603,0.830658428,0.830771343,0.830402983,0.827262593,0.830190563,0.829990184,0.830087932,0.829853037,0.827539063,0.830522441,0.831689709,0.824250293,0.824208356,0.82550492,0.821891597,0.825825527,0.82631558,0.825879275,0.822045238,0.824422036,0.826212907,0.82492794,0.825139187,0.824409718,0.824964865,0.826560276,0.82498603
0.65,0.701674576,0.677793368,0.802989948,0.800641488,0.816051454,0.819449842,0.820840497,0.822910302,0.823324447,0.82239271,0.820338602,0.819462975,0.819938718,0.822618339,0.825106586,0.825256055,0.82168979,0.821386043,0.822556577,0.824672978,0.825603225,0.825699129,0.827992323,0.830887572,0.833026836,0.828619879,0.823496389,0.829990184,0.830087932,0.829853037,0.827539063,0.830522441,0.831689709,0.822731157,0.824208356,0.82550492,0.8260806,0.823462868,0.82631558,0.825879275,0.822045238,0.824422036,0.826212907,0.82492794,0.825139187,0.824409718,0.824964865,0.826560276,0.82498603
0.75,0.701674576,0.677793368,0.802989948,0.800641488,0.816051454,0.819449842,0.820840497,0.822910302,0.823324447,0.82239271,0.820338602,0.820144261,0.818468258,0.824469074,0.825106586,0.825256055,0.82168979,0.821386043,0.822556577,0.824672978,0.825603225,0.825699129,0.825910982,0.830476583,0.833026836,0.831916556,0.832390415,0.833843619,0.833579194,0.830880043,0.827539063,0.830522441,0.831689709,0.829822291,0.825338859,0.82550492,0.824884657,0.824858277,0.824384718,0.826261412,0.82589914,0.826932803,0.825446928,0.82492794,0.825139187,0.824409718,0.824628625,0.823103549,0.82498603
0.85,0.701674576,0.677793368,0.802989948,0.800641488,0.816051454,0.819449842,0.820840497,0.822910302,0.823324447,0.823049342,0.823535194,0.820144261,0.821549102,0.819698424,0.821998837,0.82075742,0.82168979,0.821386043,0.820265769,0.821575617,0.825429636,0.826557964,0.825574779,0.826638289,0.826865432,0.82437149,0.821856385,0.822081581,0.822833643,0.822701801,0.82703164,0.826416627,0.823271007,0.822064412,0.826219721,0.826456207,0.825983084,0.819278463,0.824384718,0.826261412,0.82589914,0.82573962,0.825446928,0.826961771,0.825139187,0.824409718,0.824628625,0.823103549,0.82498603
0.95,0.701674576,0.677793368,0.802989948,0.791529748,0.794475991,0.813586,0.819151375,0.823020504,0.822805764,0.823049342,0.820460018,0.82128896,0.819933125,0.822139531,0.824663119,0.824859508,0.824032127,0.820435725,0.82102425,0.823902157,0.825914598,0.825548299,0.821997629,0.822787034,0.821802376,0.823112176,0.82283726,0.823218569,0.822409636,0.824130656,0.821577765,0.822324995,0.821975757,0.822207784,0.823070694,0.827480326,0.826312654,0.823163725,0.82234361,0.826261412,0.82589914,0.82573962,0.825446928,0.822138625,0.824819838,0.824814437,0.82786958,0.823103549,0.82498603
RFE-SVM,0.701674576,0.677793368,0.802989948,0.800641488,0.816051454,0.819449842,0.820840497,0.822910302,0.827339225,0.823760823,0.825262502,0.829281409,0.827894314,0.822831113,0.82021941,0.819854774,0.825449733,0.828130956,0.827840365,0.830384859,0.830288,0.830238478,0.831042592,0.832006009,0.827779354,0.830179935,0.830181026,0.829871413,0.831417988,0.830574717,0.828647895,0.830034824,0.828747754,0.829706084,0.828091316,0.825988886,0.826017293,0.826736549,0.82522621,0.827194453,0.827587717,0.826483539,0.824440672,0.826245747,0.823779091,0.821777955,0.824924741,0.824158706,0.82498603
