,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.15,0.540574926,0.559489013,0.787648103,0.785603372,0.805002871,0.807048907,0.80807062,0.809602537,0.813176575,0.809599927,0.812149642,0.816233885,0.814191764,0.810611201,0.807038468,0.810108826,0.813171355,0.813171355,0.811126625,0.810106216,0.812147033,0.81061642,0.810617725,0.81368156,0.811134454,0.812667676,0.807044992,0.813173965,0.812150947,0.812144423,0.812145728,0.813677645,0.810611201,0.810099692,0.811121405,0.812144423,0.812655932,0.812657237,0.812147033,0.811636829,0.814701968,0.813680255,0.815719766,0.81367634,0.815205647,0.812655932,0.810611201,0.812147033,0.810104912
0.25,0.540574926,0.559489013,0.787648103,0.785603372,0.805002871,0.807048907,0.80807062,0.809602537,0.813176575,0.809599927,0.812149642,0.816233885,0.814191764,0.810611201,0.807038468,0.807548672,0.810102302,0.812148338,0.81112271,0.809597317,0.811130539,0.813682864,0.810620335,0.812662456,0.811134454,0.811643353,0.812661151,0.812663761,0.813688084,0.813686779,0.80806279,0.814699358,0.810611201,0.810102302,0.811631609,0.810097082,0.809588183,0.811631609,0.814186544,0.812655932,0.813167441,0.813167441,0.815719766,0.81367634,0.815205647,0.812655932,0.810611201,0.812147033,0.810104912
0.35,0.540574926,0.559489013,0.787648103,0.785603372,0.805002871,0.807048907,0.80807062,0.809602537,0.813176575,0.809599927,0.812149642,0.816233885,0.814191764,0.813170051,0.812654627,0.81112271,0.810102302,0.809592098,0.811124015,0.811124015,0.810617725,0.813677645,0.814703273,0.813680255,0.812658542,0.811643353,0.812661151,0.812663761,0.813688084,0.813686779,0.80806279,0.814699358,0.810611201,0.810102302,0.811631609,0.810097082,0.809588183,0.811631609,0.812140508,0.812655932,0.813167441,0.813167441,0.810613811,0.81367634,0.815205647,0.812655932,0.810611201,0.812147033,0.810104912
0.45,0.540574926,0.559489013,0.787648103,0.785603372,0.805002871,0.807048907,0.80807062,0.809602537,0.813176575,0.809599927,0.812149642,0.816233885,0.814191764,0.813170051,0.813171355,0.810612506,0.81061642,0.809592098,0.811124015,0.811124015,0.810617725,0.813677645,0.814703273,0.815216086,0.814704577,0.811127929,0.812661151,0.812663761,0.813688084,0.813686779,0.814195678,0.811635524,0.810613811,0.807038468,0.811631609,0.811630304,0.809588183,0.811631609,0.812140508,0.811632914,0.808056266,0.809588183,0.810613811,0.81367634,0.815205647,0.812655932,0.810611201,0.812147033,0.810104912
0.55,0.540574926,0.559489013,0.787648103,0.785603372,0.805002871,0.807048907,0.80807062,0.809602537,0.813176575,0.809599927,0.805516989,0.812659847,0.81368156,0.813170051,0.813171355,0.810612506,0.81061642,0.809592098,0.811124015,0.811124015,0.810617725,0.814191764,0.815214782,0.815216086,0.814704577,0.811127929,0.812661151,0.812663761,0.813688084,0.81317527,0.810620335,0.813685474,0.814708492,0.809083198,0.809081894,0.810612506,0.806524349,0.811631609,0.812140508,0.811632914,0.808056266,0.809588183,0.810613811,0.809592098,0.810102302,0.809592098,0.810611201,0.812147033,0.810104912
0.65,0.540574926,0.559489013,0.787648103,0.785603372,0.805002871,0.807048907,0.80807062,0.809602537,0.810620335,0.809088418,0.805516989,0.80500548,0.806534788,0.808576909,0.810112741,0.81062164,0.807042382,0.807553891,0.808575604,0.811124015,0.810617725,0.810615116,0.813168746,0.81622997,0.816748004,0.812150947,0.807043687,0.812663761,0.813688084,0.81317527,0.810620335,0.813685474,0.814708492,0.806534788,0.809081894,0.810612506,0.811121405,0.808054961,0.812140508,0.811632914,0.808056266,0.809588183,0.810613811,0.809592098,0.810102302,0.809592098,0.810611201,0.812147033,0.810104912
0.75,0.540574926,0.559489013,0.787648103,0.785603372,0.805002871,0.807048907,0.80807062,0.809602537,0.810620335,0.809088418,0.805516989,0.805516989,0.803472258,0.810622945,0.810112741,0.81062164,0.807042382,0.807553891,0.808575604,0.811124015,0.810617725,0.810615116,0.81061642,0.814701968,0.816748004,0.815723681,0.815724986,0.817767107,0.817258208,0.814193069,0.810620335,0.813685474,0.814708492,0.81317266,0.809592098,0.810612506,0.809079284,0.808572994,0.808064095,0.810107521,0.808066705,0.81112271,0.809076674,0.809592098,0.810102302,0.809592098,0.810102302,0.808061485,0.810104912
0.85,0.540574926,0.559489013,0.787648103,0.785603372,0.805002871,0.807048907,0.80807062,0.809602537,0.810620335,0.81062164,0.81061903,0.805516989,0.807048907,0.807043687,0.8080654,0.807044992,0.807042382,0.807553891,0.806023279,0.807553891,0.811124015,0.811129234,0.81061642,0.811635524,0.811127929,0.80806279,0.806525654,0.807039772,0.808058876,0.807038468,0.811634219,0.811635524,0.809081894,0.808060181,0.811127929,0.810108826,0.809596012,0.803468344,0.808064095,0.810107521,0.808066705,0.808574299,0.809076674,0.811124015,0.810102302,0.809592098,0.810102302,0.808061485,0.810104912
0.95,0.540574926,0.559489013,0.787648103,0.779477008,0.781523044,0.801430137,0.807047602,0.810110131,0.810108826,0.81062164,0.807552586,0.80857169,0.807042382,0.808575604,0.81061642,0.811636829,0.81112271,0.80551177,0.806532178,0.809590793,0.810103607,0.809593403,0.807034553,0.808056266,0.806524349,0.808061485,0.808565165,0.808565165,0.808053656,0.809589488,0.807038468,0.808061485,0.806529568,0.807552586,0.80806279,0.811127929,0.810104912,0.807551281,0.807041077,0.810107521,0.808066705,0.808574299,0.809076674,0.80550655,0.809084503,0.809594707,0.812147033,0.808061485,0.810104912
RFE-SVM,0.540574926,0.559489013,0.787648103,0.785603372,0.805002871,0.807048907,0.80807062,0.809602537,0.813176575,0.809599927,0.812149642,0.816233885,0.814191764,0.810611201,0.807038468,0.807548672,0.811636829,0.81368156,0.812658542,0.815723681,0.815723681,0.815723681,0.816746699,0.818273396,0.813680255,0.815726291,0.814704577,0.813179185,0.814707187,0.815210867,0.813680255,0.815216086,0.814193069,0.816741479,0.814186544,0.811127929,0.811636829,0.813168746,0.812144423,0.813167441,0.813168746,0.812148338,0.810615116,0.811635524,0.810611201,0.808570385,0.811126625,0.809589488,0.810104912
