,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.15,0.793253823,0.792230805,0.789679785,0.802444021,0.811638134,0.811638134,0.809594707,0.809596012,0.809596012,0.810103607,0.812148338,0.807047602,0.811131844,0.812150947,0.812661151,0.808572994,0.808572994,0.817760582,0.815717156,0.817759278,0.820311603,0.819801399,0.822357639,0.822867843,0.824907354,0.823378047,0.823375437,0.823375437,0.82184352,0.818264262,0.819794874,0.821325487,0.821330706,0.815193904,0.816215617,0.812133984,0.812645493,0.81162378,0.810093168,0.808053656,0.807029333,0.809581659,0.80907276,0.808559946,0.808557336,0.808559946,0.808048437,0.807028029,0.8034566
0.25,0.793253823,0.792230805,0.789679785,0.802444021,0.811638134,0.811638134,0.809594707,0.809596012,0.809596012,0.810617725,0.812148338,0.807047602,0.811131844,0.812150947,0.812661151,0.808572994,0.808572994,0.817760582,0.815717156,0.817759278,0.820311603,0.819801399,0.822357639,0.822867843,0.824907354,0.823378047,0.823375437,0.823375437,0.82184352,0.818264262,0.819794874,0.821325487,0.821330706,0.821842215,0.816214312,0.813663291,0.812644188,0.809582964,0.811625085,0.808053656,0.808054961,0.809581659,0.80907276,0.80907015,0.808048437,0.811622475,0.808048437,0.807028029,0.8034566
0.35,0.793253823,0.792230805,0.789679785,0.802444021,0.811638134,0.81061642,0.809594707,0.809596012,0.809596012,0.810617725,0.812148338,0.807047602,0.811131844,0.812150947,0.809083198,0.808572994,0.808572994,0.814193069,0.81367895,0.818270787,0.815208257,0.820825722,0.824904745,0.822349809,0.824907354,0.823378047,0.822866538,0.820312908,0.821334621,0.819800094,0.81928989,0.818779686,0.820307688,0.819796179,0.817246464,0.816227361,0.813680255,0.813675035,0.811635524,0.808565165,0.808054961,0.80907276,0.80907276,0.80907015,0.808048437,0.811622475,0.808048437,0.807028029,0.8034566
0.45,0.793253823,0.792230805,0.789679785,0.802444021,0.811638134,0.81061642,0.809594707,0.809596012,0.809596012,0.810617725,0.812148338,0.807047602,0.811131844,0.812150947,0.813684169,0.813684169,0.815217391,0.814193069,0.81623519,0.813680255,0.814701968,0.815205647,0.820828331,0.824393236,0.823886946,0.823378047,0.822866538,0.820824417,0.821334621,0.819800094,0.81928989,0.818779686,0.820307688,0.819796179,0.817246464,0.81928728,0.8187836,0.816224751,0.811635524,0.812654627,0.816228665,0.811110966,0.808048437,0.810090558,0.808044522,0.806512605,0.804470484,0.807028029,0.8034566
0.55,0.793253823,0.792230805,0.789679785,0.802444021,0.811638134,0.81061642,0.809594707,0.809596012,0.810620335,0.813680255,0.811130539,0.812149642,0.812152252,0.812153557,0.813684169,0.815217391,0.816237799,0.814195678,0.814705882,0.814191764,0.814701968,0.815205647,0.820828331,0.824393236,0.823372827,0.823378047,0.825416253,0.824908659,0.822867843,0.824911269,0.820819197,0.818266872,0.819802704,0.819798789,0.820817892,0.821848739,0.820314213,0.816224751,0.811635524,0.812658542,0.812658542,0.813167441,0.808048437,0.810090558,0.808044522,0.806512605,0.804470484,0.807028029,0.8034566
0.65,0.793253823,0.792230805,0.789679785,0.802444021,0.811638134,0.81061642,0.808572994,0.809596012,0.811639438,0.81061903,0.812661151,0.81368156,0.808575604,0.808580824,0.810110131,0.815217391,0.816237799,0.814195678,0.815214782,0.816233885,0.815715852,0.820828331,0.820828331,0.824393236,0.823372827,0.823378047,0.825416253,0.824908659,0.825417558,0.824911269,0.820819197,0.818266872,0.819802704,0.819798789,0.820817892,0.821848739,0.821337231,0.81622997,0.816231275,0.812657237,0.812658542,0.813167441,0.808048437,0.810599457,0.808044522,0.806512605,0.804470484,0.807028029,0.8034566
0.75,0.793253823,0.792230805,0.789679785,0.802444021,0.811638134,0.813167441,0.808572994,0.809596012,0.811639438,0.81061903,0.812661151,0.81368156,0.808575604,0.808580824,0.810110131,0.815217391,0.816237799,0.814195678,0.815214782,0.816233885,0.817763192,0.819293804,0.820315518,0.823375437,0.823375437,0.823372827,0.822351114,0.819798789,0.824904745,0.824395845,0.825927762,0.82439715,0.825927762,0.821330706,0.822353724,0.822867843,0.818780991,0.813671121,0.813671121,0.811124015,0.812658542,0.8111201,0.814698053,0.810599457,0.808044522,0.806512605,0.804470484,0.803961585,0.8034566
0.85,0.793253823,0.792230805,0.789679785,0.802444021,0.811638134,0.809083198,0.808058876,0.808061485,0.809083198,0.81061903,0.812150947,0.810110131,0.811640743,0.811131844,0.809596012,0.812148338,0.814703273,0.813684169,0.813680255,0.81061903,0.817763192,0.819293804,0.820315518,0.817756668,0.82184352,0.824906049,0.825417558,0.824393236,0.823884336,0.823372827,0.823888251,0.82439715,0.825927762,0.821330706,0.822353724,0.822867843,0.818780991,0.816742784,0.816742784,0.811124015,0.812658542,0.8111201,0.814698053,0.810599457,0.808044522,0.806512605,0.804470484,0.803961585,0.8034566
0.95,0.793253823,0.794787045,0.794789655,0.796321572,0.803463124,0.80806279,0.809597317,0.808576909,0.807551281,0.810103607,0.812657237,0.811635524,0.811636829,0.81112532,0.80857169,0.812657237,0.811640743,0.809089723,0.808066705,0.811131844,0.811134454,0.814708492,0.812661151,0.818283835,0.817767107,0.821857874,0.816746699,0.815724986,0.815724986,0.802949006,0.807037163,0.809588183,0.817247769,0.816226056,0.817755363,0.817755363,0.813675035,0.811116186,0.812137899,0.812141813,0.813157002,0.812135289,0.808051047,0.807031943,0.81162117,0.805493502,0.804470484,0.803961585,0.8034566
RFE-SVM,0.793253823,0.792230805,0.789679785,0.802444021,0.811638134,0.811638134,0.809594707,0.809596012,0.809596012,0.810103607,0.812148338,0.807047602,0.811131844,0.812150947,0.812661151,0.808572994,0.808572994,0.817760582,0.815717156,0.817759278,0.818779686,0.820823112,0.823890861,0.821844825,0.827458375,0.821329401,0.822355029,0.822352419,0.822352419,0.825417558,0.819797484,0.815195209,0.818770552,0.815704108,0.813153087,0.811110966,0.811108356,0.812132679,0.81161856,0.810089253,0.80907015,0.810095777,0.810093168,0.809071455,0.80907015,0.808559946,0.807030638,0.807028029,0.8034566
