QRR,TAPI,VMA,VMACD,VOSC,VSTD,CR,PSY,VR,AR,BR,WAD,PVT,WVAD,MOBV,BBI,MA,EXPMA,MACD,MTM,PRICEOSC,TRIX,BIAS,CCI,DBCD,DPO,K,D,J,RSI,SRDM,VROC,VRSI,WR,ADTM,CDP,DPTB,JDQS,JDRS,MI,MICD,RC,RCCD,SRMI,ATR,CVLT,MASS,STD,VHF,target
0.565436605,-0.045102665,-0.439469869,0.266169508,-0.552334085,-0.097374104,0.102663053,-0.468137059,0.046894046,-0.019467928,0.637397673,0.186030351,1.362813388,-0.821726446,-0.162881754,0.573327025,0.539813089,0.5402433,-0.717253845,-0.198444379,-0.383820846,-0.323009379,-0.240866854,-0.581004605,-0.621045903,-0.18952917,-1.000126294,-1.366784508,-0.389759131,-0.7472396,-0.565674878,-0.072006028,0.388664307,1.315696917,-0.012371207,0.558992644,-1.215886967,1.943413498,1.003660721,-0.653315421,-1.471754322,-0.516756303,1.0040753,0.01207747,-0.219930483,-1.001121829,-0.903319835,0.006497684,0.171256936,1
2.394615398,0.619248308,-0.555264756,0.09082748,-0.491603567,-0.09432634,0.261199914,-0.468137059,0.166525059,-0.029554745,0.799795718,0.220293727,1.365300366,-0.945451297,-1.421576814,0.579539414,0.546145958,0.546294813,-0.800365595,0.227018398,-0.28598178,-0.278022445,-0.215960582,-0.408955841,-0.458480835,-0.161265814,-1.143703698,-1.479082703,-0.541218631,-0.510040823,-0.558594071,-0.450702213,1.436365357,1.235295516,0.095556694,0.52619624,-0.454712152,1.275741302,1.003660721,-0.584475275,-1.305726681,-0.295716415,0.965733022,-0.473907858,-0.233501138,-1.236069031,-0.757878432,0.02855672,-0.097005095,-1
-0.312560731,-0.797394129,-0.849756342,-0.814865402,-0.067365275,-0.365203032,-0.164406021,-1.057886536,-0.168561181,-0.10372323,0.490841622,0.201717198,1.360494214,-0.874584646,-1.397062181,0.584473311,0.54853572,0.545798493,-0.946668661,-0.155898102,-0.15327626,-0.225053957,-0.510098236,-0.652392988,-0.458480835,-0.506542419,-1.47225603,-1.565734126,-1.08164462,-1.030103231,-0.637145679,-0.779851968,-0.584768082,1.476909536,0.232023223,0.545277784,0.306995698,0.941604722,0.723167594,-0.461362446,-1.043195474,-0.283961643,0.925466228,-0.789918022,-0.138379722,-1.477335407,-0.675255192,0.052459919,-0.130182377,-1
-0.039552137,-0.59262942,-0.828022741,-0.805965715,0.216328758,-0.374834952,-0.134346238,-0.468137059,-0.206324816,-0.205284107,0.381702467,0.227311527,1.362134872,-0.79512221,-0.785672089,0.596003745,0.545787493,0.558517433,-0.977802587,0.131289273,0.019759514,-0.158117753,-0.554242572,-0.644286742,-0.425967821,-0.535249702,-1.373499291,-1.50854596,-0.954648422,-0.81604789,-0.645307791,-0.688401136,-0.261102943,1.31293905,0.282095543,0.557650973,0.306995698,0.941604722,0.104301805,-0.253998161,-0.659256555,-0.200811901,0.883570997,-0.739643678,0.111599358,-1.25909365,-0.580245273,0.06033308,-0.106484318,-1
-1.038674498,-0.961298391,-0.75612164,-0.92036902,0.502648782,0.324723825,-0.021050336,0.12160534,0.013813659,-0.076479103,0.534524906,0.249603362,1.36398944,-0.722591579,1.320685835,0.602450224,0.546145958,0.566524326,-1.046270839,-0.531723555,0.148344032,-0.086283777,-0.581145406,-0.688908013,-0.360941794,-0.618214738,-1.396899395,-1.479018685,-1.033763242,-0.604668309,-0.646040288,-1.021492404,-0.924234228,1.157833376,0.328016789,0.552284289,0.306995698,1.370693784,-0.513821938,-0.060490732,-0.237961417,-0.031695628,0.840935568,-0.998197449,0.162330779,-1.144701231,-0.490135578,0.045296052,-0.07899457,1
-0.384472086,-0.524381618,-0.338121432,-0.660416362,1.095370238,0.277921109,0.005804337,0.12160534,0.009231921,-0.065996105,0.534733425,0.234329327,1.363767674,-0.951785346,1.031213095,0.60592556,0.537064863,0.568073083,-1.166848839,-0.850820638,0.257836118,-0.005924051,-0.722359906,-0.824670546,-0.295915766,-0.867997699,-1.485438578,-1.421397163,-1.271544849,-0.657282628,-0.662050584,0.018893951,-0.345846648,1.184424456,0.292213783,0.544532412,-0.454712152,0.941604722,-0.345377653,0.10623566,0.145977503,-0.148698923,0.79800406,-1.307025564,0.215852429,-0.918108419,-0.522735686,0.042246089,-0.229714226,-1
-0.462110893,-0.628141073,-0.376841173,-0.62804731,1.080622714,0.296182676,-0.138235644,-0.468137059,-0.019282213,-0.138691672,0.520559579,0.208734998,1.363711241,-0.822567238,1.931820373,0.613614516,0.555227053,0.572187154,-1.253918292,-0.918185578,0.31088437,0.087677796,-0.783102783,-1.007324063,-0.198376725,-1.062141801,-1.51330346,-1.28453066,-1.48151171,-0.66472542,-0.634738902,-0.360887245,-0.497371223,1.188855183,0.351366575,0.51605917,-0.454712152,0.941604722,-0.513821938,0.201279475,0.483221148,-0.203676032,0.755368631,-1.216052941,0.281930106,-0.322764708,-0.535190425,0.041607725,-0.322610618,1
-0.690784758,-0.701245188,-0.444463334,-0.426806956,1.115809968,0.797555096,-0.334132622,-1.057886536,-0.257245248,-0.330883206,0.231566396,0.170343504,1.359043625,-0.885570606,-1.672995582,0.619274693,0.583545731,0.57866323,-1.297980712,-1.765565609,0.366710826,0.192707776,-1.153059054,-1.270374625,-0.003298643,-1.58676494,-1.541034356,-1.063351869,-1.787165668,-1.319862705,-0.518062558,-0.309817626,-0.617932508,1.57883641,0.48731422,0.539762025,-0.454712152,0.941604722,0.104301805,0.306582691,0.739526318,-0.472487729,0.71317732,-1.265130277,0.291949562,0.141758062,-0.442358383,0.044019323,-0.287537491,-1
-0.473353671,-0.299338583,-0.336430693,0.01561677,1.119853891,0.813794652,-0.334730722,-0.468137059,-0.27029021,-0.24291401,0.308739927,0.20460688,1.362084328,-0.757242752,0.451641627,0.64803175,0.624530148,0.614685278,-1.040861979,-2.024388799,0.423586825,0.306082107,-1.013435036,-1.340469545,0.126753412,-1.407418406,-1.298432241,-0.715785902,-1.710853058,-1.133481895,-0.525317769,0.174521134,-0.233981813,1.29964351,0.401179453,0.539165727,-0.454712152,1.275741302,0.104301805,0.460251662,0.95121156,-0.277949335,0.671430129,-0.60557876,0.29740319,0.435943361,-0.421124075,0.011604599,-0.245828906,1
0.887658869,0.77911534,0.041949817,0.30757244,1.065946855,0.839953789,-0.337314864,-1.057886536,-0.513277156,-0.384630141,0.119816696,0.180663798,1.359132266,-0.986025685,-1.405775552,0.677815202,0.676029517,0.649882119,-0.734931582,-2.024388799,0.451754721,0.402223539,-1.221686661,-1.422989546,0.28931848,-1.731189211,-1.114144534,-0.33264538,-1.78844908,-1.452712252,-0.459672065,0.888289777,0.879203009,1.494635803,0.201668501,0.667966151,-0.454712152,0.607468141,0.329141534,0.584652468,1.100636437,-0.533344591,0.630423137,-0.724082572,0.457714482,0.577994683,-0.465294159,-0.006340533,-0.211703701,-1
