QRR,TAPI,VMA,VMACD,VOSC,VSTD,CR,PSY,VR,AR,BR,WAD,MOBV,PVT,WVAD,BBI,MA,EXPMA,MACD,MTM,PRICEOSC,TRIX,BIAS,CCI,DBCD,DPO,K,D,J,RSI,SRDM,VROC,VRSI,WR,ADTM,CDP,DPTB,JDQS,JDRS,MI,MICD,RC,RCCD,SRMI,ATR,CVLT,MASS,STD,VHF,target
0.258157659,0.171360257,-0.175174214,-0.043449518,-0.927345284,-0.371381478,-0.10159473,-1.083571764,-0.173425869,-0.371807133,0.054338903,1.349373349,-1.571493734,1.525693203,-0.573550667,-0.121632069,-0.130043853,-0.151979146,-0.433090197,-0.402821856,-0.128567508,-0.074751141,-0.716422091,-1.511767272,-0.440260979,-0.500667485,-1.096553171,-1.06572801,-0.901535273,-1.406176375,-0.3397081,-0.167778886,1.085845108,1.421432906,-0.085046079,-0.115033942,1.019614586,0.148260867,-0.128828028,-0.111115637,-0.322754036,-0.1834585,0.937747492,-0.533451853,-0.51577474,-0.446837233,-0.615177089,-0.473695681,-0.089885533,-1
0.106998237,-0.079384966,-0.277581219,-0.461097198,-0.820653866,-0.482678695,0.195991246,-1.083571764,0.124397384,-0.02816915,0.473978585,1.402157429,-1.973324399,1.53260238,-0.46535263,-0.096074666,-0.104914541,-0.108839668,-0.279498316,0.106654389,-0.023337169,-0.023246036,-0.234977948,-0.473441434,-0.19598548,-0.129287895,-0.849462124,-0.995805115,-0.505188476,-0.607055915,-0.319631164,-0.394414985,0.144135609,1.341233588,0.304662241,-0.101476278,1.019614586,0.148260867,-0.128828028,-0.042758158,-0.25033244,-0.02893541,0.93487523,-0.296343579,-0.491158934,-0.702147398,-0.630103266,-0.503990169,-0.538928684,-1
-0.104057556,-0.313758339,-0.306009509,-0.731933537,-0.343747674,-0.37009226,0.113234635,-1.083571764,0.427255719,0.010233532,0.482029098,1.43799847,-1.214241832,1.533738955,-0.329111822,-0.089092624,-0.097401653,-0.096764774,-0.264494879,-0.044596371,0.090617019,0.007196278,-0.19740182,-0.448895427,-0.165451042,-0.079446629,-0.8345218,-1.030620149,-0.43690951,-0.332458683,-0.323760625,-0.505996407,-0.940123605,1.097976278,0.578959528,-0.084044995,1.019614586,0.384953837,0.247540972,0.01913235,-0.153770313,0.0469005,0.930677309,-0.278780003,-0.4445094,-0.825132076,-0.640546315,-0.497338553,-0.490882915,-1
-0.064459622,-0.239528172,-0.230198044,-0.782513694,0.354310524,-0.30312263,0.010991676,-0.427819495,0.334752287,-0.219832061,0.270599883,1.454289852,1.393118045,1.534739064,-0.272844887,-0.082605577,-0.106727996,-0.090369889,-0.275012752,0.054910708,0.259108432,0.036157615,-0.16392013,-0.40985307,-0.165451042,-0.020337826,-0.883254724,-1.091298078,-0.461860162,0.054048055,-0.3397081,-0.441474331,-0.681786454,0.787141679,0.707592407,-0.092437835,1.019614586,0.384953837,-0.269811135,0.119236773,-0.020997387,0.111676931,0.925374671,-0.231577893,-0.2857977,-0.748954925,-0.643183449,-0.481137588,-0.468707944,1
-0.170506967,-0.351474698,-0.212578455,-0.880387235,0.682729291,0.129922887,0.021310301,-0.427819495,0.344597669,-0.169380789,0.232021066,1.430830262,0.128840119,1.534136644,-0.264653024,-0.082071502,-0.107505191,-0.095711958,-0.341677506,-0.136142884,0.328372639,0.066929035,-0.312710473,-0.469643198,-0.226519917,-0.190939619,-1.175772496,-1.154757864,-0.953003411,-0.170976755,-0.354674542,-0.50805914,-1.201263434,0.949315625,0.743448261,-0.105995499,0.253264553,-0.121921035,-0.269811135,0.17305693,0.128673911,0.263103943,0.919298732,-0.549917706,-0.295781733,-0.766006779,-0.661696127,-0.481401018,-0.484415215,1
-0.170467009,-0.321153881,-0.12772986,-0.797427894,1.091165601,0.884717456,0.06282852,-0.427819495,0.401821366,-0.156987263,0.15756718,1.421055432,-0.639031751,1.533604978,-0.423574288,-0.084155694,-0.105691736,-0.095919921,-0.383439649,-0.247590813,0.360968592,0.108231851,-0.438803723,-0.596074249,-0.318123229,-0.326562111,-1.326391866,-1.0845526,-1.322666543,-0.406461184,-0.304824424,-0.215929079,-1.130196182,1.125002863,0.657842409,-0.107609507,0.253264553,-0.324557462,-0.128828028,0.207422731,0.227650092,0.204681672,0.912670435,-0.987909379,-0.28459273,-0.432794179,-0.728204638,-0.482652312,-0.646107708,-1
-0.148690143,-0.230158503,-0.082324754,-0.624396542,1.044338404,0.881492217,-0.075741188,-0.427819495,0.730489887,-0.237332839,0.104570802,1.436695159,2.705781759,1.534165509,-0.318888771,-0.076991285,-0.091184092,-0.08778334,-0.380036808,-0.251571096,0.365971202,0.156445894,-0.355957012,-0.66652096,-0.287588792,-0.290057057,-1.282407847,-0.89408435,-1.454167871,-0.255040681,-0.32907645,-0.156929672,-0.914220058,0.949315625,0.596887456,-0.130205614,0.253264553,-0.324557462,-0.269811135,0.224097893,0.297657634,0.214715125,0.905710723,-0.522474618,-0.305593628,-0.080436301,-0.729312234,-0.484957328,-0.743123203,1
-0.036249589,0.059181041,0.000330488,-0.416521477,0.998168159,1.086514609,-0.199176536,-0.427819495,0.357836336,-0.499000717,-0.187001588,1.404112394,-2.635784286,1.531693709,-0.331671295,-0.071585412,-0.076158317,-0.084039993,-0.388234562,-0.657559979,0.38090882,0.205647256,-0.698097548,-0.792706598,-0.226519917,-0.557176857,-1.294435017,-0.633253964,-1.773371812,-1.067335212,-0.207063437,0.24951421,-0.307841164,1.584494508,0.641931373,-0.079202972,0.253264553,-0.324557462,-0.269811135,0.242697114,0.344731672,0.033684567,0.898198653,-0.464295273,-0.301806581,0.530254471,-0.69154848,-0.483310888,-0.758830474,-1
-0.183812832,-0.152769932,0.035630557,-0.397450736,0.896940458,1.173439935,-0.228518891,0.227924905,0.348316436,-0.459075502,-0.182381167,1.451683231,-0.312687641,1.53582549,-0.185259754,-0.050548101,-0.045329574,-0.047867301,-0.226444927,-0.772988191,0.375835998,0.257481467,-0.325658169,-0.460842315,-0.043313293,-0.27361283,-0.905491809,-0.235197544,-1.476346888,-0.53078763,-0.160293303,-0.130395692,-0.885202425,1.143925081,0.57851133,-0.087918614,0.253264553,0.148260867,-0.269811135,0.274711288,0.37007923,0.211799051,0.890244696,0.098836878,-0.349833223,0.328611179,-0.675989392,-0.493387098,-0.678446206,1
-0.180016864,0.047277156,0.233511155,-0.06425822,0.849427746,1.192460044,-0.310741799,-0.427819495,0.030162244,-0.603258026,-0.338722425,1.441908402,0.993956766,1.535711347,-0.309940465,-0.035007845,-0.014759895,-0.030008415,-0.133176141,-0.418742989,0.333041741,0.287265569,-0.328871917,-0.605301773,0.048290019,-0.27722943,-0.604368669,0.141963581,-1.32469037,-0.565991397,-0.154178964,0.048324459,-0.484372179,1.173993511,0.402817643,-0.027877529,0.253264553,-0.482352775,-0.128828028,0.28048346,0.360423018,0.065649772,0.881517438,0.016507616,-0.342431268,0.437049346,-0.702624442,-0.481466876,-0.696925348,-1
