,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.15,0.720471918,0.678052275,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031
0.25,0.720471918,0.678052275,0.672780326,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031
0.35,0.720471918,0.678052275,0.672780326,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031
0.45,0.720471918,0.680343429,0.673943438,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031
0.55,0.720471918,0.680343429,0.672780326,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031
0.65,0.720471918,0.680343429,0.672780326,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031
0.75,0.720471918,0.678052275,0.67232062,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031
0.85,0.720471918,0.736217497,0.703411198,0.70843743,0.674171345,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031
0.95,0.720471918,0.736217497,0.676587044,0.683630779,0.672091938,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031
RFE-SVM,0.720471918,0.678052275,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031,0.671864031
ReliefF-SVM,0.657634547,0.661997702,0.646056461,0.672111418,0.657519777,0.617909546,0.600603314,0.57586909,0.531996784,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319,0.530136319
