QRR,TAPI,VMA,VMACD,VOSC,VSTD,CR,PSY,VR,AR,BR,WAD,MOBV,PVT,WVAD,BBI,MA,EXPMA,MACD,MTM,PRICEOSC,TRIX,BIAS,CCI,DBCD,DPO,K,D,J,RSI,SRDM,VROC,VRSI,WR,ADTM,CDP,DPTB,JDQS,JDRS,MI,MICD,RC,RCCD,SRMI,ATR,CVLT,MASS,STD,VHF,49
1.889091654,0.763083946,-0.423250565,0.696848096,-0.855787093,-0.524390137,-0.9616939,-1.672839913,-1.210499952,-0.877144286,-0.5570102,0.713097851,-1.401004489,1.200520513,-2.035651867,0.227006892,0.197196362,0.188304496,-0.631196921,-0.77283307,-0.969995691,-1.04784436,-1.244377798,-1.669756089,-0.957154215,-0.967678474,-2.02405669,-2.205724911,-1.434013583,-2.263675758,-0.625707285,-0.006211668,1.874302321,1.672573773,-1.955215463,0.198313773,0.43470291,-0.703350955,1.321355343,-0.850044749,-0.437873118,-0.850602892,1.139725903,-1.142764084,-0.374678019,-0.958856187,-2.457779226,-0.147097521,1.445025565,-1
0.745203926,-0.08757403,-0.748011829,-0.082127146,-0.843399623,-0.994103301,-0.748239729,-1.672839913,-0.975187167,-0.482793223,-0.11874914,0.742427808,-1.83473831,1.221027352,-1.8093958,0.24315033,0.215807299,0.213643674,-0.480590719,-0.301277418,-0.900731201,-0.992139635,-0.754426412,-1.06224043,-0.652336695,-0.552891258,-2.031758065,-2.166909777,-1.495200234,-1.924843077,-0.600999601,-0.814253121,0.673626613,1.766258003,-1.682992017,0.210306995,0.43470291,-0.703350955,1.321355343,-0.803139167,-0.390792244,-0.646761358,1.117855535,-0.852880281,-0.37314286,-1.557381187,-2.460813364,-0.236499882,0.291837049,-1
-0.06491547,-0.522349787,-0.8325041,-0.483129466,-0.268442364,-1.099984437,-0.835513178,-1.672839913,-0.966442889,-0.674360874,-0.130934754,0.76027059,-1.399245981,1.224895602,-1.637495725,0.252341553,0.224873728,0.225042204,-0.475859012,-0.453971629,-0.805989325,-0.955137218,-0.705585388,-0.988491373,-0.576132315,-0.486110588,-1.945524303,-2.104351266,-1.397017338,-1.761385062,-0.602881807,-0.877297433,-0.130474755,1.714487453,-1.373220509,0.223794035,-0.328292526,-0.550554633,1.57459535,-0.763590875,-0.323777935,-0.544659408,1.094422997,-0.747701202,-0.356982419,-1.714598257,-2.382804089,-0.287734072,0.04430425,-1
-0.155024317,-0.62100384,-0.712219303,-0.658600624,0.089460508,-0.762437223,-0.945248403,-1.092513738,-0.999122857,-0.891207876,-0.410012286,0.773923379,-0.941721437,1.22811323,-1.347100209,0.262412814,0.229091069,0.234794679,-0.487628836,-0.381473957,-0.622915124,-0.919341401,-0.713842889,-0.912450065,-0.538030125,-0.429786963,-1.881252438,-2.059087254,-1.322227899,-1.543598546,-0.609424712,-0.517530595,-0.316265536,1.692294276,-0.741161473,0.230196112,-0.328292526,-0.550554633,1.016529408,-0.65943994,-0.206645277,-0.453535778,1.070138368,-0.597628613,-0.234235699,-1.701578113,-2.276928656,-0.331748662,-0.184565362,-1
-0.933100233,-1.066476266,-0.758767016,-0.773607643,0.197575624,0.049654165,-0.927820962,-1.092513738,-1.000313969,-0.906473504,-0.412398223,0.783386174,0.160166579,1.229945856,-1.395444707,0.26951555,0.237133043,0.241479698,-0.533257712,-0.435366032,-0.545472141,-0.882741184,-0.737340616,-0.941972016,-0.576132315,-0.50799639,-1.845787175,-2.02740342,-1.288882656,-1.389258455,-0.611396546,-1.268085866,-1.184767087,1.588015772,-0.662414844,0.230729618,-0.328292526,-0.354337774,0.458463467,-0.593962334,-0.038634901,-0.262533599,1.045285677,-0.8067041,-0.20830306,-1.44137963,-2.168817543,-0.330791597,-0.411470428,-1
-0.036527957,-0.500609322,-0.610592486,-0.449225008,1.00691337,0.136116456,-0.906643522,-1.092513738,-0.974243731,-0.843314135,-0.380186702,0.776183151,-0.135742878,1.229891585,-1.68075227,0.275175503,0.244474972,0.246638251,-0.596006334,-0.446272761,-0.480733391,-0.841113465,-0.867938508,-1.049507907,-0.576132315,-0.641718197,-1.907869773,-1.999848233,-1.445260051,-1.407831814,-0.595681623,-0.345089149,-0.396973278,1.594310773,-1.067881759,0.233567872,-1.090754024,-0.550554633,0.711703474,-0.52945099,0.083623497,-0.415702181,1.020432986,-1.41982117,-0.180009908,-1.186373428,-2.112286769,-0.321980357,-0.178671724,-1
0.110355915,-0.433785619,-0.701924991,-0.425836151,0.883403567,0.109151386,-1.024029941,-0.5121806,-1.038495743,-1.083270484,-0.570791942,0.784045274,0.655507057,1.231009043,-1.659152887,0.283867268,0.255282975,0.254589204,-0.625133678,-0.376982951,-0.456979002,-0.792246142,-0.895831356,-1.207618258,-0.576132315,-0.715470231,-1.896183586,-1.923548687,-1.512022464,-1.336752501,-0.601238611,-0.232166385,-0.296900942,1.526550717,-1.753394632,0.236086022,-1.090754024,-0.550554633,0.458463467,-0.490123342,0.185758619,-0.45399209,0.995154248,-1.092739888,-0.187074943,-1.106900708,-2.081785702,-0.331863094,0.164141557,1
0.498748702,-0.046599401,-0.737466095,-0.408832435,0.861906368,0.9117345,-1.071949174,-0.5121806,-1.213078805,-1.085462434,-0.687689077,0.774582479,-1.677247891,1.228949218,-1.699933568,0.292118586,0.265203117,0.263782173,-0.633812438,-0.740754455,-0.458610106,-0.739759018,-1.083851223,-1.347808362,-0.538030125,-0.904133872,-1.914126058,-1.815677419,-1.675146588,-1.662894858,-0.469812855,1.269687433,0.187669435,1.731657484,-1.564872073,0.264959384,-1.090754024,-0.550554633,0.458463467,-0.454904211,0.242521447,-0.681951032,0.96959148,-1.170982861,-0.171987463,-0.383864981,-1.986210368,-0.320045421,0.702427168,-1
-0.919121534,-0.795806923,-0.631093244,-0.685449421,0.609576948,0.943016244,-1.081683884,-0.5121806,-1.217553985,-1.000056845,-0.681965031,0.798121771,-1.215326137,1.238041162,-1.646246862,0.304594771,0.276284308,0.282354328,-0.526148263,-1.153927027,-0.483673973,-0.686467494,-0.77057991,-1.180672162,-0.385621366,-0.632723177,-1.785089095,-1.643770686,-1.620672141,-1.288390113,-0.437068452,-0.41237211,-0.839949762,1.646335017,-1.415983579,0.268245784,-1.090754024,-0.703350955,0.458463467,-0.41731127,0.245748765,-0.531596371,0.943318636,-0.641239451,-0.189666556,-0.499048968,-1.94748519,-0.298376219,0.573749404,-1
-0.792237954,-0.500512966,-0.059682106,-0.357045884,0.615264237,0.862232841,-1.042843071,-0.5121806,-1.229735473,-0.879085101,-0.685586591,0.808902766,-0.216646404,1.239039424,-1.674087466,0.315930071,0.288133841,0.292703039,-0.496973364,-0.779890366,-0.541336947,-0.646247475,-0.755739241,-1.351774333,-0.309416986,-0.618459518,-1.640026349,-1.458590864,-1.549876076,-1.208997704,-0.386607415,-0.289169767,-0.519477367,1.537412216,-1.338540702,0.287387991,-0.328292526,-0.703350955,0.102721552,-0.398716421,0.194681204,-0.722128818,0.916051683,-0.565561821,-0.161967659,-0.216076888,-1.924569467,-0.22053146,0.29871296,-1
