QRR,TAPI,VMA,VMACD,VOSC,VSTD,CR,PSY,VR,AR,BR,WAD,MOBV,PVT,WVAD,BBI,MA,EXPMA,MACD,MTM,PRICEOSC,TRIX,BIAS,CCI,DBCD,DPO,K,D,J,RSI,SRDM,VROC,VRSI,WR,ADTM,CDP,DPTB,JDQS,JDRS,MI,MICD,RC,RCCD,SRMI,ATR,CVLT,MASS,STD,VHF,49
1.260155585,0.437771369,-0.187011988,0.622322192,-0.532965351,-0.33213388,-0.523697932,0.806581373,0.14980407,-0.34280193,-0.463273989,-2.03368697,-0.879033113,1.514062363,-0.820027426,-1.027694127,-1.031023241,-1.040772919,-0.156848792,-0.249458449,-0.348808778,-0.402738932,-0.640074305,-2.364452083,-0.312782324,-0.386029485,-1.176946518,-1.170492197,-0.962718917,-1.288215112,-0.454088908,-0.117768491,1.197877597,1.440357865,0.750620877,-1.01159566,-1.195893979,0.935564054,-0.54461199,-0.244047828,-0.089539761,-0.503513132,1.339607335,-0.45797155,-1.15938111,-0.364333119,-1.882522652,-1.056563017,-0.563853306,-1
1.776345848,0.519949372,-0.446922473,0.224883415,-0.452188629,-0.492669616,-0.232700122,0.806581373,0.51857149,0.102335839,-0.033217596,-1.991317139,-0.87948947,1.535586675,-0.625654436,-1.017207122,-1.02012157,-1.021087538,-0.051361677,0.010414519,-0.321603835,-0.383599393,-0.074371356,-0.117323449,-0.176575826,-0.039694472,-0.872740231,-1.090381396,-0.453535492,-0.240239184,-0.213697277,-0.744116209,1.439882184,1.030935173,1.104247743,-1.022854653,-1.195893979,0.935564054,-0.54461199,-0.232247759,-0.113772468,-0.331186674,1.338234126,-0.135830282,-1.178359627,-0.982630819,-2.044016724,-1.101787016,-1.440323816,-1
0.314731842,-0.277410081,-0.580911535,-0.48735983,0.221716599,-0.714821376,-0.487108265,0.202780354,0.12747457,-0.083792,-0.230941145,-1.999037864,-0.751715042,1.531470152,-0.500835416,-1.016524614,-1.021634242,-1.020941275,-0.079327604,-0.239511158,-0.319578234,-0.384606737,-0.196264679,-0.554011076,-0.221977992,-0.112152507,-0.952731901,-1.141931083,-0.551755385,-0.626156439,-0.253829927,-0.809080372,-0.027315946,1.346850025,1.161579619,-1.009122587,-0.445245952,0.528300708,-0.173164478,-0.246312488,-0.124819731,-0.271189477,1.335291536,-0.137371628,-1.179807141,-1.157988148,-2.082885961,-1.106996459,-1.327171009,-1
-0.483913785,-0.629737144,-0.592882788,-0.764135915,0.575245009,-0.582235323,-0.608795798,0.806581373,0.116135593,-0.415525531,-0.42537373,-1.978135414,0.576999969,1.537027326,-0.356304034,-1.011471426,-1.020173731,-1.015367624,-0.071311312,0.034039334,-0.229270203,-0.381081033,-0.036481235,-0.325325626,-0.221977992,0.029473132,-0.69045094,-1.174096524,0.005740542,0.007982525,-0.456588011,-0.823416292,-0.925098913,0.862501723,1.199640276,-1.018364072,-0.445245952,0.528300708,-0.68375157,-0.215203214,-0.109496108,-0.191884366,1.330975738,0.052213903,-1.11659903,-1.374114442,-2.112141632,-1.118774328,-1.221438059,1
-0.914380695,-0.800687979,-0.478017547,-0.770634948,0.826182189,0.762990807,-0.666165396,0.806581373,-0.081027133,-0.417215232,-0.532167607,-1.995083346,0.324051211,1.534972931,-0.455559332,-1.012468938,-1.015061943,-1.018760395,-0.128336299,-0.084084742,-0.218523265,-0.380073689,-0.200986548,-0.574304835,-0.312782324,-0.093301079,-1.136167638,-1.370390696,-0.647923075,-0.397024526,-0.529907274,-1.054087279,-1.408489272,1.130155667,1.143512851,-1.025132484,-0.445245952,0.00425724,-0.68375157,-0.208498629,-0.058536151,-0.038466848,1.325679076,-0.078800488,-1.120901363,-1.188950293,-2.105917022,-1.098062391,-1.209380793,1
-0.787748595,-0.673443315,-0.330576338,-0.518235959,1.21818687,0.792706323,-0.679471197,0.806581373,-0.042425188,-0.463440438,-0.554487365,-2.004122243,0.784328496,1.534223652,-0.727220339,-1.010765292,-1.014383849,-1.017971621,-0.159490525,-0.059216515,-0.209154862,-0.368741067,-0.302287915,-0.823515574,-0.35818449,-0.1629314,-1.385175779,-1.41324702,-1.09129597,-0.579087126,-0.515243422,-0.525691276,-1.223531593,1.249114482,1.001387612,-1.02630394,-1.195893979,-0.205242781,-0.54461199,-0.197786192,-0.021830727,-0.149575008,1.319401551,-0.647557081,-1.108557286,-1.023451786,-2.094228585,-1.082685728,-1.292854175,1
0.084697233,-0.055541261,-0.242716683,-0.178269633,1.189130383,0.651012781,-0.79559595,0.202780354,-0.288684369,-0.623059656,-0.629227862,-2.014291003,0.180671654,1.533655369,-0.714159699,-1.004785468,-1.010054477,-1.014179241,-0.17028519,-0.059216515,-0.211771263,-0.352119889,-0.374958631,-0.980259008,-0.267380158,-0.220582495,-1.362952025,-1.336974973,-1.136521595,-0.686769665,-0.544571127,-0.012512837,-0.230876718,1.326437034,1.079195158,-1.015305271,-0.445245952,-0.205242781,-0.68375157,-0.191662672,0.011667426,-0.215145748,1.312143163,-0.479550391,-1.102525977,-0.861746309,-2.116913834,-1.077753116,-0.505421939,-1
-0.458011765,-0.325827702,-0.208026244,-0.215475621,1.095766163,0.789803114,-0.855962736,0.806581373,-0.325526266,-0.773026362,-0.748241639,-2.008265071,-0.858119262,1.534826006,-0.621471817,-1.000847919,-1.007133455,-1.006792978,-0.154935813,-0.071650629,-0.198520458,-0.333735858,-0.385876514,-0.818482765,-0.13117366,-0.221045212,-1.236955412,-1.235116114,-1.0060181,-0.618397642,-0.393853182,0.253277921,-0.827906452,1.371236447,1.123518962,-0.98868719,0.305927739,-0.205242781,-1.194338662,-0.17440954,0.031267409,-0.341620444,1.303511566,-0.416355214,-1.089337516,-0.045715456,-2.052247043,-1.074204655,-0.416383665,-1
-0.673039648,-0.15532082,-0.073418031,0.041684184,0.906453536,0.793358949,-0.796774273,0.806581373,-0.409082329,-0.626234556,-0.560429671,-1.978135414,0.986247493,1.544214204,-0.516306202,-0.996540241,-1.005725105,-0.997800439,-0.126651056,-0.248215037,-0.227779135,-0.318877532,0.010023417,-0.367148874,-0.040369328,0.017631008,-1.013190721,-1.153447346,-0.658104057,0.2064381,-0.379115826,-0.001262116,-0.54877303,0.375919213,0.992956454,-1.014719543,0.305927739,-0.368382853,-1.194338662,-0.165350901,0.038751039,-0.236672198,1.293702933,-0.018688003,-1.104254952,-0.089888973,-1.98045653,-1.031799291,-0.337547693,1
-0.874088663,-0.183242183,0.504226852,0.280177618,0.668437297,0.829240648,-0.726331798,0.202780354,-0.268287367,-0.523068219,-0.446380712,-2.006381968,0.222519791,1.535301242,-1.032311938,-0.996088735,-1.011306343,-1.005207596,-0.214147061,-0.271839853,-0.278194086,-0.309559599,-0.353007699,-1.041522535,-0.085771494,-0.207026604,-1.272798082,-1.157242145,-1.168210686,-0.738895517,-0.392640382,-0.019659619,-0.61141827,1.184617432,0.6217446,-1.003135146,0.305927739,-1.020356306,-1.101783259,-0.172517357,0.030554683,-0.458622534,1.282717264,-0.368573495,-1.082984538,-0.28769248,-1.924919168,-0.974394761,-0.255929275,-1
