QRR,TAPI,VMA,VMACD,VOSC,VSTD,CR,PSY,VR,AR,BR,WAD,MOBV,PVT,WVAD,BBI,MA,EXPMA,MACD,MTM,PRICEOSC,TRIX,BIAS,CCI,DBCD,DPO,K,D,J,RSI,SRDM,VROC,VRSI,WR,ADTM,CDP,DPTB,JDQS,JDRS,MI,MICD,RC,RCCD,SRMI,ATR,CVLT,MASS,STD,VHF,49
0.885385088,-0.052055405,-0.548611403,0.479021358,-0.47722044,-0.692198079,-0.259819922,0.750839775,-0.140354176,-0.191051786,0.023735306,0.442890159,-1.385519679,1.37316443,-0.620163534,-0.577546762,-0.605831863,-0.642605816,-0.623470447,-1.004156251,-0.17989991,-0.151037944,-1.274499644,-3.217659016,-0.400780515,-1.187066821,-1.189381314,-0.905952541,-1.288933535,-1.893646346,-0.528934516,-0.013654606,1.901636312,1.379772514,-0.091813243,-0.587335671,0.286107694,-0.080011777,-0.959226051,-0.195133575,-0.127803475,-0.558530015,0.287056903,-0.969392301,-0.92523461,0.435479619,-1.003835573,-1.11053766,0.096236892,-1
0.395846827,-0.413321171,-0.656201856,0.161315996,-0.495529876,-0.858429188,0.229720343,0.750839775,0.334385271,0.492047547,0.620079733,0.535733209,-1.691861195,1.387031131,-0.482541225,-0.529447116,-0.532560972,-0.550034372,-0.26868681,-0.285243673,-0.080818856,-0.076610562,-0.452188396,-1.488841958,-0.114489508,-0.419061709,-0.914190573,-0.685525886,-1.003285797,-1.045364137,-0.358598118,-0.489721615,0.81766511,1.583107063,0.669777597,-0.515764502,0.286107694,-0.080011777,-0.959226051,-0.109320329,-0.117926402,-0.247504755,0.236862542,-0.3180077,-1.010941796,-0.704362361,-1.128793085,-1.246350822,-0.759379185,-1
-0.201878547,-0.671437158,-0.753132801,-0.003256953,-0.322765932,-0.907231505,0.16114967,0.750839775,0.907047167,0.746163463,0.901452005,0.572520079,-0.447836167,1.391340967,-0.131342726,-0.515814855,-0.509723292,-0.51741828,-0.14417018,-0.22181021,-0.002776321,-0.048192834,-0.10967079,-0.466103569,-0.057231307,-0.07724865,-0.367068399,-0.510232606,-0.129548899,-0.19589781,-0.33891237,-0.777028314,-0.346135794,0.714351931,0.829334447,-0.535875409,0.286107694,0.15378771,-1.059835156,-0.064973301,-0.094221428,-0.098118458,0.188287353,0.022095764,-1.019937302,-0.800122096,-1.137950601,-1.209382987,-0.64230515,1
-0.201710031,-0.681447725,-0.733930772,-0.001289584,0.109601993,-0.82686601,-0.206099934,0.750839775,0.384626548,0.096397245,0.303477145,0.560257789,0.81025286,1.391172943,-0.124089118,-0.505421464,-0.511150647,-0.513884471,-0.135294249,-0.116087772,0.115750548,-0.036013808,-0.196555491,-1.039501088,2.69E-05,-0.116313,-0.454632738,-0.556146227,-0.24862392,-0.26057675,-0.461167111,-0.419496753,-0.380953408,0.773821828,0.911661703,-0.51399001,0.286107694,0.15378771,-0.504819365,-0.003079516,-0.036934406,-0.006747592,0.141871062,-0.045156334,-0.969962267,-0.749263837,-1.093174604,-1.149092097,-0.763281653,1
0.354560468,-0.495372218,-0.743137547,0.023325199,0.209219807,-0.631976398,-0.08165959,0.750839775,0.085168431,-0.108769819,0.229291013,0.533981454,-1.588797732,1.390839693,-0.173972561,-0.502303447,-0.497828667,-0.506172174,-0.105369682,-0.08084696,0.133862935,-0.024849701,-0.258423855,-0.450290287,-0.057231307,-0.225497857,-0.524059099,-0.575576835,-0.362757729,-0.374728055,-0.376174678,-0.522151091,0.346316064,0.988342555,0.883369674,-0.467261726,0.286107694,-0.346890808,-0.504819365,0.022323998,0.04405759,0.188745162,0.09788353,-0.248834114,-0.950222128,-0.778974246,-1.000055436,-1.147188175,-0.808160034,-1
0.538748185,-0.519904584,-0.811062287,-0.103377713,0.352449589,-0.265196369,0.081843473,1.433400046,0.545291733,0.342604358,0.496225922,0.568140689,1.14187239,1.394246072,-0.208353875,-0.502569324,-0.490691892,-0.489840251,-0.034615833,0.243368517,0.124417825,-0.017745269,0.078086244,0.351635704,-0.057231307,0.071879504,-0.371157024,-0.565539365,-0.073281136,0.458443893,-0.132524494,-0.166665674,0.274077384,-0.027974911,0.734263033,-0.506300545,1.010666724,-0.547050081,-0.959226051,0.035069404,0.085541295,0.188092144,0.056864482,-0.389102775,-0.967963265,-0.593888103,-0.934408818,-1.141793727,-0.795477013,1
-0.373090552,-0.824323736,-0.896734484,-0.262168017,0.330733037,-0.265311194,-0.130050498,0.750839775,0.534735274,0.243990437,0.471752524,0.547119621,1.169820113,1.392521036,-0.314336238,-0.508611993,-0.503538087,-0.504739549,-0.095479359,0.067164453,0.109861244,-0.020113413,-0.072519884,-0.294149161,-0.057231307,-0.069240459,-0.696088981,-0.636793317,-0.630391119,0.052846427,-0.29497097,-0.56737767,-0.861333481,0.379701392,0.156188058,-0.50748354,1.735733149,-0.547050081,-1.059835156,0.021887512,0.130975829,0.091849426,0.018813918,-0.143152247,-0.976958772,-0.553336347,-0.846028133,-1.148774777,-0.843282244,1
0.062185637,-0.588168509,-0.835800475,-0.180852445,0.303170727,-0.270030916,-0.155196456,0.750839775,0.027446216,0.232738368,0.45284907,0.528726187,-1.743064401,1.39165386,-0.213063064,-0.510158917,-0.514481142,-0.506769101,-0.103848094,-0.214762048,0.120862019,-0.014700512,-0.203459642,-0.086488596,2.69E-05,-0.18555456,-0.713732043,-0.560253837,-0.754158535,-0.286610364,-0.152171182,0.063634327,-0.151277318,0.75971062,0.313705842,-0.466670228,1.735733149,-0.547050081,-1.059835156,0.027387242,0.172459534,-0.1281057,-0.016538025,-0.077821638,-0.962715887,-0.172515359,-0.758552551,-1.146077553,-1.017917681,-1
-0.460887259,-0.718362616,-0.779538095,-0.248007531,0.205263015,-0.269235782,-0.269735729,0.750839775,0.00510309,0.205668693,0.523692672,0.560257789,0.59430929,1.394333082,-0.105240299,-0.507886873,-0.515432712,-0.494329142,-0.048056528,-0.398014274,0.099008628,-0.008272693,0.109289418,0.475143782,0.114543297,0.089653783,-0.481429503,-0.435485172,-0.441735163,0.458851819,-0.032884927,-0.247549278,-0.611878774,-0.088007049,0.232907885,-0.521087977,1.735733149,-0.080011777,-1.059835156,0.024681026,0.19221368,-0.032326967,-0.049191346,0.120091677,-0.964465013,0.041039142,-0.678584003,-1.144966931,-0.626695278,1
-0.840553249,-0.784216011,-0.620691359,-0.19840382,0.076006338,-0.299243076,-0.521394244,0.068287695,-0.396341404,-0.238131285,0.120006913,0.536609087,1.910652871,1.392999428,-0.262968335,-0.513542811,-0.517335852,-0.510279032,-0.11196323,-0.130184097,0.0558204,-0.009625918,-0.036325397,-0.613676623,0.171801499,-0.037305353,-0.71021859,-0.379458575,-0.957512255,0.061441202,-0.060773069,-0.465920396,-0.830568862,0.408931014,-0.076010488,-0.515764502,1.735733149,-0.702916406,-0.959226051,0.005824809,0.180361193,-0.26597827,-0.07968577,-0.045156334,-0.994949784,-0.03150688,-0.645041936,-1.13703392,-0.666695574,1
-1.032661207,-0.875475672,-0.333531617,-0.028909167,-0.013979064,-0.291798645,-0.441130175,-0.614264385,-0.234110885,-0.182291266,0.320063074,0.504201607,-0.874119191,1.39235674,-0.464605625,-0.514751345,-0.484982472,-0.513908349,-0.123882338,-0.031509822,0.017336207,-0.002521486,-0.13465724,-0.424219741,0.2290597,-0.109183756,-0.715025065,-0.16627561,-1.214914877,-0.159484745,-0.042141915,-0.696468335,-1.129975544,0.672014856,-0.204471594,-0.53350942,1.735733149,-0.702916406,-0.353572565,0.017871836,0.180361193,-0.154939555,-0.108021297,0.056682557,-0.957468508,-0.179298488,-0.633967729,-1.047549547,-0.704744635,-1
-0.68181141,-0.565069221,-0.246369452,0.347941228,-0.159926687,-0.335006072,-0.225303407,-1.296824656,0.122146791,0.11510184,0.561964212,0.492815195,-1.273184803,1.391566957,-0.795205397,-0.508515311,-0.474515201,-0.508607637,-0.093957771,-0.116087772,-0.004331986,0.005936171,-0.285442696,-0.626352966,0.2290597,-0.249522432,-0.431616947,0.156212075,-1.031788513,-0.477021176,-0.213728202,-0.489511085,-0.535520343,1.052027533,-0.384164212,-0.505117551,1.735733149,-0.702916406,-0.353572565,0.041267512,0.194189094,-0.864073366,-0.134737651,-0.091272057,-0.948473002,-0.051582509,-0.617835592,-0.994715688,-0.740842463,-1
-0.350340925,-0.350883135,-0.133741314,0.629744713,-0.163054604,-0.332911236,-0.382309525,-0.614264385,-0.026581133,-0.126227257,0.195139204,0.526098553,-1.65985778,1.392336646,-0.661449053,-0.484707195,-0.468805781,-0.485136466,0.021175733,-0.116087772,-0.003035598,0.010334153,-0.231823447,0.033703077,0.171801499,-0.199715386,0.042614459,0.479968287,-0.474289205,-0.34181069,-0.173263055,0.085940086,-0.098502551,0.197145606,-0.157827978,-0.439461354,1.735733149,-0.702916406,-0.504819365,0.078630757,0.176410363,-0.672344054,-0.160374556,-0.196953925,-0.894999714,-0.132800087,-0.629868143,-0.978056364,-0.974990534,-1
0.207783247,-0.042755193,-0.191597396,0.832937181,-0.423496185,-0.332404758,-0.151692858,0.068287695,-0.183615082,-0.241728961,0.145716512,0.569892445,-1.873131107,1.395562108,-0.358439188,-0.476102434,-0.467378426,-0.459468603,0.153553902,0.243368517,-0.047705412,-0.001506567,0.050648969,1.008628814,0.114543297,0.040823346,0.602818448,0.697893125,0.375622736,0.137876344,0.130538024,-0.1271121,0.563642439,-0.532805041,0.193400997,-0.374988152,1.010666724,-0.702916406,-0.504819365,0.089368325,0.101344611,0.0566896,-0.185201874,-0.045156334,-0.894999714,-0.42916909,-0.666977383,-0.946641637,-0.972063684,-1
1.641009722,0.403619547,-0.298025185,0.80571977,-0.618535083,-0.366833377,0.122698515,0.750839775,0.410825739,0.311303751,0.639132433,0.618065726,1.560984149,1.403884257,-0.14929867,-0.485577339,-0.474990986,-0.453236685,0.204273507,0.567583993,-0.122488458,-0.032292439,0.649038585,1.522799145,0.114543297,0.605498519,0.933016126,0.708554791,1.013586525,1.581872218,0.215647635,1.149816038,1.777490683,-1.644672395,-0.001329726,-0.480274666,1.010666724,-0.702916406,-0.504819365,0.077146703,-0.036934406,0.567160087,-0.209759331,0.298790108,-0.930481989,-0.418502645,-0.681884969,-0.89460108,-0.923282835,1
-0.025274038,-0.51334242,-0.5917563,0.249558356,-1.125528027,-0.695293189,0.100551431,0.750839775,0.384238396,0.12474173,0.486606646,0.557630155,0.94680638,1.392421953,-0.65444344,-0.517144242,-0.520190562,-0.509514966,-0.022950323,0.010779153,-0.244163697,-0.071874274,0.200896439,0.663141816,2.69E-05,0.14737136,0.38921568,0.538144332,0.140716096,0.726083037,0.205648525,-0.397426753,-0.090797092,-0.962170731,-0.714747652,-0.492104611,1.010666724,-0.827385197,-0.353572565,-0.019404111,-0.194967569,0.820556571,-0.234046925,0.141228051,-0.894999714,-0.858217214,-0.626407454,-0.92189064,-0.82864799,1
1.122486752,-0.087569588,-0.642531823,0.273575219,-1.185529928,-0.654634238,0.250940871,0.750839775,0.520059739,0.19509136,0.45378678,0.53135382,-1.583151894,1.390062618,-0.337656935,-0.523525301,-0.534939897,-0.528282351,-0.106130476,-0.179521235,-0.325910197,-0.082361768,0.038424737,0.699153249,-0.114489508,-0.002635743,0.298704144,0.589504564,-0.097287583,0.067928359,0.889611072,-0.051429112,1.252994948,-0.422478224,-0.091048594,-0.512807015,0.286107694,-1.325821034,-0.353572565,-0.084353302,-0.366828634,0.881055185,-0.258064657,0.008645344,-0.901996219,-0.709969342,-0.605483593,-0.920462698,-0.812062501,-1
-0.110711525,-0.597349567,-0.758808509,-0.094858815,-1.261716725,-0.733119961,0.219485859,0.068287695,0.470766571,0.5051745,0.31236709,0.526098553,-0.779510541,1.389912114,0.037524188,-0.528069388,-0.527327337,-0.528974787,-0.117795985,-0.200665723,-0.383766125,-0.082361768,0.09165544,0.42216827,-0.286264113,0.045315746,0.726400135,0.717635831,0.596074573,0.036285762,0.882228917,0.142266477,-0.248024699,-0.669039776,0.083801245,-0.516355999,0.286107694,-0.702916406,-0.353572565,-0.143278979,-0.522886382,1.197820123,-0.281812527,0.335298389,-0.928732863,-0.914322513,-0.571142905,-0.900788829,-0.728159443,1
