QRR,TAPI,VMA,VMACD,VOSC,VSTD,CR,PSY,VR,AR,BR,WAD,MOBV,PVT,WVAD,BBI,MA,EXPMA,MACD,MTM,PRICEOSC,TRIX,BIAS,CCI,DBCD,DPO,K,D,J,RSI,SRDM,VROC,VRSI,WR,ADTM,CDP,DPTB,JDQS,JDRS,MI,MICD,RC,RCCD,SRMI,ATR,CVLT,MASS,STD,VHF,target
0.535656222,1.905267243,1.225883578,-3.487253185,-0.473596125,0.443900022,0.671191874,-0.365302862,0.25775791,1.335262195,1.137927581,1.481543217,-0.511641669,1.411198197,2.510622587,-0.491499949,-0.50799622,-0.517275009,-1.640439579,-0.113081323,-0.035250522,0.764916631,-0.504589375,-0.508857141,-0.771962448,-0.317909229,-1.204619016,-1.379381255,-0.775237898,-0.394427563,-0.411430974,-0.424813321,0.186769635,1.341799566,0.75931794,-0.547528219,-0.327231366,1.510403566,0.078120015,0.153297898,-1.779556054,1.590223938,2.803354473,-0.567490586,1.114859368,-1.124791586,1.557885694,0.925008138,0.91757727,1
-0.464123855,0.75501528,1.187993787,-4.515714434,0.104477721,0.64812784,0.812080796,-1.003842683,0.214618792,1.358955788,1.156335023,1.450448132,-1.810838323,1.395729189,2.63889131,-0.474663157,-0.495840793,-0.510408313,-1.722392395,0.114556854,0.54030748,0.986195936,-1.231281398,-0.637744708,-0.562678346,-0.788507384,-1.294558447,-1.369570907,-0.955306731,-0.813489406,-0.493465314,-0.510548716,-1.285561272,1.51412463,0.836974882,-0.506371753,0.464373035,0.755828086,0.078120015,0.489967169,-1.291633754,1.483289989,2.741525186,-1.004257662,1.341224831,-1.291882443,1.695064067,1.028369246,1.059829937,-1
-0.699195735,0.583474747,1.375826325,-4.655685981,0.861468535,1.886130749,0.87597664,-0.365302862,0.383078335,1.49252639,1.29024952,1.503753993,-1.301790298,1.406376006,2.900138915,-0.45512201,-0.481948876,-0.478334759,-1.578084175,-0.613885312,1.242865478,1.231139834,-1.232536219,-0.568058979,-0.248752193,-0.77622529,-1.106274379,-1.302706208,-0.67301779,-0.525803135,-0.524077709,-0.479833533,-1.505399488,1.307331685,0.93462272,-0.454384638,0.464373035,1.133115826,-0.106507324,0.951283503,-0.622483171,1.826895887,2.680693145,-1.122760358,1.46377938,-1.180287554,1.859772323,1.171404315,1.13321425,-1
-0.444598093,1.148995796,1.703115288,-4.397724447,1.152646857,3.352445011,0.882537594,0.273229296,0.418069984,1.456424478,1.351951946,1.543733388,1.00607568,1.42049694,3.468038993,-0.438197981,-0.495840793,-0.456257029,-1.487223444,-0.067553687,1.813586312,1.465634432,-0.9050279,-0.435022252,0.065173959,-0.606215242,-1.211679203,-1.311572216,-0.861994642,-0.025664491,-0.52338979,-0.341670943,-1.104397072,0.997142267,0.954357322,-0.469547547,1.255423478,1.133115826,-0.784016459,1.344166155,0.046667412,2.159008422,2.621107663,-2.116490102,1.587775749,-0.894012429,1.983813813,1.340540674,1.247242181,1
-0.519345154,1.128750104,1.958418078,-4.280256901,1.262706125,6.059017536,0.87839466,0.273229296,0.251603591,1.333163015,1.302196672,1.503753993,0.145297146,1.413872578,3.350427482,-0.444653538,-0.487158345,-0.462341443,-1.603026337,-0.386247135,2.054113654,1.698592367,-1.188441804,-0.46453068,-0.144110142,-1.076166971,-1.414232576,-1.263761609,-1.295369204,-0.217356895,-0.410777451,-0.318705461,-1.133159878,1.10053874,0.983831079,-0.486876585,0.464373035,0.648613225,-0.784016459,1.528081674,0.590352261,2.259518266,2.563765986,-2.690381726,1.607961204,-0.452734774,2.07425419,1.433461266,1.266435001,1
-0.28961235,1.676249935,2.118615427,-3.800284748,1.344297783,5.936191738,0.896964964,0.911761455,0.328702989,1.239267663,1.349009019,1.503753993,1.0626612,1.413872578,2.860020551,-0.455994382,-0.478475897,-0.458343113,-1.611934251,-0.795995853,2.189327094,1.963512869,-1.188441804,-0.537509099,-0.091789117,-1.164080913,-1.395863058,-1.074618316,-1.465641553,-0.217356895,-0.343808537,-0.096265627,-0.78557032,0.961409083,0.97229787,-0.525866921,0.464373035,1.133115826,-0.661202678,1.661893961,0.966749464,2.072184053,2.508917425,-2.172355658,1.793955756,0.312840581,2.083518048,1.508632981,1.266435001,-1
-0.598973655,1.525133558,2.315316383,-3.404110684,1.378525498,5.773646176,0.747119499,0.273229296,0.232705245,1.211129187,1.345947243,1.446005977,1.714686908,1.402537859,2.601689141,-0.448317503,-0.46284749,-0.45243254,-1.560268346,-2.526045998,2.292108787,2.246258648,-1.44083653,-0.635105931,0.117494985,-1.422651328,-1.357676614,-0.801552838,-1.689481845,-0.418169788,-0.352923463,-0.276957755,-0.904407752,1.092950501,0.805194483,-0.54102983,1.255423478,1.133115826,-0.784016459,1.774931739,1.259502844,1.992872234,2.457309915,-0.889140759,1.691586661,0.765305797,2.06190238,1.586936851,1.247242181,1
-0.656330584,2.095046987,3.078259206,-2.466198055,1.455633221,5.621955331,0.823401526,0.273229296,0.090973898,1.051793204,1.294109282,1.392700116,-1.794422592,1.374885717,2.092493621,-0.423978306,-0.424644718,-0.42618264,-1.280559821,-3.527653976,2.45254692,2.538839063,-2.173350923,-0.588574477,0.640705239,-2.057441697,-1.21089267,-0.414092658,-1.832647278,-0.930382222,-0.279212943,0.096198017,-0.669786565,1.421796878,0.823135031,-0.378570096,0.464373035,1.133115826,-0.784016459,1.947848987,1.52437495,1.494227713,2.408694145,-0.677528803,1.7420503,1.198835401,2.027673209,1.668372876,1.286756811,-1
-0.850825487,2.326179362,4.154043548,-1.378553888,1.464562944,5.784543697,1.200742752,0.273229296,0.237169759,1.606559429,1.765121917,1.499311838,-1.29396717,1.44284377,2.872569312,-0.38210442,-0.310036401,-0.343260769,-0.444997414,-1.888659102,2.527279534,2.805296227,-0.575587156,-0.01845526,1.268557544,-0.711582686,-0.766961877,0.081999048,-1.53369964,-0.199608134,-0.141010017,0.043466975,-0.55333206,0.698333415,0.809551473,-0.432723341,0.464373035,1.510403566,-0.784016459,2.09815868,1.71954387,2.192080385,2.363070115,0.724188792,1.607961204,1.044999717,1.957487708,1.740412436,1.693193003,1
-1.036015145,1.821821312,6.005082361,0.069859406,1.480979763,5.757699416,0.826873785,-0.365302862,-0.020560424,1.190431222,1.329147092,1.485985373,0.643908131,1.432674414,2.636406284,-0.368408169,-0.212792981,-0.314577103,0.03959315,-0.43177477,2.527084749,2.952815764,-0.656899566,-0.176570081,1.687125748,-0.752953952,-0.359849238,0.56877686,-1.294010205,-0.344146164,-0.093130855,-0.101885617,-0.798932361,0.677274888,0.735995228,-0.374237837,0.464373035,0.755828086,-0.661202678,2.156205106,1.789247056,1.89226344,2.31968989,0.331437002,1.61949575,2.345110072,1.89583333,1.764425623,1.693193003,1
